本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-05-31 02:00:00,0.135,0.138,0.1208,0.1278,23826143,3109222.4274,16265,9513553,1243213.8154,,1000LUNCBUSD,0.1282563289274051,0.1282563289274051,
2022-05-31 03:00:00,0.1279,0.1353,0.1222,0.1279,81425319,10439746.5883,71920,40774739,5232075.4479,,1000LUNCBUSD,0.1283934235097071,0.1260462165227004,
2022-05-31 04:00:00,0.1279,0.1313,0.12,0.122,51838343,6502712.9593,42674,26674606,3353741.4936,,1000LUNCBUSD,0.1277859895590614,0.1288479963365637,
2022-05-31 05:00:00,0.122,0.1244,0.1051,0.111,104479719,11937928.7769,90330,49635982,5672571.278,,1000LUNCBUSD,0.1219149878822836,0.1218121145321817,
2022-05-31 06:00:00,0.111,0.1263,0.1086,0.1167,147359777,17318806.4997,146837,72275660,8509991.7557,,1000LUNCBUSD,0.1128622123368679,0.1177063015657675,
2022-05-31 07:00:00,0.1167,0.121,0.1165,0.1199,79270010,9423356.5823,41646,40579184,4828582.4909,,1000LUNCBUSD,0.117112003088142,0.1175355105602093,
2022-05-31 08:00:00,0.1198,0.12,0.11,0.1162,101550859,11840790.1306,59808,45922079,5359701.033,,1000LUNCBUSD,0.1183802718541205,0.1185554407188113,-0.01341157
2022-05-31 09:00:00,0.1163,0.1165,0.112,0.1138,61528404,7038629.1776,38361,27182540,3112637.689,,1000LUNCBUSD,0.1160908338021675,0.1151273866381144,
2022-05-31 10:00:00,0.1138,0.119,0.1125,0.1153,77171397,8949732.0961,45918,37868777,4391967.3707,,1000LUNCBUSD,0.1134107063610152,0.1131211126731734,
2022-05-31 11:00:00,0.1153,0.1177,0.1119,0.1168,76692582,8800424.8237,49413,36956804,4246203.4735,,1000LUNCBUSD,0.1149441755185994,0.114507291869092,
2022-05-31 12:00:00,0.1167,0.1176,0.1134,0.1173,52956115,6115954.7212000005,36755,25310528,2925689.5318,,1000LUNCBUSD,0.1164953524380029,0.1155153084618758,
2022-05-31 13:00:00,0.1173,0.1173,0.1073,0.1127,81904537,9260158.6776,52592,35629126,4033104.9375,,1000LUNCBUSD,0.1169893704487484,0.1165006304695737,
2022-05-31 14:00:00,0.1128,0.1145,0.105,0.112,119162756,13196993.0115,77882,58858755,6531589.4919,,1000LUNCBUSD,0.1119462580751037,0.1110548342980641,
