本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-02-16 14:00:00,0.4465,0.451,0.4368,0.4486,4388386,1947827.6755,10274,1738348,772277.3981,,AGIX-USDT,0.4454492310753888,0.4454492310753888,
2023-02-16 15:00:00,0.4484,0.47,0.446,0.463,6105628,2815697.9195,12308,1987237,915311.7933,,AGIX-USDT,0.4469336195953676,0.4470498833273696,
2023-02-16 16:00:00,0.4628,0.4698,0.4416,0.4567,6745079,3079849.1744,14058,2293530,1048408.8377,,AGIX-USDT,0.4611665038111855,0.4645548584803141,0.00066258
2023-02-16 17:00:00,0.4562,0.4593,0.4501,0.4546,1830972,832638.4066,4761,925679,421522.1881,,AGIX-USDT,0.457855039711598,0.4572605607421597,
2023-02-16 18:00:00,0.4544,0.4612,0.4523,0.4575,1761714,804074.4876,4614,921638,420898.6216,,AGIX-USDT,0.4540847615675165,0.4534426369243259,
2023-02-16 19:00:00,0.4575,0.459,0.4414,0.4486,2231585,999909.7374,5584,965576,432729.5685,,AGIX-USDT,0.4581116990812552,0.4571405517563387,
2023-02-16 20:00:00,0.4485,0.4486,0.4284,0.4406,2823192,1239106.2269,8610,1189050,522218.7371,,AGIX-USDT,0.4483519010608129,0.4466549113229264,
2023-02-16 21:00:00,0.4406,0.4412,0.4293,0.4381,2028123,884399.7689,5114,942140,411273.6072,,AGIX-USDT,0.4390167889183815,0.4371009839225357,
2023-02-16 22:00:00,0.438,0.44,0.4046,0.4046,4949398,2068450.3174,11551,2230656,931566.0135,,AGIX-USDT,0.4390443403700079,0.4382874664807062,
2023-02-16 23:00:00,0.4055,0.4154,0.3978,0.4044,5775056,2342701.1077,11413,2681278,1088777.7288,,AGIX-USDT,0.4084751239256364,0.4113763293511305,
2023-02-17 00:00:00,0.4045,0.4285,0.4028,0.4222,5242325,2187370.6297,11085,2348372,980485.8893,,AGIX-USDT,0.407094552372354,0.4066897432410711,0.0001
2023-02-17 01:00:00,0.422,0.4301,0.417,0.4275,2151182,909660.9914,4691,861972,364938.9419,,AGIX-USDT,0.4213599294570329,0.4189402377680067,
2023-02-17 02:00:00,0.4272,0.4292,0.422,0.4237,2138922,910032.2992,4574,988083,420706.3063,,AGIX-USDT,0.4260220135257424,0.4256749531468242,
2023-02-17 03:00:00,0.4237,0.4378,0.4237,0.4303,2475872,1070772.744,5825,1206198,521882.4641,,AGIX-USDT,0.4275640477311411,0.4299372464550841,
2023-02-17 04:00:00,0.4309,0.4418,0.4293,0.4293,3983379,1733258.7011,8153,1708017,744298.0926,,AGIX-USDT,0.4341174929220732,0.4381172861358302,
2023-02-17 05:00:00,0.4296,0.4353,0.4242,0.4316,2698722,1158703.4126,6185,1204482,517380.05,,AGIX-USDT,0.4300113994140939,0.429598525491255,
2023-02-17 06:00:00,0.4316,0.4454,0.4313,0.4408,3766491,1656299.6605,9681,1774581,780269.889,,AGIX-USDT,0.4319884014959863,0.4356421467698801,
2023-02-17 07:00:00,0.441,0.446,0.4332,0.4341,2670041,1172963.3393,7491,1097363,482488.0875,,AGIX-USDT,0.4389496448653447,0.4384633528261225,
2023-02-17 08:00:00,0.4341,0.4427,0.428,0.4355,8081259,3519247.0683,28283,3823689,1665358.8583,-0.0002525194554762,AGIX-USDT,0.4347635775224023,0.4375550476428109,0.00019706
2023-02-17 09:00:00,0.436,0.4368,0.4307,0.4338,2394985,1038484.1945,7460,1117983,484964.4189,0.0006689580401837,AGIX-USDT,0.4361296447384272,0.4350058589489135,
2023-02-17 10:00:00,0.4339,0.4414,0.4292,0.4359,3456648,1503733.016,9766,1670254,726088.1774,0.0002524151540879,AGIX-USDT,0.4327434433449805,0.4314162936594312,
2023-02-17 11:00:00,0.436,0.4377,0.4304,0.4316,2185218,948519.9243,6910,905510,393329.0661,0.0003012955709549,AGIX-USDT,0.4361517440562563,0.4364073408111718,
2023-02-17 12:00:00,0.4317,0.4369,0.4271,0.4363,3924380,1694063.3244,10137,1950636,841996.9139,0.0004586104104564,AGIX-USDT,0.4307303386173968,0.4292309912023959,
2023-02-17 13:00:00,0.4363,0.4364,0.4255,0.4277,2274127,977417.9902,5396,934837,401677.0474,0.0006550933508024,AGIX-USDT,0.4360469746974697,0.4348471530967203,
2023-02-17 14:00:00,0.4275,0.4415,0.426,0.4329,5258694,2282625.1775,13682,2452748,1064526.7982,0.0021529272866172,AGIX-USDT,0.4275509326135517,0.4268308928377626,
2023-02-17 15:00:00,0.4324,0.4407,0.43,0.4384,5569176,2428209.3962,12375,2199415,957974.4483,0.0009132420091324,AGIX-USDT,0.431569722266251,0.4322596957861327,
2023-02-17 16:00:00,0.4382,0.4383,0.4181,0.4264,5280705,2260720.9379,13413,2221149,952434.3117,0.001244511235823,AGIX-USDT,0.4376349470812619,0.4361073852832077,0.0001
2023-02-17 17:00:00,0.4264,0.4411,0.4257,0.4333,3312752,1439492.9942,8675,1562190,679027.5267,0.0015486674525575,AGIX-USDT,0.4269691009463722,0.4273392066458891,
2023-02-17 18:00:00,0.4333,0.4356,0.4314,0.434,2280633,988000.4439,5045,718381,311333.2986,0.0011534025374855,AGIX-USDT,0.4338673727680243,0.4326890444034877,
2023-02-17 19:00:00,0.434,0.4367,0.4293,0.4311,3659078,1585174.8091,7155,1013624,439296.9909,0.0009287206872532,AGIX-USDT,0.435439395243128,0.4359952654304059,
2023-02-17 20:00:00,0.4315,0.4391,0.4292,0.4345,2128728,924176.6952,5069,948602,411916.2658,0.0011520737327188,AGIX-USDT,0.4313023561255631,0.4305505866687182,
2023-02-17 21:00:00,0.4345,0.4403,0.4309,0.4316,2033754,886416.7329,4302,948351,413566.5744,0.0006491699897988,AGIX-USDT,0.4344533185757701,0.4342296135934989,
2023-02-17 22:00:00,0.4316,0.4389,0.4229,0.4388,2900805,1246944.0158,6617,1309183,563193.9749,0.0009352403111384,AGIX-USDT,0.4314207175010645,0.4298519608534453,
2023-02-17 23:00:00,0.4387,0.4418,0.4334,0.4374,3044033,1332775.1093,6203,1377470,603536.4749,0.0012590133913241,AGIX-USDT,0.4386555824351469,0.4378788667491241,
2023-02-18 00:00:00,0.4376,0.4633,0.4333,0.4511,10647215,4796899.9337,23112,4847431,2181784.8591,0.0005767012687427,AGIX-USDT,0.4368333602314778,0.4350575381784779,0.00010387
2023-02-18 01:00:00,0.4512,0.4551,0.4445,0.452,3462735,1559825.25,8165,1739594,784204.7318000001,0.0011074197120708,AGIX-USDT,0.4484588028187272,0.4484803871443383,
2023-02-18 02:00:00,0.4521,0.4541,0.4403,0.4422,3086292,1376257.601,7403,1159813,518052.5606,0.0010866612333604,AGIX-USDT,0.4512374185362477,0.4499784680189698,
2023-02-18 03:00:00,0.442,0.4457,0.4373,0.4407,2713061,1198255.392,6549,1121529,495842.0334,0.0020236011004752,AGIX-USDT,0.4443130152146112,0.4442242615674191,
2023-02-18 04:00:00,0.4406,0.447,0.4386,0.4463,2212100,978676.8457,5473,1140738,504913.0166,0.0020206555904802,AGIX-USDT,0.4414959196855961,0.440527629961453,
2023-02-18 05:00:00,0.4463,0.4522,0.444,0.4468,3352454,1501393.8358,7027,1874880,840055.7794,0.0022881241868184,AGIX-USDT,0.4451704271600294,0.4469545346927098,
2023-02-18 06:00:00,0.4468,0.4482,0.44,0.4412,2609892,1160040.3475,5846,1045127,464845.0336,0.0016800617536212,AGIX-USDT,0.4474336231723527,0.445970887432569,
2023-02-18 07:00:00,0.4411,0.4412,0.4271,0.4318,4169843,1810059.924,10557,1553553,674654.6751,0.0003011559756296,AGIX-USDT,0.4407382850723914,0.4401686581243541,
2023-02-18 08:00:00,0.4322,0.4327,0.428,0.4315,3276660,1408780.6524,6372,1640411,705304.7543,0.0012762501450285,AGIX-USDT,0.4311610384533768,0.4296144956176421,0.00030325
2023-02-18 09:00:00,0.4314,0.4342,0.4268,0.434,1649514,709906.0514,3666,750060,323225.8217,0.0012226913050499,AGIX-USDT,0.4309941223473731,0.4310300817879195,
2023-02-18 10:00:00,0.4341,0.4341,0.4254,0.4265,2125877,913428.3517,4422,731852,314527.0893,0.0008213070515077,AGIX-USDT,0.4322911159289467,0.432280393917379,
