本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-01-08 12:00:00,1.39499,1.499,1.3936,1.48764,5414771,7944757.16977,39024,2552418,3746501.8191,0.0029935275080905,AI-USDT,1.434839636783065,1.434839636783065,
2024-01-08 13:00:00,1.485,1.51499,1.42426,1.43817,7045545,10389853.6145,60438,3147841,4650857.97391,0.0006540358884798,AI-USDT,1.4796204249618687,1.4706829358484652,
2024-01-08 14:00:00,1.43819,1.47618,1.389,1.41038,4656900,6721090.83625,44935,1975200,2853576.37233,0.0002978807909443,AI-USDT,1.4387174332524273,1.447586334482171,
2024-01-08 15:00:00,1.4101,1.44404,1.39608,1.40554,3221738,4577278.36107,28584,1477385,2100882.33012,0.0005125211770904,AI-USDT,1.4181030878114478,1.417969186187794,
2024-01-08 16:00:00,1.4056,1.44,1.373,1.39771,2933806,4130265.90572,27155,1296139,1826699.19065,-0.000114459856782,AI-USDT,1.410298976193018,1.4106335680086195,5e-05
2024-01-08 17:00:00,1.3974,1.45347,1.3767,1.41777,2601410,3700907.16532,24309,1267193,1803744.05534,0.0013985124912592,AI-USDT,1.394243023817511,1.3882866743459972,
2024-01-08 18:00:00,1.41805,1.44124,1.34125,1.36114,3167338,4411944.88357,31418,1433737,2000618.20089,0.0008308762435571,AI-USDT,1.422528728826218,1.4254783809250111,
2024-01-08 19:00:00,1.36114,1.364,1.27,1.30378,5278373,6952047.10585,43011,2413785,3181937.62072,0.0011748896141294,AI-USDT,1.360896146796848,1.3159458847166812,
2024-01-08 20:00:00,1.30322,1.35494,1.30255,1.34972,1856350,2471835.75773,20157,933241,1243542.65824,0.00051147861797,AI-USDT,1.307641680611051,1.3139535817082837,5e-05
2024-01-08 21:00:00,1.34972,1.40442,1.33371,1.34458,2367467,3230507.69489,28398,1142950,1561463.82119,0.0010795678750383,AI-USDT,1.3538027650520847,1.3640076491094404,
2024-01-08 22:00:00,1.34387,1.38083,1.30941,1.33936,1871050,2514686.3834,20608,805734,1083835.87534,0.0005752321472596,AI-USDT,1.345325633341138,1.337355776072394,
2024-01-08 23:00:00,1.33929,1.38119,1.33376,1.35999,1004319,1367741.80526,13173,495497,674329.26501,0.0020261707583035,AI-USDT,1.3375492022620623,1.3385980549375327,
2024-01-09 00:00:00,1.359,1.438,1.34519,1.40601,2901213,4055911.89171,32654,1445572,2020465.79846,0.0009040818941583,AI-USDT,1.3553049461001905,1.351683063333495,7.57e-05
2024-01-09 01:00:00,1.406,1.41082,1.31841,1.34539,2638296,3566796.9354,24579,1142319,1544765.43967,0.0020034259328218,AI-USDT,1.4070614734620024,1.3952107760273158,
2024-01-09 02:00:00,1.34478,1.3531,1.322,1.35057,1836919,2456119.30405,18891,829964,1110544.71841,0.001661314366661,AI-USDT,1.340141158143085,1.342408321287706,
2024-01-09 03:00:00,1.34955,1.40816,1.32947,1.39654,2390464,3282582.90148,24680,1242177,1704788.15269,-7.160041241849324e-05,AI-USDT,1.352296277220952,1.3545470223382965,
2024-01-09 04:00:00,1.39735,1.425,1.365,1.38602,3276745,4572158.66887,28927,1449069,2024848.79307,0.0015536141400565,AI-USDT,1.402227909144427,1.4110359106442658,5e-05
2024-01-09 05:00:00,1.38601,1.39014,1.34244,1.36524,2106780,2867884.70644,23765,937298,1276024.41032,0.0013642564802183,AI-USDT,1.3870469041280655,1.3838662294242512,
2024-01-09 06:00:00,1.36522,1.37147,1.33301,1.35911,1940880,2619825.2534,20883,857702,1158734.74201,0.0008394883539402,AI-USDT,1.3643173164695177,1.351840862706113,
2024-01-09 07:00:00,1.35965,1.37136,1.33327,1.34139,1726219,2331404.41435,21264,833578,1126656.78975,0.0008580552736823,AI-USDT,1.3620428413248291,1.358732796007805,
2024-01-09 08:00:00,1.34106,1.35051,1.2154,1.25531,7399995,9500393.85681,62882,3070230,3943456.16967,0.0014759146681984,AI-USDT,1.3354496861635066,1.3368889986856007,5e-05
2024-01-09 09:00:00,1.25425,1.26399,1.20822,1.2272,6503118,8069258.8054,60293,3307129,4109739.82179,0.0026635292579701,AI-USDT,1.2528420373016262,1.2516829473435869,
2024-01-09 10:00:00,1.22564,1.233,1.17713,1.19648,8787763,10572676.71564,72895,3898895,4694029.56393,0.0008364840900725,AI-USDT,1.2241482300819375,1.2210281633649305,
2024-01-09 11:00:00,1.19667,1.25515,1.19539,1.22708,7109820,8682688.60032,50076,3645700,4453493.76257,0.0002200829794345,AI-USDT,1.1972839131881217,1.2014946284413297,
2024-01-09 12:00:00,1.22667,1.22677,1.11201,1.174,6776813,8075568.156429999,54431,2989943,3569082.71492,-0.0014119728492931,AI-USDT,1.2098234492419009,1.2114501987029684,5e-05
2024-01-09 13:00:00,1.17453,1.20226,1.16009,1.18141,6990183,8283766.944469999,74262,3237898,3839373.1446,-0.0006597924191542,AI-USDT,1.18753325226674,1.193223625365086,
2024-01-09 14:00:00,1.18237,1.19286,1.13344,1.17992,8936906,10401589.00202,79325,4279138,4985143.17664,0.0009755932030846,AI-USDT,1.1784916356128303,1.181153031046744,
2024-01-09 15:00:00,1.17994,1.17994,1.13841,1.1568,5022948,5806937.0818,53072,2311957,2673597.35071,-5.1864529847955865e-05,AI-USDT,1.1711869190965636,1.1659924970805196,
2024-01-09 16:00:00,1.15587,1.16,1.1191,1.14774,6394248,7258611.09905,54957,2962493,3366340.11196,0.0015620227758628,AI-USDT,1.1565235253186843,1.154675880547766,5e-05
2024-01-09 17:00:00,1.14768,1.165,1.12542,1.14023,3909676,4472622.10343,36440,1988462,2277096.60828,0.0019155573129476,AI-USDT,1.1446859265157707,1.1410928616574274,
