本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-03-30 12:00:00,0.01354,0.01385,0.01344,0.0136,32745319,445869.36734,3209,15305084,208186.9837,-0.0007347538574578,AMB-USDT,0.0136688367462131,0.0137197828520682,
2023-03-30 13:00:00,0.0136,0.01363,0.01352,0.01353,8316173,112883.91485,812,4187914,56883.56377,0.0,AMB-USDT,0.013594723798462,0.0135598705368566,
2023-03-30 14:00:00,0.01355,0.01357,0.01337,0.01346,6529729,87846.86663,1214,2552394,34380.37179,0.0,AMB-USDT,0.013556183288799,0.0135370700686903,
2023-03-30 15:00:00,0.01345,0.0135,0.01328,0.01333,6487008,86599.55336,696,3387230,45263.42543,0.0,AMB-USDT,0.0134225163603928,0.0134201708598217,
2023-03-30 16:00:00,0.01333,0.01347,0.01332,0.01338,9598139,128534.72522,1697,3597131,48157.5512,-0.0014925373134329,AMB-USDT,0.0133355917639494,0.0133476028884237,-0.00028203
2023-03-30 17:00:00,0.01338,0.01345,0.01318,0.01323,16444714,218787.63145,3118,5660409,75425.62197,0.0,AMB-USDT,0.0133884443424212,0.0134115301396395,
2023-03-30 18:00:00,0.01323,0.01351,0.01323,0.01344,11117587,148376.27157,4352,6652480,88793.48144999999,0.0007446016381236,AMB-USDT,0.0132342659300366,0.013248653007983,
2023-03-30 19:00:00,0.01344,0.01352,0.01336,0.01347,7079066,95139.75169,4313,3808983,51209.68394,0.0014869888475836,AMB-USDT,0.0133919917859468,0.0133840522274465,
2023-03-30 20:00:00,0.01347,0.01371,0.01342,0.01368,10452334,142078.17241,4550,6061692,82481.29818,0.0,AMB-USDT,0.01347,0.0134547248486927,
2023-03-30 21:00:00,0.01368,0.01376,0.01354,0.0137,13882924,189407.42943,5067,6456734,88183.26318,0.0014619883040936,AMB-USDT,0.013674818106233,0.0136597015366806,
2023-03-30 22:00:00,0.0137,0.01389,0.01356,0.01367,20053758,275437.73093,5419,9433483,129765.98484,0.0,AMB-USDT,0.0136756866115369,0.0136636139412281,
2023-03-30 23:00:00,0.01367,0.01393,0.01365,0.01389,19859287,274035.77691,4598,10261807,141716.78473,0.0,AMB-USDT,0.0136570750790305,0.013662322123062,
2023-03-31 00:00:00,0.01387,0.01387,0.01363,0.01379,20336651,279574.16627,4057,9262425,127413.54006,0.0007256894049345,AMB-USDT,0.0138075399416467,0.0137849583646088,0.0001
2023-03-31 01:00:00,0.01378,0.01398,0.01371,0.01397,56612727,780506.57306,3238,32456971,447554.14636,0.0007163323782235,AMB-USDT,0.0138309000081377,0.0138511929837202,
2023-03-31 02:00:00,0.01397,0.01397,0.01355,0.01366,29524712,403765.12217,5209,13194598,180487.94842,0.0,AMB-USDT,0.0138614070164265,0.0138168257618003,
2023-03-31 03:00:00,0.01366,0.01372,0.0136,0.01369,13872865,189335.49262,3684,7455102,101788.61433,0.0,AMB-USDT,0.0136482825049252,0.0136191851606789,
2023-03-31 04:00:00,0.01369,0.01377,0.01357,0.01371,53773647,732647.4838599999,4829,42915577,584277.1546199999,-0.0007288629737609,AMB-USDT,0.01367454069196,0.0136498132893488,
2023-03-31 05:00:00,0.01371,0.01389,0.01359,0.01365,17338760,238412.95649,3532,6796749,93580.96373,0.0,AMB-USDT,0.0137436523395348,0.0137436200330377,
2023-03-31 06:00:00,0.01365,0.01372,0.01358,0.01363,18468388,252198.43082,5337,9103281,124399.53112,0.0007342143906019,AMB-USDT,0.0136906630996829,0.0136903677448106,
2023-03-31 07:00:00,0.01361,0.01362,0.01337,0.01344,22036074,296809.0303,5415,9455263,127318.92092,-0.0014858841010401,AMB-USDT,0.0136094088441957,0.0136014970900219,
2023-03-31 08:00:00,0.01346,0.01363,0.01344,0.01354,23436188,317178.99569,5595,13277322,179752.63192,0.0007390983000739,AMB-USDT,0.0134818924336809,0.0135477730003451,0.0001
2023-03-31 09:00:00,0.01354,0.01357,0.01331,0.01333,23840700,320298.25639,6564,9824220,132133.69473,0.0,AMB-USDT,0.0135236926453519,0.0135152531258954,
2023-03-31 10:00:00,0.01333,0.01351,0.01332,0.01339,19111592,256218.84506,4625,9427385,126449.50592,0.0,AMB-USDT,0.013341825543741,0.0133639997996681,
2023-03-31 11:00:00,0.01338,0.01349,0.01335,0.01345,14572045,195589.73978,4791,6794169,91212.38766,0.0007440476190476,AMB-USDT,0.013371551910672,0.0133902147727007,
2023-03-31 12:00:00,0.01345,0.01345,0.01323,0.01332,28618219,381582.01977,4499,12869799,171593.59652,0.0007513148009015,AMB-USDT,0.0134155933823122,0.0133921337201595,
2023-03-31 13:00:00,0.01331,0.01345,0.01327,0.01338,17485389,233629.47565,2470,9021298,120597.92715,-0.0007468259895445,AMB-USDT,0.0133260770042225,0.0133136389051698,
2023-03-31 14:00:00,0.01339,0.0136,0.01339,0.01353,23623110,319067.6953,4488,12080480,163213.2153,0.0,AMB-USDT,0.0134069907009499,0.0134217816805758,
2023-03-31 15:00:00,0.01353,0.01359,0.0134,0.01347,14570326,196391.69752,2519,6164616,83104.36738,0.00074294205052,AMB-USDT,0.0135188699091639,0.0135396382672736,
2023-03-31 16:00:00,0.01347,0.01355,0.01345,0.01353,8949719,120788.83552,1622,4195657,56647.53951,0.0,AMB-USDT,0.013488980023786,0.0135114393168919,0.0001
2023-03-31 17:00:00,0.01353,0.01361,0.01347,0.01349,14462761,195805.84934,2977,7038100,95351.85085,-0.0007407407407407,AMB-USDT,0.0135224172727516,0.0135058627779098,
