本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-03-08 03:00:00,4.03,4.159,4.026,4.145,122945.9,502557.0079,3926,65284.1,267022.7519,-0.0004822763443455,ANC-USDT,4.053325517462981,4.053325517462981,
2022-03-08 04:00:00,4.148,4.176,3.991,4.013,173393.5,707709.7731,4210,82187.4,336005.3853,-0.0024857071836936,ANC-USDT,4.1480631583257415,4.136313224245743,
2022-03-08 05:00:00,4.012,4.05,3.9,3.953,137359.1,543933.7842999999,2447,54644.5,216603.7264,-0.0015155342258146,ANC-USDT,4.008422366710013,4.018138593430993,
2022-03-08 06:00:00,3.955,3.994,3.904,3.951,55797.8,220598.7198,1330,27362.5,108436.1708,-0.002776375567895,ANC-USDT,3.95777979863592,3.970615233678712,
2022-03-08 07:00:00,3.953,3.97,3.903,3.935,33976.3,133781.3871,872,16306.7,64266.8582,-0.003545201316789,ANC-USDT,3.952577629382304,3.954783782461393,
2022-03-08 08:00:00,3.942,4.023,3.936,3.943,113553.2,451182.7076,2305,57546.2,228868.4194,-0.0040414246021722,ANC-USDT,3.944823625349488,3.949982998985028,-0.00069948
2022-03-08 09:00:00,3.943,3.968,3.759,3.76,283085.5,1096399.8554,4710,78846.9,305042.2372,-0.0010626992561104,ANC-USDT,3.9382183036074574,3.935775142232312,
2022-03-08 10:00:00,3.763,3.799,3.686,3.736,559453.3,2092571.1306,8590,256522.5,960336.7823,-0.0010695187165775,ANC-USDT,3.725152382670813,3.727849788373516,
2022-03-08 11:00:00,3.737,3.744,3.63,3.679,515871.2,1902229.7831,7955,238559.9,880265.2933,-0.0008147745790331,ANC-USDT,3.7321270971021865,3.710316200799814,
2022-03-08 12:00:00,3.679,3.75,3.654,3.672,454284.4,1680541.7784,7113,229646.0,850282.3166,0.0005449591280655,ANC-USDT,3.680360328400568,3.686081436074931,
2022-03-08 13:00:00,3.669,3.741,3.654,3.708,322048.3,1189494.2142,5708,140742.2,520433.9876,-0.0010775862068965,ANC-USDT,3.6708846418857664,3.674476935041106,
2022-03-08 14:00:00,3.708,3.71,3.64,3.677,344075.8,1264417.4594,6030,150496.2,553159.0377,-0.0013579576317218,ANC-USDT,3.702754489141701,3.6972264980720695,
2022-03-08 15:00:00,3.677,3.683,3.564,3.585,548115.0,1981681.4379,9358,238445.3,862108.0768,-0.0008361204013378,ANC-USDT,3.675992108229989,3.66641621364841,
2022-03-08 16:00:00,3.585,3.671,3.575,3.661,477203.9,1727274.4644,7381,245667.3,888975.9278,-0.0002730748225013,ANC-USDT,3.587381714770798,3.602442788588432,0.0001
2022-03-08 17:00:00,3.661,3.771,3.604,3.678,724098.9,2666841.216,13014,351419.9,1296064.2332,-0.0005434782608696,ANC-USDT,3.662024043794916,3.671943396922601,
2022-03-08 18:00:00,3.678,3.783,3.678,3.745,394710.7,1474289.4992,6821,193947.0,724539.1863,-0.0008004268943436,ANC-USDT,3.680723552123552,3.706979255672681,
2022-03-08 19:00:00,3.745,3.749,3.684,3.708,198825.9,737479.6778,4239,89792.3,333225.1883,-0.0010775862068965,ANC-USDT,3.747561868403323,3.723035769859653,
2022-03-08 20:00:00,3.711,3.725,3.677,3.697,128921.7,477181.5849,2488,56189.3,208119.5461,-0.0010807889759524,ANC-USDT,3.711809219534459,3.7059788373362905,
2022-03-08 21:00:00,3.697,3.756,3.688,3.712,172379.4,641283.7197,3071,99315.0,369709.4947,-0.000269323996768,ANC-USDT,3.6962152974504257,3.6945283018682593,
2022-03-08 22:00:00,3.712,3.797,3.694,3.78,243355.0,913224.0277,4521,138035.1,518509.5803,-0.0010570824524313,ANC-USDT,3.701134374567252,3.704869280127397,
2022-03-08 23:00:00,3.78,3.855,3.735,3.76,284896.5,1080130.6906,4303,131928.6,500756.6107,0.0005321979776475,ANC-USDT,3.7799921602020143,3.788225131686169,
2022-03-09 00:00:00,3.76,3.869,3.736,3.861,311679.9,1183675.9973,5256,152223.3,578678.4486,-0.0012933264355923,ANC-USDT,3.752282337184359,3.750059409843064,0.0001
2022-03-09 01:00:00,3.864,3.963,3.831,3.939,592924.6,2307266.1399,9950,339981.0,1324225.5706,-0.0053030303030302,ANC-USDT,3.861043862685252,3.86723874634883,
2022-03-09 02:00:00,3.939,3.986,3.847,3.894,477391.3,1870924.1468,5959,216014.7,847895.7076,-0.0030721966205836,ANC-USDT,3.937199197919113,3.94133384113621,
2022-03-09 03:00:00,3.893,3.992,3.834,3.947,373501.9,1461399.1572,4234,178568.0,698938.2696,-0.0022750252780586,ANC-USDT,3.893102373591303,3.869142287605016,
2022-03-09 04:00:00,3.947,3.985,3.893,3.896,375571.5,1478224.495,4847,206502.6,812988.897,-0.0028154594317891,ANC-USDT,3.946801970161537,3.964723168654805,
2022-03-09 05:00:00,3.899,3.93,3.845,3.887,326426.7,1267778.7683,4073,132899.2,516233.7177,0.0005148005148005,ANC-USDT,3.907130060300292,3.920716280316582,
2022-03-09 06:00:00,3.887,3.925,3.833,3.916,278487.3,1079235.1108,3267,127052.4,492710.4177,-0.0025471217524197,ANC-USDT,3.88804235052755,3.880549630121013,
2022-03-09 07:00:00,3.916,4.335,3.913,4.281,2142659.2,8940472.261,28684,1073018.4,4471482.1271,0.0014035087719297,ANC-USDT,3.91665094887684,3.919034125297921,
2022-03-09 08:00:00,4.277,4.295,4.165,4.246,1176848.3,4982638.093,17996,514845.6,2181089.4356,0.0,ANC-USDT,4.251148164567094,4.256367696900457,-0.00017802
2022-03-09 09:00:00,4.246,4.252,4.12,4.154,584144.6,2439072.4583,9532,244870.0,1022423.8449,0.0007227174174897,ANC-USDT,4.246217104307762,4.239710156961129,
