本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-03-17 15:00:00,9.251,9.251,7.231,7.342,12323254,99868613.093,302760,5898395,47835679.299,-0.0032311493659887,APE-USDT,8.798426486427733,8.874052611090978,
2022-03-17 16:00:00,7.335,8.23,7.17,8.134,17217636,132654719.284,393143,8941348,68931730.073,-0.0143831715680928,APE-USDT,7.40139542968818,7.518475319858742,-0.00525377
2022-03-17 17:00:00,8.132,8.246,7.708,7.889,8170709,65219217.178,213989,3939912,31479354.804,-0.0064231738035264,APE-USDT,8.182065100491164,8.115158624117036,
2022-03-17 18:00:00,7.892,7.928,7.233,7.345,6406262,48429366.581,167989,3087753,23350979.299,-0.0058202490525176,APE-USDT,7.819908226533815,7.795428461404724,
2022-03-17 19:00:00,7.345,7.857,7.25,7.756,5710750,43353085.654,134066,2881235,21878804.212,-0.002790027900279,APE-USDT,7.349718984057088,7.313052458312377,
2022-03-17 20:00:00,7.754,8.19,7.667,8.071,4995416,39807295.3,119203,2495554,19900808.383,-0.0030386876821977,APE-USDT,7.739254915608144,7.759182189543713,
2022-03-17 21:00:00,8.069,8.869,8.02,8.742,10135261,86734069.285,214536,5033890,43075656.737,-0.00391960257053,APE-USDT,8.073306196801651,8.086031017392413,
2022-03-17 22:00:00,8.738,8.75,8.198,8.268,5498309,46443011.942,133257,2589520,21877928.571,0.00139284200327,APE-USDT,8.707402714354144,8.659992316511142,
2022-03-17 23:00:00,8.269,8.591,8.086,8.531,4470191,37442704.124,113797,2234287,18721055.12,0.0013851065827779,APE-USDT,8.248662034156935,8.164072425862791,
2022-03-18 00:00:00,8.53,9.962,8.516,9.454,12947031,120772278.507,269514,6713687,62593453.944,-0.0093054449427839,APE-USDT,8.560167943165226,8.651605420339656,-0.00084044
2022-03-18 01:00:00,9.453,10.107,9.05,10.055,10640658,101477337.527,232536,5286862,50468969.521,-0.0031822823209841,APE-USDT,9.518674898428705,9.35272461190888,
2022-03-18 02:00:00,10.056,11.78,10.038,11.515,29081066,321284703.858,598967,14367622,158783397.852,-0.0050632473906131,APE-USDT,10.211412476574065,10.350041538314477,
2022-03-18 03:00:00,11.517,11.979,10.811,11.085,19215436,219402150.954,475643,9253530,105773900.002,-0.0016391670869657,APE-USDT,11.458122523937648,11.341677978885969,
2022-03-18 04:00:00,11.09,11.444,10.602,11.316,12835550,141552005.727,292160,6381785,70397413.52,-0.0018347329052289,APE-USDT,11.17666955470267,11.25504767587021,
2022-03-18 05:00:00,11.318,11.785,10.935,11.252,12050927,136891088.901,301387,5906315,67141729.299,-0.0054623557071894,APE-USDT,11.375846190816551,11.250715281207842,
2022-03-18 06:00:00,11.252,12.4,11.231,12.182,15892435,190167772.61,411544,8284281,99111450.255,-0.0052424425536083,APE-USDT,11.342018333664743,11.407590744403016,
2022-03-18 07:00:00,12.182,14.3,12.06,13.711,33514539,448099227.048,842115,16852133,225271147.456,-0.0107646354309461,APE-USDT,12.116663168673746,12.25810261055877,
2022-03-18 08:00:00,13.721,17.298,13.383,15.832,54025790,832605261.149,1378260,26938611,415260320.515,-0.0290392812241266,APE-USDT,13.53084744839661,13.764240875022534,-0.0055363
2022-03-18 09:00:00,15.832,15.937,14.269,14.687,44143914,665701332.425,1345022,21278025,321109317.373,-0.00541748493262,APE-USDT,15.422930927528554,15.459301152439629,
2022-03-18 10:00:00,14.687,15.444,14.15,15.155,23231453,342292910.242,811978,11596739,171032896.54,-0.0047219066257742,APE-USDT,14.53393708282539,14.431076507863075,
2022-03-18 11:00:00,15.144,15.36,14.4,15.35,15153001,225789601.676,572088,7299519,108831964.838,-0.0032467532467532,APE-USDT,15.208746518707226,14.972146615146029,
2022-03-18 12:00:00,15.345,16.25,14.72,15.073,26805960,415970590.345,906113,13157426,204436690.346,-0.0052138331573389,APE-USDT,15.46970648881793,15.622668042553334,
2022-03-18 13:00:00,15.08,15.157,14.2,14.362,16302823,240279483.606,583689,7723274,113895693.386,-0.0003619355197951,APE-USDT,15.057939154133146,14.935679241336128,
2022-03-18 14:00:00,14.362,14.433,13.5,13.949,29106958,404810009.121,830235,14131841,196615377.98,0.0027893200672888,APE-USDT,14.037162127035554,13.934231405472408,
2022-03-18 15:00:00,13.951,14.06,12.634,13.053,29326665,384310399.675,810987,14320655,187615035.727,0.0015653054647577,APE-USDT,13.957406278069628,13.879546364736408,
2022-03-18 16:00:00,13.051,13.784,12.65,13.119,21325901,283189395.423,617311,10628256,141165000.383,-0.0007997258082943,APE-USDT,13.123245230255476,13.25067606355142,-0.00133993
2022-03-18 17:00:00,13.12,14.22,12.753,13.805,18108412,243487732.362,534551,9180563,123492917.57,-0.0023342704140258,APE-USDT,13.23493234603304,13.25889655589279,
2022-03-18 18:00:00,13.802,14.58,13.535,14.423,16173730,227928215.909,475650,8227201,115989240.446,-0.0033376407095423,APE-USDT,13.933691655497183,14.06527935295637,
2022-03-18 19:00:00,14.423,14.914,13.76,14.202,16173299,231881965.043,470634,8094486,116093814.416,-0.0029696088961901,APE-USDT,14.476241304888648,14.624167741292368,
2022-03-18 20:00:00,14.202,14.68,13.941,14.145,10930515,156444798.84,349038,5440616,77916040.226,-0.0038802543644059,APE-USDT,14.31978619055586,14.374956907888407,
2022-03-18 21:00:00,14.145,14.351,13.61,14.065,8392152,116964531.807,264415,4111744,57320171.293,-0.0016042477072035,APE-USDT,14.166241273923331,14.196700316211466,
2022-03-18 22:00:00,14.065,14.488,13.02,13.186,8903000,122917958.082,273613,4301808,59511445.281,-0.0036872487683984,APE-USDT,14.093098389965624,14.26713026328054,
2022-03-18 23:00:00,13.186,13.496,12.875,13.067,8294542,109547232.882,243181,4104961,54261437.306,-0.0009938837920488,APE-USDT,13.282953213542331,13.215447255420818,
2022-03-19 00:00:00,13.068,13.43,12.665,13.4,9227870,120848874.338,268660,4540730,59521869.77,-0.002501191043354,APE-USDT,13.03361870834632,13.140654519991587,-0.00153859
2022-03-19 01:00:00,13.399,14.278,13.22,14.05,10391054,142564127.91,322745,5282140,72507167.01099999,-0.0046755454803059,APE-USDT,13.512391781202275,13.53302668729529,
2022-03-19 02:00:00,14.046,14.4,13.656,14.003,7519585,105212142.443,230972,3648990,51066836.715,-0.0016255757247358,APE-USDT,14.03291197674003,14.057768556826788,
2022-03-19 03:00:00,14.003,14.655,13.944,14.032,8266172,117956372.694,244054,4156075,59342506.09,-0.0016435315294803,APE-USDT,14.014783451626302,14.117236018050736,
2022-03-19 04:00:00,14.034,14.248,13.7,14.02,5600650,78299831.588,156866,2721165,38064164.776,-0.0015809488541681,APE-USDT,14.011938437099666,14.054812015951242,
2022-03-19 05:00:00,14.019,14.027,13.2,13.249,6507766,88065732.459,174521,3038563,41106822.757,0.000679758308157,APE-USDT,13.994585985916846,13.95639385543734,
2022-03-19 06:00:00,13.247,13.564,13.107,13.417,4834579,64624054.073,144419,2339875,31291934.717,0.0001714537037726,APE-USDT,13.224463797871447,13.213934723222875,
2022-03-19 07:00:00,13.422,13.47,13.034,13.239,4986447,65886984.133,151415,2320953,30678972.92,-0.0004454544768174,APE-USDT,13.415740022184773,13.366385640708405,
2022-03-19 08:00:00,13.24,13.363,12.912,13.299,6033041,79013215.518,182311,2910824,38145569.435,-0.0004133939644481,APE-USDT,13.196913393729462,13.195638722031566,-0.0004622
2022-03-19 09:00:00,13.301,13.479,12.99,13.016,5420261,71903333.681,180490,2476978,32884926.757,-0.0003379312463519,APE-USDT,13.39578448867536,13.383226915401906,
2022-03-19 10:00:00,13.017,13.555,13.006,13.426,5050971,67156229.826,164939,2590375,34452462.899,-0.0013685995656184,APE-USDT,13.07598610545294,13.122622523881706,
2022-03-19 11:00:00,13.426,13.8,13.3,13.39,6232749,84373203.597,197905,3031036,41051720.327,-0.0015584338113027,APE-USDT,13.45960233073659,13.549954697027848,
2022-03-19 12:00:00,13.39,13.566,13.1,13.205,4491109,59606168.449,149994,2130691,28288647.157,-0.0011346444780635,APE-USDT,13.40383110027006,13.434392608750334,
2022-03-19 13:00:00,13.205,13.3,13.0,13.003,4053340,53362902.857,134695,1873592,24681558.271,-0.0014590692673936,APE-USDT,13.220224221157444,13.20035756962175,
2022-03-19 14:00:00,13.003,13.561,12.92,13.497,6824955,90803136.916,189061,3641699,48489802.012,8.150623522684697e-05,APE-USDT,12.9933595002829,13.140040225537778,
2022-03-19 15:00:00,13.497,14.286,13.38,14.165,13084793,181875509.451,345840,6735291,93603514.219,0.0006145673657664,APE-USDT,13.542913474963797,13.548809210490884,
2022-03-19 16:00:00,14.163,14.39,13.644,14.274,9858413,137630152.451,265387,4881406,68189460.635,-0.0020554553462813,APE-USDT,14.09923950345027,14.005876664464868,-0.00031904
2022-03-19 17:00:00,14.275,14.499,13.748,13.795,7521220,105971121.399,191803,3527779,49708894.115,-0.0003260987716946,APE-USDT,14.317223139491354,14.39433893150864,
2022-03-19 18:00:00,13.797,13.799,12.65,13.157,13110723,172349984.507,299122,6004446,78940889.203,-0.0037028903747566,APE-USDT,13.631082073948871,13.476576536998513,
2022-03-19 19:00:00,13.158,13.254,13.0,13.09,3887722,51025720.224,117076,1870775,24562973.68,-0.0022865853658535,APE-USDT,13.148212471608506,13.095568703745268,
2022-03-19 20:00:00,13.09,13.347,13.02,13.085,2872563,37862869.671,92931,1504173,19834381.23,-7.641754546838797e-05,APE-USDT,13.106291237425769,13.14815192215087,
2022-03-19 21:00:00,13.084,13.233,13.0,13.049,2367198,31059537.016,76453,1173248,15397902.236,0.0001149645525961,APE-USDT,13.084347821238396,13.1108729873273,
2022-03-19 22:00:00,13.05,13.095,12.116,12.259,11002714,136544487.921,301811,4924199,61065116.388,0.0007673719958203,APE-USDT,13.067702525169844,12.96433355031086,
2022-03-19 23:00:00,12.259,12.301,11.42,11.736,12066293,142526083.536,278898,5551920,65600594.545,0.0012541271019426,APE-USDT,12.267409923197173,12.166929454890775,
2022-03-20 00:00:00,11.737,11.829,11.3,11.567,10090985,116797893.752,263190,4934374,57140747.158,0.0022181017900775,APE-USDT,11.71451780868275,11.713825681203016,5.221e-05
2022-03-20 01:00:00,11.562,11.74,11.211,11.589,8067888,91971508.442,224471,4029641,45964846.897,0.0016335208857314,APE-USDT,11.54142429266271,11.56283977565862,
2022-03-20 02:00:00,11.587,11.79,11.498,11.747,4602480,53546916.322,129680,2256066,26254369.585,0.0004428622528063,APE-USDT,11.595855078862575,11.567545435822174,
2022-03-20 03:00:00,11.748,11.83,11.33,11.492,5173499,59862963.308,134559,2396686,27741728.57,0.0012284477125608,APE-USDT,11.765346711781104,11.793144371124072,
2022-03-20 04:00:00,11.494,11.65,11.258,11.475,4082837,46784576.583,116348,2004545,22975242.672,0.0009682568759321,APE-USDT,11.476219616562489,11.46009373572825,
2022-03-20 05:00:00,11.475,11.958,11.449,11.709,5579093,65301648.108,144121,2960279,34654214.063,-0.0004609711124768,APE-USDT,11.481519687021866,11.545109886764193,
2022-03-20 06:00:00,11.71,11.728,11.373,11.468,4075356,47060635.666,107323,1919930,22184226.944,0.0007068124503704,APE-USDT,11.693460701624758,11.657876778123232,
2022-03-20 07:00:00,11.468,11.648,11.4,11.49,3064872,35337736.053,83031,1577926,18202007.248,-0.0001479328558872,APE-USDT,11.471791402270084,11.490461532894887,
2022-03-20 08:00:00,11.489,11.678,11.414,11.569,3498288,40468596.218,87451,1775939,20544382.247,-9.507264414299056e-05,APE-USDT,11.473279655019372,11.501235225007113,0.0001
2022-03-20 09:00:00,11.569,11.62,10.829,11.141,12179373,135591870.501,259219,5441206,60547890.189,0.0006197178038638,APE-USDT,11.588497722904656,11.48727332279355,
2022-03-20 10:00:00,11.14,11.15,10.853,10.972,5769149,63523803.797,159808,2785930,30687322.331,0.0013324328764121,APE-USDT,11.120554845550943,11.08564313056098,
2022-03-20 11:00:00,10.972,11.184,10.94,11.013,4638172,51294885.414,131677,2249231,24877424.201,0.0002815647735219,APE-USDT,10.95683823382936,10.995028131454436,
2022-03-20 12:00:00,11.013,11.132,10.649,11.115,9959099,108656452.077,220009,4878652,53254856.962000005,0.0004320354269049,APE-USDT,11.01864468766344,11.023434661808462,
2022-03-20 13:00:00,11.116,11.48,11.056,11.207,10649705,119876524.249,227319,5471707,61610998.948,0.0002320516939775,APE-USDT,11.103880460035114,11.216324896423984,
2022-03-20 14:00:00,11.206,11.222,10.939,11.042,5565235,61623261.436,131115,2576203,28536320.58,0.0004620862742255,APE-USDT,11.09069327049923,11.092223310949876,
2022-03-20 15:00:00,11.041,11.171,10.773,11.054,5905978,64895467.389,134961,2956079,32501232.301,0.0004706393454492,APE-USDT,11.055230679474247,11.0458424285043,
2022-03-20 16:00:00,11.052,11.063,10.43,10.616,9270982,99603996.632,196773,4260478,45814483.434,1.883984249895221e-05,APE-USDT,11.033346270446748,10.95491866037663,0.0001
2022-03-20 17:00:00,10.616,10.729,10.164,10.31,9905973,103305349.803,199759,4725054,49323388.472,-0.0004459697903942,APE-USDT,10.607869611180892,10.606094297174796,
2022-03-20 18:00:00,10.313,10.545,10.248,10.459,6594705,68516830.21,141569,3398496,35311049.906,-5.736357030861061e-05,APE-USDT,10.289084182960003,10.304610213604745,
2022-03-20 19:00:00,10.461,10.675,10.357,10.57,3957184,41560297.817,89864,2059060,21632086.964,0.0001040789486135,APE-USDT,10.449606872628728,10.448820060631093,
2022-03-20 20:00:00,10.571,10.619,10.25,10.278,3724767,38900907.571,87647,1802849,18831313.127,0.0004672351360823,APE-USDT,10.538498166028372,10.551399076049268,
2022-03-20 21:00:00,10.277,10.465,10.214,10.334,2728825,28190552.168,68213,1381536,14274953.592,0.0007262867380042,APE-USDT,10.26109328751846,10.288532982311008,
2022-03-20 22:00:00,10.336,10.4,9.788,9.828,7228274,72636600.191,140090,3265386,32816273.677,-6.104633416770255e-05,APE-USDT,10.37116048391593,10.333597503487296,
2022-03-20 23:00:00,9.831,9.941,9.505,9.634,9925812,95793747.485,173720,4775109,46086744.336,0.0003945920126269,APE-USDT,9.871198874765874,9.80846923579177,
2022-03-21 00:00:00,9.637,10.293,9.634,9.822,10976803,109106644.412,206559,5661730,56280221.098,0.0007131940906774,APE-USDT,9.6911706414308,9.74283285149,0.0001
2022-03-21 01:00:00,9.822,9.983,9.579,9.942,7899627,77166262.55,147224,3992460,39015299.393,0.0006340771158548,APE-USDT,9.789523274236137,9.736734858692024,
2022-03-21 02:00:00,9.943,10.374,9.8,10.113,9854946,99155862.498,188939,5092344,51260065.881,0.0006530515317024,APE-USDT,9.975666435221717,9.943716447409797,
2022-03-21 03:00:00,10.113,10.28,9.808,10.25,5353908,53854217.498,119528,2620369,26373378.184,0.0007029327918146,APE-USDT,10.136997608247423,10.157863466306152,
2022-03-21 04:00:00,10.251,10.4,10.062,10.104,6832520,70123379.994,146519,3479570,35736234.579,0.0005743597868925,APE-USDT,10.211839515134756,10.252466492050717,
2022-03-21 05:00:00,10.104,10.7,10.094,10.54,7859386,82113742.444,151574,4260231,44505391.454,-0.0003129949825957,APE-USDT,10.103464151446474,10.133726829788584,
2022-03-21 06:00:00,10.537,10.777,10.42,10.469,6950387,73892202.759,143021,3461786,36827394.754,0.0004491461445104,APE-USDT,10.495520569822766,10.533980459290682,
2022-03-21 07:00:00,10.47,10.998,10.421,10.818,7428679,80191290.618,148056,3890110,42001631.946,0.0002219016975479,APE-USDT,10.441839873396182,10.498513073646562,
2022-03-21 08:00:00,10.817,10.945,10.546,10.639,6552148,70182219.755,134320,3062844,32808371.718,-8.458726115856408e-05,APE-USDT,10.855752067690666,10.817312728851796,0.0001
2022-03-21 09:00:00,10.637,10.77,10.233,10.392,7910434,82435547.477,143442,3732930,38911659.593,-6.735497031573612e-05,APE-USDT,10.646179605792438,10.694748696106403,
2022-03-21 10:00:00,10.393,10.629,10.355,10.522,4575980,48048337.893,104113,2274682,23891013.107,0.000313726981471,APE-USDT,10.413617941401924,10.486389590930546,
2022-03-21 11:00:00,10.52,10.73,10.451,10.633,3837608,40682583.944,87080,1846241,19579409.276,1.880972086376609e-05,APE-USDT,10.597466415758204,10.569039178385337,
2022-03-21 12:00:00,10.634,10.68,10.25,10.376,5962629,61964000.488,113999,2801571,29114132.235,0.0004531736619324,APE-USDT,10.661175615869658,10.5870425613046,
2022-03-21 13:00:00,10.377,10.414,9.952,10.042,6269862,63786958.445,112722,2766673,28158482.162,-0.0002190318790944,APE-USDT,10.385100731369835,10.366111436101727,
2022-03-21 14:00:00,10.043,10.204,9.962,10.16,4984948,50272866.032,98779,2493224,25152487.543,0.0004529609862733,APE-USDT,10.012620999543204,10.051205610342304,
2022-03-21 15:00:00,10.159,10.33,10.157,10.216,3824534,39120039.371,76259,1907381,19514261.303,0.0001174766025766,APE-USDT,10.185405779894884,10.218946199389295,
2022-03-21 16:00:00,10.216,10.325,10.002,10.068,3646205,37044977.508,71399,1721443,17493837.653,0.0002284987631262,APE-USDT,10.197620723182403,10.234280371466504,0.0001
2022-03-21 17:00:00,10.069,10.25,10.01,10.069,3071459,31061223.776,65959,1479076,14959153.544,0.0004371758440475,APE-USDT,10.05837913894426,10.085701203093349,
2022-03-21 18:00:00,10.069,10.113,9.699,9.809,6166683,60923582.843,120298,2838871,28049486.602,0.0005508180668325,APE-USDT,10.081324705882352,10.0832862041418,
2022-03-21 19:00:00,9.809,9.947,9.74,9.888,2592756,25582074.619,56500,1280000,12630839.412,0.000171955129826,APE-USDT,9.773680686557409,9.833987093271304,
2022-03-21 20:00:00,9.887,9.959,9.759,9.907,2145297,21186393.691,48108,1086851,10736552.858,0.000525157042154,APE-USDT,9.874326017516744,9.908918818546647,
2022-03-21 21:00:00,9.907,10.25,9.894,10.191,4491421,45463878.61,87468,2385366,24143847.802,-0.0004217629692111,APE-USDT,9.913140552908962,9.951648373472846,
2022-03-21 22:00:00,10.19,10.62,10.167,10.606,5553293,57927593.292,109498,2883101,30085744.642,-0.0003581594375011,APE-USDT,10.25629302158065,10.356174344434937,
2022-03-21 23:00:00,10.607,10.836,10.38,10.521,7233086,76516481.015,135722,3512126,37169597.511,0.0015993602558976,APE-USDT,10.625272191268136,10.619135078688585,
2022-03-22 00:00:00,10.518,10.649,10.219,10.367,4181834,43388616.305,88552,1967087,20416680.796,-0.0004724303165282,APE-USDT,10.537576977832012,10.556269484781629,0.0001
2022-03-22 01:00:00,10.367,11.045,10.32,10.799,9624666,103682602.291,187732,4917310,52967174.706,0.0004632203075782,APE-USDT,10.397265842672216,10.375881706745156,
2022-03-22 02:00:00,10.8,11.355,10.66,11.108,9483910,104240808.157,179288,4759351,52335465.165,0.0002611412774311,APE-USDT,10.759963973937056,10.79361992258521,
2022-03-22 03:00:00,11.109,11.635,11.103,11.307,8779290,99905794.042,173230,4282468,48739259.963,6.191238513042485e-05,APE-USDT,11.142123216601815,11.180055849030731,
2022-03-22 04:00:00,11.307,11.5,11.034,11.305,5816884,65602714.576,120441,2753870,31081387.993,0.000442477876106,APE-USDT,11.284511124427048,11.310235946309446,
2022-03-22 05:00:00,11.299,11.454,10.998,11.021,5037774,56463829.559,109870,2276030,25528318.311,0.0002995180482316,APE-USDT,11.33846300416986,11.323802723245668,
2022-03-22 06:00:00,11.018,11.044,10.72,10.873,6448454,70096635.208,120065,2948253,32063915.473,0.0003312050343164,APE-USDT,10.958025129831563,10.892879836292565,
2022-03-22 07:00:00,10.874,11.052,10.713,10.765,3741069,40634181.044,76764,1786038,19413880.151,0.0008274374540959,APE-USDT,10.887960628937106,10.9035955869749,
2022-03-22 08:00:00,10.765,10.9,10.562,10.787,4695049,50380686.761,89572,2258687,24256482.849,0.0004451781640111,APE-USDT,10.775844757339724,10.696297545563093,0.0001
2022-03-22 09:00:00,10.789,10.899,10.713,10.846,2488252,26881334.423,51374,1244858,13450952.061,-9.219138932414772e-05,APE-USDT,10.775542580944606,10.795892869849542,
2022-03-22 10:00:00,10.844,10.934,10.718,10.778,2475879,26741612.672,54150,1175217,12697000.041,-6.494289663872e-05,APE-USDT,10.82381149895443,10.79056335982714,
2022-03-22 11:00:00,10.779,10.911,10.743,10.874,2074065,22477711.785,45174,1042709,11302663.553,0.0005704926480059,APE-USDT,10.789778934079433,10.767946961770216,
2022-03-22 12:00:00,10.874,10.89,10.564,10.716,3115857,33305785.626,66476,1407491,15045371.122,0.0003267211201865,APE-USDT,10.880480674833974,10.84607629631016,
2022-03-22 13:00:00,10.715,10.752,10.592,10.664,2193847,23415092.109,49316,1047379,11181468.357,0.0002063441445159,APE-USDT,10.70400834871254,10.692935659044709,
2022-03-22 14:00:00,10.666,10.904,10.657,10.83,3125502,33782402.985,63821,1596224,17257244.262,0.0001292872578173,APE-USDT,10.67256331979106,10.71292172531874,
2022-03-22 15:00:00,10.829,10.98,10.667,10.928,3218662,34821385.281,63871,1618068,17517791.414,0.0005401891577627,APE-USDT,10.838029912596852,10.815784856632035,
2022-03-22 16:00:00,10.928,11.4,10.925,11.321,9063587,101709276.342,173959,4512337,50634326.582,-0.0004061594970685,APE-USDT,10.975368803149838,11.039738550821728,0.0001
2022-03-22 17:00:00,11.321,11.834,11.282,11.688,11344435,131517018.235,210397,5854054,67879695.52,-0.0001710863986311,APE-USDT,11.306587833022864,11.369039099170667,
2022-03-22 18:00:00,11.688,11.742,11.396,11.734,6223829,71886779.31,136776,3068086,35449990.232,-5.965214279024522e-05,APE-USDT,11.639929745825343,11.573594263406928,
2022-03-22 19:00:00,11.734,12.582,11.65,12.266,18142282,222089889.383,353445,9135327,111806962.434,-0.0009203978073355,APE-USDT,11.71049756354376,11.793461409444554,
2022-03-22 20:00:00,12.268,12.412,11.886,11.99,10249210,124029913.72,208700,5047161,61091165.778,0.0003504146573445,APE-USDT,12.235940766837247,12.20822681699376,
2022-03-22 21:00:00,11.991,12.258,11.821,11.941,5455101,65837795.856,127612,2721639,32863712.788,0.0010059518819682,APE-USDT,12.004231346193311,12.082604096539496,
2022-03-22 22:00:00,11.94,12.368,11.9,12.118,5753904,70068734.446,135446,2940199,35805800.685,0.0009002981721468,APE-USDT,11.944832593852732,11.983673392381816,
2022-03-22 23:00:00,12.116,12.46,12.02,12.209,5447476,66725469.591,127495,2709309,33194231.831,-0.0006548252435132,APE-USDT,12.073917997691463,12.078049892470908,
2022-03-23 00:00:00,12.212,12.85,12.071,12.413,9707054,121295390.923,200926,4825729,60345467.742,-0.0002818829782949,APE-USDT,12.200478318563542,12.253536784653164,0.0001
2022-03-23 01:00:00,12.414,12.441,11.679,11.97,9205220,110239980.451,174963,4193978,50238528.922,-0.0002088118605135,APE-USDT,12.342684363296518,12.37226521472662,
2022-03-23 02:00:00,11.97,12.066,11.712,11.844,3207561,38104673.307,76467,1540445,18308439.585,-1.6885901960583816e-05,APE-USDT,11.936410789980732,11.890324638287789,
2022-03-23 03:00:00,11.844,11.908,11.58,11.735,3109366,36515485.947,73704,1491364,17525673.637000002,0.0004944923779965,APE-USDT,11.859523693629203,11.846779535039149,
2022-03-23 04:00:00,11.732,11.848,11.5,11.799,3789159,44340277.41,82741,1890572,22141504.177,0.0001864912518649,APE-USDT,11.727257304077702,11.762136600458174,
2022-03-23 05:00:00,11.799,12.235,11.704,12.106,5240330,62825337.674,117001,2700963,32397044.149,-0.0004211013037627,APE-USDT,11.784863026734469,11.754801817658644,
2022-03-23 06:00:00,12.106,12.347,11.9,12.064,5112435,61871492.667,108639,2427524,29387680.99,-0.0003148875519979,APE-USDT,12.13394588943591,12.08192100987579,
2022-03-23 07:00:00,12.065,12.131,11.85,11.971,3844207,46145330.685,84000,1740924,20903781.373,0.0003008172201146,APE-USDT,12.09300739134802,12.093193147842545,
2022-03-23 08:00:00,11.971,12.126,11.815,11.96,2955746,35380544.073,75152,1434306,17175464.784,0.0004851851232203,APE-USDT,11.971562215253536,11.93620807144642,0.0001
2022-03-23 09:00:00,11.959,12.266,11.932,12.196,3740455,45256770.457,88780,1871950,22651754.265,4.099872903950974e-05,APE-USDT,11.949262672619664,12.005793873511092,
