本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-10-25 02:00:00,9.293,9.31,9.214,9.281,3361.3,31121.3984,457,1900.5,17604.8003,,APTBUSD,9.260260211106011,9.260260211106011,
2022-10-25 03:00:00,9.27,9.362,9.246,9.262,37168.2,345314.0099,1316,21419.3,199061.4421,,APTBUSD,9.264333333333331,9.265790944274704,
2022-10-25 04:00:00,9.265,9.33,9.224,9.312,28542.4,264974.3816,4301,14161.5,131562.1394,,APTBUSD,9.264235658914728,9.245615660303365,
2022-10-25 05:00:00,9.309,9.314,9.15,9.245,76957.1,711255.2311,5157,39401.5,364204.7324,,APTBUSD,9.30959756097561,9.28851703750873,
2022-10-25 06:00:00,9.245,9.251,9.036,9.181,79937.0,731571.6825,3784,36960.2,338801.357,,APTBUSD,9.24764788239412,9.234124078266142,
2022-10-25 07:00:00,9.177,9.25,9.125,9.166,36167.2,332472.4128,2050,21764.9,200242.1102,,APTBUSD,9.172764906303236,9.20042074131674,
2022-10-25 08:00:00,9.164,9.303,9.133,9.272,56084.0,517347.3496,2546,37586.0,347031.4744,,APTBUSD,9.1570263143468,9.15916749982046,0.0001
2022-10-25 09:00:00,9.273,9.282,9.104,9.141,71475.0,655938.881,3017,28651.0,263112.1797,,APTBUSD,9.257339519858112,9.248722922233076,
2022-10-25 10:00:00,9.141,9.25,9.057,9.208,87174.2,798693.8176,2941,52057.2,476807.1646,,APTBUSD,9.140182427922058,9.100686047061265,
2022-10-25 11:00:00,9.206,9.265,9.152,9.204,57392.7,528854.6021,2261,27512.2,253869.54,,APTBUSD,9.218430903928065,9.21192058890774,
2022-10-25 12:00:00,9.204,9.28,9.144,9.22,75364.6,693894.2649000001,3180,41661.3,383474.2198,,APTBUSD,9.203500496031744,9.193666825808268,
2022-10-25 13:00:00,9.22,9.431,9.211,9.289,216707.2,2021715.3685,8937,98616.0,919549.5825,,APTBUSD,9.22775404780262,9.229779744087043,
2022-10-25 14:00:00,9.296,9.325,9.216,9.275,75830.5,703001.4081,3304,29793.0,276321.4361,,APTBUSD,9.293161764705882,9.290705290604029,
2022-10-25 15:00:00,9.274,9.47,9.251,9.414,105339.9,985521.8295,3768,48884.4,457379.0075,,APTBUSD,9.286190446484271,9.272988391690882,
2022-10-25 16:00:00,9.417,9.466,9.078,9.183,180412.5,1669805.0556,5666,87416.9,808312.6015,,APTBUSD,9.40815919629057,9.41555837651494,-0.00030989
2022-10-25 17:00:00,9.183,9.255,8.708,8.916,437225.3,3914405.3644,17179,200536.5,1793835.0258,,APTBUSD,9.227112855206316,9.187538768149826,
2022-10-25 18:00:00,8.913,8.972,8.65,8.76,222027.0,1960988.1019,5987,107239.4,947720.0746,,APTBUSD,8.939656017635953,8.935869944839535,
2022-10-25 19:00:00,8.76,8.853,8.756,8.784,116197.4,1022606.3868,2922,57374.7,505174.6312,,APTBUSD,8.7650115694165,8.791258164879846,
2022-10-25 20:00:00,8.783,8.799,8.503,8.584,216317.5,1868871.7417,7294,93730.1,810661.9338,,APTBUSD,8.786961899503037,8.757274684346747,
2022-10-25 21:00:00,8.579,8.714,8.514,8.7,75295.8,650292.0383,3153,29141.1,251759.8059,,APTBUSD,8.575037827877736,8.567767340168057,
2022-10-25 22:00:00,8.697,8.838,8.632,8.816,92728.0,811874.5484,3153,51248.9,449458.5524,,APTBUSD,8.686548122572292,8.672627424287025,
2022-10-25 23:00:00,8.815,8.821,8.732,8.766,63002.0,552848.8451,2146,24849.6,218100.7815,,APTBUSD,8.81569118162693,8.807204830421801,
2022-10-26 00:00:00,8.772,8.896,8.653,8.697,124921.3,1095994.0428,4053,63567.0,557930.9162,,APTBUSD,8.786427464055011,8.82117285878119,-0.0004864
2022-10-26 01:00:00,8.698,8.774,8.6,8.726,73947.3,642152.4954,2969,34016.9,295421.0013,,APTBUSD,8.70160643745428,8.726566614896958,
2022-10-26 02:00:00,8.726,8.817,8.724,8.772,81226.5,712419.7844,3248,38356.0,336512.091,,APTBUSD,8.747559909718362,8.754096438510862,
2022-10-26 03:00:00,8.778,8.895,8.759,8.841,145027.9,1280971.1779,4228,76756.3,678258.1027,,APTBUSD,8.797030652995144,8.812209237522685,
2022-10-26 04:00:00,8.838,8.877,8.774,8.785,77849.5,686065.4802,2883,35392.8,311934.449,,APTBUSD,8.828912792767138,8.814309855460769,
2022-10-26 05:00:00,8.786,8.94,8.711,8.93,138069.0,1222413.1087,3733,56879.0,503609.2773,,APTBUSD,8.784574351297405,8.800215763407575,
2022-10-26 06:00:00,8.93,9.235,8.849,9.177,320969.8,2898830.0511,10454,168690.7,1522960.4611,,APTBUSD,8.912133930836223,8.881384659498611,
2022-10-26 07:00:00,9.178,9.273,9.1,9.155,237462.7,2180307.4018,7641,115985.5,1065628.7761,,APTBUSD,9.16817208474112,9.155251476642736,
2022-10-26 08:00:00,9.16,9.208,9.051,9.103,268112.0,2442718.4479,6585,123316.2,1123465.7666,,APTBUSD,9.154837438002394,9.108839226531243,-0.00011925
