本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-03-20 07:00:00,52.563,54.18,50.374,53.895,650.9,34728.10061,230,191.53,10129.07779,,AVAXUSDC,52.563,51.47866666666667,
2024-03-20 08:00:00,53.65,54.001,52.587,52.587,1302.18,69684.94249,313,803.35,43066.90776,,AVAXUSDC,53.64857894736842,53.44019230538588,
2024-03-20 09:00:00,52.645,53.408,52.645,53.147,1152.64,61129.22734,340,223.25,11850.4968,,AVAXUSDC,52.74514366197183,52.857767125146175,
2024-03-20 10:00:00,53.132,53.334,52.636,52.963,1521.9,80600.36519,602,1101.79,58379.51242,,AVAXUSDC,53.077083248730965,53.06454529839484,
2024-03-20 11:00:00,52.895,54.158,52.818,53.464,2742.92,147003.84099,304,1956.61,104911.03492,,AVAXUSDC,52.895,52.90895222087131,
2024-03-20 12:00:00,53.346,54.788,53.101,54.07,3656.22,196931.76373,395,1342.99,72714.70028,,AVAXUSDC,53.350919491525424,53.24046657238874,
2024-03-20 13:00:00,54.093,54.123,52.746,52.908,1502.93,79971.63794,228,468.51,24861.82983,,AVAXUSDC,54.06326165980796,53.86759998875319,
2024-03-20 14:00:00,52.665,53.893,52.524,53.659,938.29,49787.6863,326,289.16,15421.64037,,AVAXUSDC,52.66357279236277,52.66269293088915,
2024-03-20 15:00:00,53.653,54.015,52.232,52.643,1163.56,61866.35414,399,609.7,32518.86495,,AVAXUSDC,53.681,53.79128995932516,
2024-03-20 16:00:00,52.615,52.999,50.519,51.558,3646.42,188296.13346,941,1385.03,71316.94372,,AVAXUSDC,52.57047529200359,52.62508589461154,
2024-03-20 17:00:00,51.505,53.145,51.172,52.747,2439.04,127912.26387,735,1339.65,70257.77808999999,,AVAXUSDC,51.51757403189066,51.35419271006104,
2024-03-20 18:00:00,52.746,55.904,52.746,55.878,7179.12,388878.22359,1621,3096.18,167382.2706,,AVAXUSDC,53.009433437083146,53.3541818671507,
2024-03-20 19:00:00,55.892,56.0,54.694,55.392,3088.51,171549.48448,905,1585.92,88237.86064,,AVAXUSDC,55.86192594159967,55.5561992743165,
2024-03-20 20:00:00,55.372,56.985,54.98,55.84,3161.38,177321.62179,953,1793.81,100592.08699,,AVAXUSDC,55.30515773712648,55.20815427604269,
2024-03-20 21:00:00,55.862,57.121,55.762,57.121,908.6,51379.06776,372,555.09,31390.40519,,AVAXUSDC,55.95562455516014,56.00729378313663,
2024-03-20 22:00:00,57.189,58.2,56.745,57.282,1258.83,72384.23918,672,711.01,40900.9188,,AVAXUSDC,57.24528396226415,57.484072101024665,
2024-03-20 23:00:00,57.189,57.405,56.62,57.102,1846.13,105200.01526,485,928.58,52961.70084,,AVAXUSDC,57.06208758314856,56.86952271151828,
2024-03-21 00:00:00,57.053,57.899,56.478,57.163,1465.06,83433.66066,475,732.1,41734.94494,,AVAXUSDC,56.96386297123016,56.71670516562335,
2024-03-21 01:00:00,57.21,57.779,56.568,57.1,735.8,42024.96412,329,361.65,20641.80533,,AVAXUSDC,57.25041362530413,57.28917614771088,
2024-03-21 02:00:00,57.159,57.189,56.081,56.31,3733.71,211055.10183,714,576.12,32577.7005,,AVAXUSDC,57.07368918918919,56.9082135087751,
2024-03-21 03:00:00,56.301,57.347,55.725,55.82,1990.45,112019.49356,590,1076.4,60704.53872,,AVAXUSDC,56.31195818181818,56.44285701487057,
2024-03-21 04:00:00,55.874,56.251,54.933,55.059,3098.33,171671.20678,689,960.56,53315.51299,,AVAXUSDC,56.00265834719911,56.051146612078085,
2024-03-21 05:00:00,55.06,55.062,53.783,54.792,1861.34,101332.55425,477,1161.61,63347.68421,,AVAXUSDC,55.061,54.98828616352869,
2024-03-21 06:00:00,54.827,55.479,54.437,54.726,760.3399999999999,41892.64518,439,613.49,33812.94645,,AVAXUSDC,54.82374342105263,54.95248089214772,
2024-03-21 07:00:00,54.699,55.351,54.375,54.472,2486.01,136317.50494,566,1240.89,68124.0445,,AVAXUSDC,54.689150000000005,54.74415401169747,
2024-03-21 08:00:00,54.438,55.35,54.438,54.915,3883.61,214030.43628,660,1836.68,101149.62966,,AVAXUSDC,54.438,54.50533440502917,
2024-03-21 09:00:00,54.818,55.175,54.271,54.78,3293.42,180237.36453,711,1529.36,83678.88448000001,,AVAXUSDC,54.85188471930351,54.99183625856642,
2024-03-21 10:00:00,54.759,55.167,54.534,54.885,3509.04,192455.22117,684,1767.62,96948.33235,,AVAXUSDC,54.78835063613232,54.74779708936696,
2024-03-21 11:00:00,54.942,55.272,54.599,54.979,3530.01,193860.43036,675,2177.11,119561.44092,,AVAXUSDC,54.96563773333334,54.87972545287724,
2024-03-21 12:00:00,54.997,55.769,54.757,54.908,5658.47,312520.00955,1218,2437.52,134659.50673,,AVAXUSDC,55.033601278898175,55.06028371528557,
2024-03-21 13:00:00,54.926,55.568,54.322,54.399,5437.8,298829.32287,1491,2567.82,141222.29176,,AVAXUSDC,54.94706032141241,55.048302841237785,
2024-03-21 14:00:00,54.368,55.246,54.06,55.113,5450.0,298534.69816,1265,2825.56,154856.03675,,AVAXUSDC,54.23885301284162,54.17440611321898,
2024-03-21 15:00:00,55.113,55.173,54.06,54.663,6095.13,332279.67816,1572,3125.92,170477.25218,,AVAXUSDC,55.16165927710844,54.9702344190526,
2024-03-21 16:00:00,54.695,56.202,54.233,56.202,4709.97,260256.94676,1470,2838.58,156817.19724,,AVAXUSDC,54.62087492401216,54.45110982693674,
2024-03-21 17:00:00,56.173,56.413,53.728,54.11,6668.66,366241.84229,1811,2683.35,147233.35536,,AVAXUSDC,56.06394902654867,56.02126576352968,
2024-03-21 18:00:00,54.055,54.278,52.83,53.273,5270.68,281926.53794,1468,2649.1,141691.43737,,AVAXUSDC,54.15568570659971,54.07615144975161,
2024-03-21 19:00:00,53.272,54.081,53.146,53.755,4423.37,237761.28035,1123,2085.45,112087.08688,,AVAXUSDC,53.24400411805079,53.341534313408296,
2024-03-21 20:00:00,53.729,54.855,53.187,54.127,4872.1,263344.97262,1641,2746.69,148449.81904,,AVAXUSDC,53.66602205882353,53.441922801759134,
2024-03-21 21:00:00,54.126,54.173,53.346,54.036,2526.52,135889.61573,706,1390.75,74933.74341,,AVAXUSDC,54.138701877934274,54.01988313755737,
2024-03-21 22:00:00,54.027,54.374,53.55,53.665,3445.23,185851.88931,947,1879.06,101483.0586,,AVAXUSDC,54.03746371379897,54.01405223824479,
2024-03-21 23:00:00,53.659,54.34,53.406,53.854,3635.6,195817.16671,1014,2357.26,126837.88618,,AVAXUSDC,53.725838105933,53.69948765849549,
2024-03-22 00:00:00,53.844,54.413,53.284,54.26,3478.07,187322.45969,1178,1669.4,90020.59994,,AVAXUSDC,53.79940723508201,53.717886283868985,
2024-03-22 01:00:00,54.319,54.737,53.223,53.269,4290.13,232041.14211,1463,1414.35,76468.30551,,AVAXUSDC,54.32046672555949,54.20785271663012,
2024-03-22 02:00:00,53.271,53.701,52.711,53.571,3810.29,202369.19615,1292,1886.98,100230.1956,,AVAXUSDC,53.39843275740123,53.4336153459408,
2024-03-22 03:00:00,53.624,55.357,53.613,55.234,3129.1,170386.66501,1479,1721.48,93777.1813,,AVAXUSDC,53.62380727762803,53.73622741336605,
2024-03-22 04:00:00,55.236,56.251,55.0,55.946,2178.65,120783.90016,1235,1297.86,71991.5399,,AVAXUSDC,55.288147813822285,55.15174090195421,
2024-03-22 05:00:00,55.936,56.125,55.325,55.857,2072.92,115557.75584,957,887.78,49491.17156,,AVAXUSDC,55.88574823529412,55.926677083285504,
2024-03-22 06:00:00,55.827,56.072,55.593,55.927,2094.29,116894.81236,994,1000.67,55866.54293,,AVAXUSDC,55.944870435806834,55.8235928613153,
2024-03-22 07:00:00,55.946,56.439,55.8,55.865,1802.59,101133.44465,907,929.97,52180.7828,,AVAXUSDC,55.95310753880266,55.928145891322174,
2024-03-22 08:00:00,55.899,56.667,55.29,55.983,3220.79,180218.48241,1122,1547.23,86623.92615,,AVAXUSDC,55.8686524822695,55.87549990004477,
2024-03-22 09:00:00,55.984,56.202,55.302,55.625,2709.66,151034.30805,1050,909.77,50759.61536,,AVAXUSDC,55.988340500219394,56.0365622814608,
2024-03-22 10:00:00,55.658,55.865,54.7,54.7,2461.9300000000003,135913.4631,1337,1021.23,56422.57718,,AVAXUSDC,55.673995,55.70713570405643,
2024-03-22 11:00:00,54.695,55.441,54.43,54.811,4828.5,265518.18405,1654,2906.08,159911.4638,,AVAXUSDC,54.82779509598935,54.63936703107508,
2024-03-22 12:00:00,54.781,57.824,54.526,56.437,32024.28,1826028.26362,5458,16965.57,968936.04848,,AVAXUSDC,54.864176256233215,54.88300786587191,
2024-03-22 13:00:00,56.476,56.964,54.497,54.887,14366.89,802046.04726,4772,6877.2300000000005,383553.29164,,AVAXUSDC,56.52832972215142,56.35785179180034,
2024-03-22 14:00:00,54.803,55.245,52.948,53.067,12914.5,697637.46854,4088,5717.22,309174.24885000003,,AVAXUSDC,54.99335114320096,54.96057094668159,
2024-03-22 15:00:00,53.044,54.441,53.017,53.616,7553.1,406651.29718,2653,4121.1,222001.58338,,AVAXUSDC,53.134724142623845,53.38510534826107,
2024-03-22 16:00:00,53.658,53.658,52.469,52.92,7377.09,391108.96187,2683,3404.01,180548.74137,,AVAXUSDC,53.51954396333375,53.376945550259336,
2024-03-22 17:00:00,52.902,53.706,52.902,53.508,7652.059999999999,407987.23336,2497,4421.679999999999,235772.16821,,AVAXUSDC,53.02940045932552,53.05233186125936,
2024-03-22 18:00:00,53.488,54.055,53.233,53.674,7116.87,382143.69353,2587,3549.11,190547.1701,,AVAXUSDC,53.4289312628454,53.49208363492977,
2024-03-22 19:00:00,53.633,54.159,53.233,53.869,7473.3,400849.89954,2271,4386.57,235363.81803,,AVAXUSDC,53.66801201766022,53.612411462622376,
2024-03-22 20:00:00,53.886,53.938,52.884,53.043,6925.360000000001,369150.4675,2385,3299.26,175878.27304,,AVAXUSDC,53.7988936010307,53.76975769556135,
2024-03-22 21:00:00,52.988,53.028,51.849,52.38,7086.32,371188.14065,2066,2936.06,153855.93265,,AVAXUSDC,53.01145559105432,52.9169964957023,
2024-03-22 22:00:00,52.38,52.485,51.656,52.217,5677.4,295591.71664,2031,2824.99,147122.84945,,AVAXUSDC,52.31353369763206,52.26809071332061,
2024-03-22 23:00:00,52.213,53.504,52.13,53.485,6308.97,333019.24728,2354,4130.07,217880.45977,,AVAXUSDC,52.17052360984503,52.245550092393,
2024-03-23 00:00:00,53.483,53.485,52.818,52.893,5169.37,274208.96021,2112,2075.71,110103.74909,,AVAXUSDC,53.40423946012626,53.2239078011511,
2024-03-23 01:00:00,52.891,54.319,52.87,54.224,4438.88,237907.36233,1646,2290.38,122902.34315,,AVAXUSDC,52.89326292813969,53.039281076511486,
2024-03-23 02:00:00,54.228,54.505,53.651,54.248,7263.09,392789.79706,2067,3653.64,197522.84937,,AVAXUSDC,54.1894323922734,54.09452205924439,
