本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-04-04 07:00:00,636.12,674.12,633.08,668.63,174.025,114723.01633,269,117.123,77020.03758999999,,BCHUSDC,636.12,635.1610220903395,
2024-04-04 08:00:00,667.4,683.23,662.72,680.92,358.364,241207.78493,433,214.146,144028.58383,,BCHUSDC,667.7490985130111,669.2350346936112,
2024-04-04 09:00:00,682.34,684.13,673.87,673.87,376.605,255219.07522,428,192.986,130740.39757,,BCHUSDC,682.4479253112032,681.3962130845937,
2024-04-04 10:00:00,674.1,674.67,662.96,670.39,255.59,171038.8906,347,117.746,78760.52823,,BCHUSDC,674.3385849056604,673.7413230826613,
2024-04-04 11:00:00,670.55,670.55,644.17,646.38,288.526,189040.29236,470,122.431,80366.83957,,BCHUSDC,670.5500000000001,669.3490823324215,
2024-04-04 12:00:00,644.7,656.49,640.57,652.64,432.587,281004.18296,495,277.411,180407.43855,,BCHUSDC,644.7334540969001,643.2809192823221,
2024-04-04 13:00:00,652.47,666.78,648.01,651.7,1039.944,682922.68104,1092,523.611,343965.94173,,BCHUSDC,652.4380436461954,651.8898172423861,
2024-04-04 14:00:00,651.97,652.48,634.98,641.37,489.887,315127.42338,884,204.09,131155.32007,,BCHUSDC,652.0166490765172,646.0182208710054,
2024-04-04 15:00:00,641.37,643.0,632.61,634.91,207.984,132526.05177,374,90.139,57412.09648,,BCHUSDC,641.1948648648648,641.7960108510061,
2024-04-04 16:00:00,634.99,642.83,632.51,638.3,189.891,121480.65994,324,88.628,56714.55473,,BCHUSDC,634.99,633.8238025561859,
2024-04-04 17:00:00,638.41,648.28,635.33,645.31,167.821,107531.64977,358,105.429,67548.39343,,BCHUSDC,638.5309895301328,637.3156031294847,
2024-04-04 18:00:00,645.72,650.0,636.23,637.85,185.946,119887.71667,460,80.391,51835.05098,,BCHUSDC,645.5716666666667,646.4070223305525,
2024-04-04 19:00:00,637.62,645.85,636.51,640.06,61.58,39471.59402,170,38.361,24597.99692,,BCHUSDC,636.8142188575362,637.643215327782,
2024-04-04 20:00:00,641.95,647.4,633.66,646.11,209.573,134154.47452,645,142.519,91283.18259,,BCHUSDC,641.9858088578089,640.9410003930736,
2024-04-04 21:00:00,645.85,652.06,633.76,640.0,236.573,151748.71754,527,100.211,64351.81731,,BCHUSDC,644.3518563685637,648.0378393530611,
2024-04-04 22:00:00,639.35,639.35,626.33,628.52,195.749,123802.60166,454,80.017,50592.62414,,BCHUSDC,639.1950670147954,638.4448132033352,
2024-04-04 23:00:00,628.0,674.29,626.85,665.57,1210.759,795018.5038300001,2029,844.753,553806.68042,,BCHUSDC,628.0,627.8474554828123,
2024-04-05 00:00:00,666.08,685.67,660.27,672.35,746.713,504606.89108,1859,357.203,241422.91574,,BCHUSDC,663.3007963287893,673.7559349743651,
2024-04-05 01:00:00,671.77,685.34,657.42,683.64,569.664,383463.40092,1386,327.069,220437.53251,,BCHUSDC,671.7502247191012,671.2629310480354,
2024-04-05 02:00:00,683.85,695.26,670.61,684.8,1671.05,1144344.63595,3087,749.259,513651.11236,,BCHUSDC,680.707420758823,680.2708858927355,
2024-04-05 03:00:00,684.37,697.66,681.18,697.55,557.481,384464.90026,1404,244.479,169121.60069,,BCHUSDC,684.1058395396072,684.8066923072502,
2024-04-05 04:00:00,697.81,719.71,696.16,700.33,2156.064,1516844.96144,3113,890.652,626835.6786100001,,BCHUSDC,697.9492787177204,698.8394007933523,
2024-04-05 05:00:00,700.4,706.49,688.18,689.7,717.906,498287.57368,1984,339.812,235749.10605,,BCHUSDC,701.4711330713742,703.1975344489215,
2024-04-05 06:00:00,689.01,708.43,684.35,690.03,677.269,471090.68145,2099,311.279,216581.08075,,BCHUSDC,686.8620768207514,687.7683607878187,
2024-04-05 07:00:00,690.17,692.15,681.16,689.42,477.948,327805.39405,1298,242.757,166594.08783,,BCHUSDC,691.2261190817791,690.1737125719831,
2024-04-05 08:00:00,689.89,698.81,686.72,691.26,481.694,333170.25951,1337,184.467,127689.65435,,BCHUSDC,689.6886312640239,690.0655720467693,
2024-04-05 09:00:00,691.48,696.71,682.69,693.84,759.619,523257.88568,1525,366.901,252955.2681,,BCHUSDC,690.4967797464102,691.3865090797306,
2024-04-05 10:00:00,694.36,695.46,681.3,687.25,488.225,335335.11564,1242,261.23,179403.05296,,BCHUSDC,694.4477250918743,693.1887685983844,
2024-04-05 11:00:00,687.74,689.31,679.83,685.51,524.74,358502.96954,1191,257.66,176081.19932,,BCHUSDC,687.7419387755101,686.2017902196145,
2024-04-05 12:00:00,685.68,686.1,660.0,662.76,1561.222,1048763.28001,4003,599.215,402693.5029,,BCHUSDC,685.0627180899908,682.4089818856194,
2024-04-05 13:00:00,663.02,676.34,645.97,669.94,1199.876,792940.55067,3547,617.507,408028.24986,,BCHUSDC,662.1666988469806,657.0444375701387,
2024-04-05 14:00:00,669.8,681.97,662.62,675.78,701.859,471129.54852,2161,254.51,171037.39964,,BCHUSDC,668.1877926657263,670.2361950320723,
2024-04-05 15:00:00,675.93,676.0,663.04,667.97,503.729,337321.2206,1579,286.901,192264.33147,,BCHUSDC,675.5210073614878,673.3668185652084,
2024-04-05 16:00:00,668.12,673.49,661.55,664.76,635.969,423143.84341,1479,260.108,173040.84045,,BCHUSDC,668.2176534148828,669.9790700296153,
2024-04-05 17:00:00,664.54,672.64,659.35,667.65,471.083,313038.93329,1254,289.63100000000003,192442.80444,,BCHUSDC,664.7464850960811,663.2764277127891,
2024-04-05 18:00:00,668.12,669.19,661.51,664.72,392.311,261202.03369,828,200.026,133316.93246,,BCHUSDC,667.5458103975535,667.6348974365044,
2024-04-05 19:00:00,665.12,669.45,655.62,659.0,509.249,336601.74839,1080,244.359,161686.53001,,BCHUSDC,664.6047303206997,665.534251339934,
2024-04-05 20:00:00,659.04,668.82,658.29,665.11,370.584,245599.01838,862,243.608,161354.1758,,BCHUSDC,659.3503793626707,659.6784866945169,
2024-04-05 21:00:00,664.64,679.81,664.64,667.63,386.361,259739.70828,1257,216.073,145301.40946,,BCHUSDC,665.9799425287357,666.8797311068482,
2024-04-05 22:00:00,667.63,668.23,656.25,656.96,348.05,230130.14755,890,212.834,140727.28642,,BCHUSDC,667.965103899136,666.9868683090605,
2024-04-05 23:00:00,656.9,663.95,655.48,658.13,434.145,286247.35816,1305,274.319,180868.04756,,BCHUSDC,656.3773214285713,656.6784405135957,
2024-04-06 00:00:00,657.86,689.07,657.29,686.21,520.976,349996.82033,1935,277.196,186118.09691,,BCHUSDC,658.9874742096506,659.089430300853,
