本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-09-28 12:00:00,0.253,0.2795,0.2521,0.2696,20434489,5450171.9301,33602,9655433,2576792.6188,-0.0040635389730327,BICO-USDT,0.2645620581677568,0.2645620581677568,
2023-09-28 13:00:00,0.2695,0.281,0.266,0.2782,29900874,8181349.9739,57816,14880612,4076549.9939,-0.0035816618911175,BICO-USDT,0.2705806892504766,0.2723837977417472,
2023-09-28 14:00:00,0.2782,0.2826,0.2659,0.2696,19163086,5234837.7867,38805,9341864,2553723.1339,-0.00037078235076,BICO-USDT,0.2794074760761971,0.2770339706943059,
2023-09-28 15:00:00,0.2696,0.2763,0.2644,0.2746,9427395,2534461.2626,20739,5014218,1348784.4121,-0.0003640334910811,BICO-USDT,0.270316035611598,0.2692952782604904,
2023-09-28 16:00:00,0.2745,0.2773,0.2625,0.2674,10764839,2897718.8825,23641,5205210,1401540.7389,-0.0011206574523718,BICO-USDT,0.2752976761210643,0.2736902811460389,-0.0007656
2023-09-28 17:00:00,0.2676,0.2708,0.2653,0.269,3443598,921105.4702,8272,1616977,432722.1241,-0.0003716090672611,BICO-USDT,0.2677028117231727,0.2673038287240588,
2023-09-28 18:00:00,0.2689,0.28,0.2689,0.277,13414751,3690910.7145,27383,7395836,2035392.9981,-0.0003608805485384,BICO-USDT,0.2698303833022421,0.2708908934997618,
2023-09-28 19:00:00,0.2772,0.3047,0.274,0.2823,76694733,22432774.0787,131174,38182047,11181728.2727,-0.0010615711252655,BICO-USDT,0.2772716853932584,0.2763229699653108,
2023-09-28 20:00:00,0.2822,0.2898,0.2655,0.2716,31637801,8833117.7668,58356,15233175,4258633.6828,-0.0011033468186831,BICO-USDT,0.2806557066031249,0.2835355683500255,
2023-09-28 21:00:00,0.2716,0.2756,0.2662,0.2706,13784238,3740731.1243,33400,6911404,1876697.9501,-0.0014760147601476,BICO-USDT,0.2716131440658693,0.2715380754079762,
2023-09-28 22:00:00,0.2706,0.2708,0.2409,0.253,33714376,8513243.2544,50664,16151194,4076292.1588,-0.0027591643673628,BICO-USDT,0.2704669168443497,0.2621079298713947,
2023-09-28 23:00:00,0.2532,0.2596,0.251,0.2572,7140588,1823740.1983,15280,3666790,937228.6592,-0.0011650485436893,BICO-USDT,0.2539864001539423,0.2544280670877551,
2023-09-29 00:00:00,0.257,0.26,0.2465,0.2563,7779835,1971866.6462,15347,3691623,936870.0648,-0.0019470404984424,BICO-USDT,0.2579057209492698,0.2566224521676002,-0.0003837
2023-09-29 01:00:00,0.2563,0.2738,0.2559,0.2692,14670991,3907877.8855,28265,7990631,2128430.4177,-0.0022238695329873,BICO-USDT,0.256240991889643,0.258518766564913,
2023-09-29 02:00:00,0.2691,0.2692,0.24,0.25,40084823,10012155.1858,49917,19649453,4905263.8619,-0.0043807248108322,BICO-USDT,0.2672751912471091,0.2523677085613905,
2023-09-29 03:00:00,0.2502,0.253,0.2478,0.2516,5968223,1494064.8592,10137,3073330,769197.9948999999,-0.0035643564356435,BICO-USDT,0.2507994552217677,0.2492417906326581,
2023-09-29 04:00:00,0.2518,0.2548,0.2438,0.2502,6378667,1585636.1974,10048,3305287,821857.5713,-0.003187250996016,BICO-USDT,0.2517341288662075,0.2525471100989405,
2023-09-29 05:00:00,0.2502,0.254,0.248,0.2521,3830082,961084.5834,6685,1843977,463168.9629,-0.0015841584158415,BICO-USDT,0.2505147905061758,0.2513274973438519,
2023-09-29 06:00:00,0.252,0.2558,0.2488,0.254,4020661,1014454.289,5972,2111161,533259.8562,-0.0019646365422396,BICO-USDT,0.2517072270315554,0.2521220038704742,
2023-09-29 07:00:00,0.2541,0.26,0.2532,0.2574,4373532,1120795.7878,6857,2096441,537915.5455,-0.0027121270825261,BICO-USDT,0.2539236541094378,0.2537395237529572,
2023-09-29 08:00:00,0.2574,0.2632,0.2529,0.253,6752867,1738760.271,9933,2893708,746699.5133,-0.0027591643673628,BICO-USDT,0.2571929007249555,0.2575212640540446,-0.00039279
2023-09-29 09:00:00,0.2532,0.2561,0.2507,0.2535,3175402,804714.7231,6281,1565387,396976.7437,-0.0015754233950374,BICO-USDT,0.2530309740704129,0.2523167899869333,
2023-09-29 10:00:00,0.2534,0.2574,0.2523,0.2526,1844836,470401.4214,4061,851475,217382.2745,-0.0023696682464454,BICO-USDT,0.2529895358857565,0.2531823153908939,
2023-09-29 11:00:00,0.2526,0.2548,0.2487,0.2524,2963014,745037.6410000001,5654,1168355,294338.4475,-0.0007917656373712,BICO-USDT,0.2523180600934568,0.2534744500523629,
