本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-04-28 12:00:00,0.7439,0.7439,0.6761,0.6998,5874112,4121651.3549,16064,2718089,1907507.1621,,BLUR-USDT,0.6997262608247315,0.6977233405243118,
2023-04-28 13:00:00,0.6996,0.7053,0.6602,0.6795,9176103,6274567.7731,19283,3603243,2467151.5121,,BLUR-USDT,0.6986769774152934,0.699311414965146,
2023-04-28 14:00:00,0.6797,0.6857,0.6577,0.6661,7416976,4992327.7162,17983,3538525,2382504.1376,,BLUR-USDT,0.6783086393660954,0.6773688867297594,
2023-04-28 15:00:00,0.6659,0.686,0.6653,0.6815,8772198,5941294.2075000005,19431,4668188,3162424.9807,,BLUR-USDT,0.6678261197251093,0.6716994201046274,
2023-04-28 16:00:00,0.6817,0.6889,0.6697,0.6748,4289422,2903964.3336,9676,1824767,1236790.7131,,BLUR-USDT,0.6827893249750159,0.6802563515056737,0.0001
2023-04-28 17:00:00,0.6751,0.6783,0.6666,0.6729,2417154,1623229.0334,5215,1061151,712749.6981,,BLUR-USDT,0.6750773382712157,0.675083301433963,
2023-04-28 18:00:00,0.6731,0.6784,0.6646,0.6768,2274124,1528930.6728,5686,1067180,718445.7829,,BLUR-USDT,0.6736543249022933,0.6735316186892029,
2023-04-28 19:00:00,0.6769,0.6836,0.6753,0.6806,1273154,865629.9965,3835,587644,399669.7774,,BLUR-USDT,0.6767284916720945,0.6797469752906711,
2023-04-28 20:00:00,0.6816,0.6881,0.6766,0.6875,1571926,1073634.4227,3688,773535,528381.4196,,BLUR-USDT,0.6819306637649619,0.6816388731788382,
2023-04-28 21:00:00,0.6872,0.6962,0.6844,0.6932,2434733,1683603.506,5594,1204022,832355.73,,BLUR-USDT,0.6877591496914884,0.6865493501331095,
2023-04-28 22:00:00,0.6932,0.702,0.6896,0.6941,2479827,1726774.9297,5307,1167654,813600.058,,BLUR-USDT,0.6930306690084623,0.691388558724438,
2023-04-28 23:00:00,0.6937,0.695,0.6836,0.6889,1963471,1352251.8543,5414,845289,582314.5666,,BLUR-USDT,0.6936023089992479,0.6941212397887477,
2023-04-29 00:00:00,0.6885,0.6894,0.68,0.681,1745981,1193010.4289,4046,805149,550276.764,,BLUR-USDT,0.6888506001546161,0.6883514982811892,0.0001
2023-04-29 01:00:00,0.6815,0.6866,0.6747,0.676,2326883,1584810.1097,4656,981969,669680.8997,,BLUR-USDT,0.681591899588651,0.6813583906248921,
2023-04-29 02:00:00,0.6755,0.6851,0.6733,0.6836,3674502,2497016.702,6810,2150150,1460702.9608,,BLUR-USDT,0.6746366573568859,0.6765635062714372,
2023-04-29 03:00:00,0.6832,0.6862,0.68,0.683,2163439,1477422.0049,4462,1088190,743329.2147,,BLUR-USDT,0.6834749639690942,0.6843304318288814,
2023-04-29 04:00:00,0.6834,0.6856,0.6775,0.6809,2736797,1863687.8069,5214,1350160,919550.2353,,BLUR-USDT,0.6819041349662686,0.6808930531234749,
2023-04-29 05:00:00,0.6809,0.686,0.6788,0.6813,2046173,1396145.9844,4668,1054727,719652.9134,,BLUR-USDT,0.6809005416618646,0.681076199764741,
2023-04-29 06:00:00,0.681,0.6861,0.6776,0.6845,2597460,1770737.3829,5402,1140408,777649.3927,,BLUR-USDT,0.6805041845816926,0.6815857561157246,
2023-04-29 07:00:00,0.6844,0.701,0.6818,0.6976,3945952,2726725.0296,8824,1911690,1321308.4184,,BLUR-USDT,0.6843528569781423,0.6844930165398712,
2023-04-29 08:00:00,0.6979,0.7191,0.694,0.7092,8842478,6235704.5898,23232,4292998,3027970.2827,,BLUR-USDT,0.6958732731570757,0.6978476262741519,0.0001
2023-04-29 09:00:00,0.7091,0.7114,0.6984,0.7011,2654536,1868189.8319,8100,1148651,808778.2,,BLUR-USDT,0.7096933587662337,0.7080788569031309,
2023-04-29 10:00:00,0.7011,0.7092,0.7,0.7015,2036582,1434667.5308,4737,804449,567013.6756,,BLUR-USDT,0.7017402437780498,0.7016277704495987,
