本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2021-01-12 07:00:00,36060.5,36615.1,35714.0,36433.4,44.903,1613561.7826,342,28.416,1019287.8692,-0.0001898995398502,BTCBUSD,36060.50000000001,35937.278042905134,
2021-01-12 08:00:00,36453.3,36496.1,35510.8,35778.9,34.193,1230397.1291,368,18.466,664293.6151,-0.0005692851923277,BTCBUSD,36475.02991266376,36321.49297426193,0.0001
2021-01-12 09:00:00,35787.8,36130.2,35482.2,35935.4,30.476,1093006.0207,330,12.327,441540.0446,7.959359399589694e-05,BTCBUSD,35841.34366515837,35654.14855008926,
2021-01-12 10:00:00,35924.4,36105.7,34790.7,35061.2,28.601,1008649.7693,315,21.1,743480.569,-0.0001787981853268,BTCBUSD,35932.22357247438,36002.62920634561,
2021-01-12 11:00:00,35138.1,35766.7,35134.0,35369.2,27.161,962148.0551,302,6.98,247199.1007,-0.000761382240724,BTCBUSD,35173.77857142857,35181.539061945376,
2021-01-12 12:00:00,35350.9,35861.0,34848.2,34998.1,29.814,1051230.6311,334,17.008,600022.3051,-0.0001631250998105,BTCBUSD,35363.950249999994,35512.37625079804,
2021-01-12 13:00:00,34987.6,35343.1,33214.4,33214.4,34.5,1187552.7773,440,12.85,442948.7958,-0.0005043459211174,BTCBUSD,35076.67490909091,35152.24746543837,
2021-01-12 14:00:00,33320.2,33980.4,32520.4,33367.6,55.814,1858883.8693,606,25.891,862568.8393,-0.0009918944885337,BTCBUSD,33336.9375,33521.06672666914,
2021-01-12 15:00:00,33461.0,34269.0,33454.8,33796.1,33.06,1119385.4459,384,15.259,516432.3639,-0.000762819356689,BTCBUSD,33599.466844919785,33654.08538857028,
2021-01-12 16:00:00,33798.1,34965.8,33798.1,34936.9,29.802,1028767.4285,352,17.677,610613.921,-0.0012298484387613,BTCBUSD,33853.30534351145,34097.78025439724,0.0001
2021-01-12 17:00:00,34966.6,35301.1,34529.2,34973.8,35.787,1247352.118,428,18.83,656438.0833,-0.0007197350552115,BTCBUSD,34909.15595667871,34846.464031442374,
2021-01-12 18:00:00,34952.9,35506.6,34788.8,34978.7,32.421,1138066.3455,380,14.177,498149.1388,-0.0013529914415225,BTCBUSD,34985.847887323944,34873.07400322475,
2021-01-12 19:00:00,34998.1,35000.1,34137.5,34648.8,31.308,1083277.8938,379,10.693,370638.5784,-0.0002060252874398,BTCBUSD,34981.85666666667,34820.29870482758,
2021-01-12 20:00:00,34581.7,34628.7,33544.7,34259.8,41.618,1417887.2563,482,26.244,894960.3961,-0.0001683906031622,BTCBUSD,34534.61666666667,34537.98797020039,
2021-01-12 21:00:00,34212.4,34828.7,33690.6,34661.3,32.507,1112938.7674,376,13.232,453824.5396,-0.0015161060703872,BTCBUSD,34197.44393939394,34317.34630202876,
2021-01-12 22:00:00,34653.5,35180.3,33353.3,33609.2,41.241,1413864.4753,540,25.287,868370.9784,-0.0032835190593571,BTCBUSD,34651.66942528736,34855.044098426515,
2021-01-12 23:00:00,33655.6,34053.8,33272.8,34021.1,33.717,1133463.9236,448,18.636,626815.3392,-0.0002362680925818,BTCBUSD,33648.17347242921,33508.364315736704,
2021-01-13 00:00:00,33877.8,33878.2,32346.7,32402.7,31.635,1045977.6117,407,13.651,451142.5838,-0.0029938461538461,BTCBUSD,33866.944,33732.84687410417,0.0001
2021-01-13 01:00:00,32362.9,33170.0,32362.9,33070.7,35.166,1155367.2026,415,14.299,470291.7677,-0.0007203605186838,BTCBUSD,32533.888030303027,32697.692577610072,
2021-01-13 02:00:00,33064.1,33466.3,32542.6,32981.9,32.465,1070811.7412,373,12.892,425540.2332,-0.0007468214642245,BTCBUSD,33120.28392857143,33325.2328088073,
2021-01-13 03:00:00,32987.0,34318.8,32943.1,33764.7,35.465,1198536.5376,567,21.418,723957.6117,-0.0007274496526709,BTCBUSD,33039.3478097622,33166.53086422182,
2021-01-13 04:00:00,33813.9,33862.8,33066.9,33126.6,32.31,1080193.0868,380,13.573,453684.9261,-0.0010418818406479,BTCBUSD,33820.80099009903,33782.1686734672,
2021-01-13 05:00:00,33126.6,33477.5,32743.0,33269.1,32.604,1080381.6043,441,16.45,546092.2212,-0.0008424144408756,BTCBUSD,33243.7085733882,33346.4624665757,
2021-01-13 06:00:00,33267.0,34195.6,33189.8,33724.2,29.735,1002176.2206,399,13.017,439484.1395,-0.0011048087318396,BTCBUSD,33328.59942965779,33286.73156051844,
2021-01-13 07:00:00,33762.3,35116.0,33708.3,34938.4,31.229,1075992.2053,395,13.611,468171.1355,-0.0008907749742276,BTCBUSD,33778.1368038741,33761.10413489178,
2021-01-13 08:00:00,34951.6,35014.3,34300.0,34504.6,32.415,1122875.9855,393,9.825,340895.5738,0.0001133310667118,BTCBUSD,34939.08631415241,34845.52147312889,0.0001
2021-01-13 09:00:00,34488.9,35054.7,34173.2,34303.4,34.069,1180508.6963,420,13.411,464093.2428,-0.0008190723859589,BTCBUSD,34524.3111747851,34629.061641880195,
2021-01-13 10:00:00,34337.8,34980.0,34294.6,34851.2,32.197,1116408.1713,431,12.487,433375.1783,-0.0014369071683474,BTCBUSD,34372.589380530975,34477.34180278059,
2021-01-13 11:00:00,34873.9,35241.3,34236.1,34312.1,35.586,1236628.2457,458,19.289,670738.9639,-0.0016140215907031,BTCBUSD,34861.54685185185,34832.12067884682,
2021-01-13 12:00:00,34403.6,34460.1,33932.5,34229.1,32.374,1107648.0365,472,18.605,636856.298,-0.0003381942181055,BTCBUSD,34391.943825301205,34160.55118458946,
2021-01-13 13:00:00,34229.9,34732.7,33955.2,34529.1,30.735,1059146.6924,402,15.012,517488.7285,-0.0003928474550461,BTCBUSD,34230.40463709677,34129.88725748017,
2021-01-13 14:00:00,34556.4,35052.0,34200.0,34202.8,32.87,1138997.0565,410,16.947,587314.8144,-0.0012629193731832,BTCBUSD,34512.4252918288,34465.548984434834,
2021-01-13 15:00:00,34203.6,34797.1,34184.9,34605.3,29.924,1032224.8496,371,15.005,518083.3472,-0.0012055853496413,BTCBUSD,34212.876148267525,34208.65782028114,
2021-01-13 16:00:00,34652.4,34882.3,34396.9,34720.2,31.383,1084801.8218,359,13.366,462032.9028,-0.0010538935800533,BTCBUSD,34712.88671875,34762.414421534515,0.0001
2021-01-13 17:00:00,34721.5,35000.0,34614.2,34774.2,30.772,1070566.1738,375,12.683,441048.8129,-0.0005276990253089,BTCBUSD,34708.772540983606,34695.915625427,
2021-01-13 18:00:00,34785.1,35879.7,34695.5,35703.5,33.567,1185287.9887,502,19.943,705240.2605,4.7336535598629936e-05,BTCBUSD,34826.810545454544,34770.16043058189,
2021-01-13 19:00:00,35694.2,36147.5,35549.2,35966.2,34.119,1224452.1437,460,19.014,682516.1069,-0.0005535467563606,BTCBUSD,35737.902105263165,35784.89695121245,
2021-01-13 20:00:00,35999.7,36419.6,35660.2,36196.2,37.098,1338084.0484,545,17.358,626426.356,-0.0004791024354144,BTCBUSD,36031.75667372882,36044.52432239303,
2021-01-13 21:00:00,36207.5,37344.3,36008.8,37237.5,38.225,1396318.8653,545,18.788,684771.7776,-0.0013125415030237,BTCBUSD,36244.254739336495,36233.26254277598,
2021-01-13 22:00:00,37259.5,37763.5,36863.7,37103.7,38.44,1436377.4114,504,13.928,521008.1025,-0.0030118936075252,BTCBUSD,37378.42791666667,37586.20323760272,
2021-01-13 23:00:00,37117.0,37564.0,36953.0,37355.7,31.076,1158692.7357,380,13.67,509862.3008,-0.0007318823017699,BTCBUSD,37244.69772985244,37328.94269947809,
2021-01-14 00:00:00,37451.4,38144.7,37451.4,37765.8,33.693,1274013.0767,483,17.965,678821.7192,-0.0002943596248713,BTCBUSD,37451.4,37707.58164293736,0.0001
2021-01-14 01:00:00,37766.0,37768.0,37376.2,37413.6,31.286,1174159.7852,381,14.128,530136.7975,-0.0012698482188356,BTCBUSD,37633.632121724426,37554.13157423794,
2021-01-14 02:00:00,37414.6,37644.6,37104.7,37417.6,29.828,1115625.5912,369,14.046,525599.9002,-0.0004116687383676,BTCBUSD,37404.16088560885,37480.57410893005,
2021-01-14 03:00:00,37431.8,37462.6,36980.0,37024.3,27.284,1016763.0332,331,14.584,543485.4886,-0.0006151630262996,BTCBUSD,37436.41582568808,37363.17234916326,
2021-01-14 04:00:00,37049.4,37534.9,36615.4,37476.6,32.435,1205584.9813,407,20.873,777338.2642,-0.0008392858285468,BTCBUSD,37084.878113207546,37099.49047872347,
2021-01-14 05:00:00,37499.0,37742.1,37307.2,37503.1,28.933,1085471.6283,346,13.151,493181.796,-0.0006781503681865,BTCBUSD,37527.2773964497,37487.3253414486,
2021-01-14 06:00:00,37541.9,38100.0,37450.0,37804.2,32.349,1222004.709,398,14.48,547005.0128,-0.0010292483580253,BTCBUSD,37525.08833333333,37516.464588570336,
2021-01-14 07:00:00,37806.9,38534.1,37709.1,38212.5,46.191,1765881.0192,648,23.45,897951.5779,0.0002944929812505,BTCBUSD,37832.30344827587,37778.60165906961,
2021-01-14 08:00:00,38216.9,38757.0,38212.0,38364.6,34.312,1321602.1406,489,19.27,742091.6834,-0.000411928898102,BTCBUSD,38218.214742014745,38438.92330627913,0.0001
2021-01-14 09:00:00,38331.9,38446.9,37952.4,37957.1,28.459,1087799.1516,375,12.667,484175.3815,0.0002951570525404,BTCBUSD,38368.47651245551,38404.784269493146,
2021-01-14 10:00:00,37898.9,38461.9,37898.9,38461.9,30.575,1166717.0214,361,14.338,547451.2008,-0.0005719273327476,BTCBUSD,37930.83789473685,38064.53392505184,
2021-01-14 11:00:00,38412.1,38579.7,37990.6,38341.1,35.733,1367574.8049,446,17.303,662702.1468,-0.0005466336931244,BTCBUSD,38438.33106212425,38504.671091068565,
2021-01-14 12:00:00,38294.4,38381.1,37693.5,38298.2,33.645,1280457.7781,435,12.505,475945.6219,0.001109113736307,BTCBUSD,38282.28030821918,38333.77348096753,
2021-01-14 13:00:00,38201.1,38999.2,38171.2,38999.2,40.004,1543638.3851,540,21.023,811207.3739,0.0005844559351526,BTCBUSD,38201.89722222223,38220.72495029597,
2021-01-14 14:00:00,39000.0,39734.5,38771.6,39572.9,49.611,1948991.7126,780,18.528,726160.2161,-0.0004715650326571,BTCBUSD,38983.45521796565,38890.74500611018,
2021-01-14 15:00:00,39557.8,40132.9,39338.1,39486.4,47.664,1891572.5037,718,21.113,838552.6422,-0.0011183738373882,BTCBUSD,39551.19073170732,39514.14977291399,
2021-01-14 16:00:00,39510.0,39955.0,39119.2,39221.4,35.961,1425624.6548,539,13.26,525933.6707,-0.0006818154023017,BTCBUSD,39636.38819320216,39702.37171561632,0.0001
2021-01-14 17:00:00,39294.3,39822.7,39294.3,39386.1,29.728,1175977.1449,362,11.797,466331.7334,-0.0003198075063389,BTCBUSD,39337.05656836461,39388.61338317799,
2021-01-14 18:00:00,39386.6,39566.0,39221.7,39251.9,30.088,1185615.0136,424,13.831,544930.9525,-0.0013819695712281,BTCBUSD,39399.99038461538,39456.670962638185,
2021-01-14 19:00:00,39251.0,39868.4,39251.0,39790.7,28.711,1136682.2904,397,9.999,396026.5743,-0.0013196704688971,BTCBUSD,39295.78873239437,39435.60860711804,
2021-01-14 20:00:00,39788.2,39870.6,39286.4,39320.8,29.374,1162632.2382,402,12.308,487191.2915,0.000401984480346,BTCBUSD,39838.26839762611,39792.51012825402,
2021-01-14 21:00:00,39321.5,39474.9,38226.0,38748.7,59.139,2289167.4066,998,29.518,1142740.3319,0.0004910962342057,BTCBUSD,39328.32272727272,39347.51191433889,
2021-01-14 22:00:00,38735.1,39041.3,38327.3,38919.5,42.642,1649437.8283,650,17.932,693936.9856,-0.0004014369542363,BTCBUSD,38626.21915151515,38620.93292752966,
2021-01-14 23:00:00,38908.3,39262.8,38695.6,39091.6,51.083,1991572.7191,789,23.467,915322.0071,-0.000565530458366,BTCBUSD,38881.859309849024,38947.51484822888,
2021-01-15 00:00:00,39164.4,39703.3,38985.9,39413.6,42.083,1660086.2498,664,18.067,712560.6054,-0.000128872910001,BTCBUSD,39113.4925445705,39125.23332321599,0.0001
2021-01-15 01:00:00,39455.9,39570.3,38965.3,39092.9,40.924,1610222.7273,609,14.774,580857.7635,-0.000897311158937,BTCBUSD,39442.437798165134,39384.52583489851,
2021-01-15 02:00:00,39091.8,39424.9,38757.3,39224.2,39.636,1553402.1272,566,21.081,826079.4785,9.6123372436141e-05,BTCBUSD,39027.147106690776,38944.10783661543,
2021-01-15 03:00:00,39215.8,39322.0,38406.8,38635.9,52.498,2034971.0033,825,27.68,1073114.9833,-0.0004354155579696,BTCBUSD,39254.28097261567,39146.528808177565,
2021-01-15 04:00:00,38632.0,38749.4,38289.5,38397.9,53.066,2043802.7131,874,24.476,942746.5249,5.260981126120612e-05,BTCBUSD,38587.47990936556,38551.15266745058,
2021-01-15 05:00:00,38372.7,38797.0,37761.3,37775.6,53.595,2056182.0917,853,26.092,1001507.9928,-0.0001164637374272,BTCBUSD,38395.47261785357,38418.174638084216,
2021-01-15 06:00:00,37750.0,38068.5,37536.2,37963.4,72.06400000000001,2726244.0304,1112,35.037,1325631.7349,-0.0010930158026825,BTCBUSD,37706.58946988821,37806.23738534922,
2021-01-15 07:00:00,37966.5,38443.8,37615.6,38409.9,68.148,2603055.0091,1156,34.261,1309151.6497,-0.0007830385015608,BTCBUSD,37965.35806988353,37803.66983955669,
2021-01-15 08:00:00,38415.2,38602.8,38121.3,38251.4,54.002,2071330.4812,869,27.113,1039766.2166,0.0001289007848306,BTCBUSD,38466.19089751751,38496.93214791297,0.0001
2021-01-15 09:00:00,38235.3,38666.6,37999.5,38630.5,51.334,1966816.2301,783,23.405,896400.7321,-0.0004046975972243,BTCBUSD,38136.70668789809,38081.724408980175,
2021-01-15 10:00:00,38642.8,38790.0,38280.1,38430.8,51.867,1997856.5335,781,30.439,1172740.1405,0.0005415256443634,BTCBUSD,38636.45175,38590.050732061056,
2021-01-15 11:00:00,38383.6,38506.4,37893.0,38018.7,55.386,2113805.7375,886,23.565,899367.434,-0.0014778737842735,BTCBUSD,38398.64590017825,38343.273844529365,
2021-01-15 12:00:00,38051.5,38142.2,37174.3,37750.9,81.243,3056540.1717,1417,37.346,1404542.0224,0.0003253961061639,BTCBUSD,38094.71781895937,38021.45480237086,
2021-01-15 13:00:00,37711.5,37911.4,37231.6,37640.8,94.735,3556970.0107,1356,46.635,1751343.867,0.0001304605789846,BTCBUSD,37708.534378265416,37627.48451235477,
2021-01-15 14:00:00,37637.7,37717.8,36578.0,36857.6,94.502,3504435.3625,1556,46.702,1731192.0339,-0.0007588329209319,BTCBUSD,37645.55526802218,37673.50422806428,
2021-01-15 15:00:00,36842.5,36947.5,34993.3,35530.4,177.837,6404148.6552,2645,87.331,3152984.7155,-0.000310623317457,BTCBUSD,36813.310543840176,36727.61346800947,
2021-01-15 16:00:00,35530.4,36300.0,34362.0,36113.8,305.014,10803069.5373,5721,142.41,5044720.1186,-0.000516986379014,BTCBUSD,35359.39376472721,35064.42911981,0.0001
2021-01-15 17:00:00,36112.2,36112.2,35286.5,35950.3,162.13,5794722.9968,3024,77.905,2784801.4614,0.000405446056056,BTCBUSD,36067.68348736906,35978.58176871966,
2021-01-15 18:00:00,35923.0,36443.2,34768.6,35387.1,196.871,6996212.4366,3537,96.729,3439900.3922,-0.0006179223462524,BTCBUSD,36008.27338505147,35977.605955260085,
2021-01-15 19:00:00,35395.6,35902.9,35118.0,35184.0,121.793,4329874.5684,2175,57.185,2032578.6571,-0.0004545454545454,BTCBUSD,35508.75036764706,35468.383499764815,
2021-01-15 20:00:00,35108.4,35702.8,34800.0,35561.7,171.732,6039724.021,3126,84.718,2980007.2176,-0.0004533722264681,BTCBUSD,35099.40650080257,35206.23151201916,
2021-01-15 21:00:00,35540.5,36388.8,35523.8,36216.4,110.347,3971029.0838,1742,50.752,1827040.2287,-0.0006195008947579,BTCBUSD,35545.45795339412,35683.219594703565,
2021-01-15 22:00:00,36239.8,36920.0,35911.4,36570.0,63.837,2321487.9624,895,38.319,1393805.3236,-0.0006299010331197,BTCBUSD,36301.73878575012,36204.827253889656,
2021-01-15 23:00:00,36573.8,36937.4,36351.8,36737.6,68.062,2492977.0944,883,33.646,1232493.9216,8.112238536828187e-05,BTCBUSD,36578.83345132744,36547.7802128053,
2021-01-16 00:00:00,36739.0,37420.6,36739.0,37154.7,82.37,3063062.7979,999,43.379,1612929.3953,-0.0002809083996455,BTCBUSD,36779.782766570606,37008.07487664254,0.0001
2021-01-16 01:00:00,37170.1,37632.5,36900.0,37005.1,76.97,2869978.1687,975,40.043,1493098.1796,-0.0002061452910931,BTCBUSD,37220.14560906515,37250.813353804144,
2021-01-16 02:00:00,37005.0,37218.5,36016.6,36228.7,83.9,3073612.0008,1088,37.411,1370317.7474,0.0003650372713546,BTCBUSD,36980.368521341465,37088.9589411945,
2021-01-16 03:00:00,36210.9,36647.4,35992.1,36515.5,65.999,2399528.0626,819,30.696,1115777.126,-0.0002940351922343,BTCBUSD,36218.00926517572,36161.869486767726,
2021-01-16 04:00:00,36538.4,36656.8,36118.6,36552.0,42.104,1531556.9957,535,18.25,663542.0929,-0.0004662412613946,BTCBUSD,36610.60364058869,36594.41048748788,
2021-01-16 05:00:00,36563.9,36657.7,35522.9,35847.4,90.131,3236223.4111,1132,43.592,1566331.6776,-0.0001464326904705,BTCBUSD,36621.90112474437,36524.56272564955,
2021-01-16 06:00:00,35850.0,36355.1,35811.4,36098.8,74.629,2693990.3637,897,29.498,1064656.9995,-0.0002630974041979,BTCBUSD,35939.87791385135,35883.64355377202,
2021-01-16 07:00:00,36116.2,36964.2,36054.6,36567.0,70.051,2566346.0034,888,34.12,1249360.3853,-0.0002660161255531,BTCBUSD,36158.91092783506,36155.00081192535,
2021-01-16 08:00:00,36581.3,37493.0,36395.4,37455.6,84.828,3139370.0871,1116,42.126,1558036.3241,-0.0006160834330123,BTCBUSD,36584.62450103235,36578.156717381615,0.0001
2021-01-16 09:00:00,37469.3,37643.5,37212.5,37416.6,68.059,2542752.8584,842,30.373,1134700.0101,-0.0009500114546069,BTCBUSD,37454.33831990793,37483.16159730862,
2021-01-16 10:00:00,37450.0,38149.1,37257.0,37421.3,80.196,3021881.7358,954,42.701,1611621.2333,0.0001590256405461,BTCBUSD,37607.11480301274,37770.39585673594,
2021-01-16 11:00:00,37433.4,37818.1,37150.0,37677.8,45.744,1714871.2932,640,20.635,773936.2042,-0.0001857512843373,BTCBUSD,37458.36045918367,37314.77433176439,
2021-01-16 12:00:00,37693.5,37889.7,36781.9,37356.8,72.042,2684547.7807,1015,28.143,1049183.5834,-7.708845471898762e-05,BTCBUSD,37701.01652661064,37734.118769924666,
2021-01-16 13:00:00,37360.2,37659.9,37077.4,37160.7,59.366,2220848.8585,877,26.539,992851.9848,0.0002037513393891,BTCBUSD,37369.15510948906,37406.49364676652,
2021-01-16 14:00:00,37159.5,37322.4,36676.5,37205.1,61.012,2259562.304,886,24.472,906795.2076,-0.000195365143365,BTCBUSD,37174.55607142857,37113.87811466832,
