本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-08-08 12:00:00,0.1358,0.1594,0.1358,0.1462,160367657,24323011.7626,85305,74032820,11225772.0647,,DODOX-USDT,0.1463836551835509,0.1461239942496801,
2023-08-08 13:00:00,0.1463,0.1571,0.1441,0.1465,155614488,23415647.2477,77224,74210500,11173872.9637,,DODOX-USDT,0.1462761269466217,0.1480813361289157,
2023-08-08 14:00:00,0.1464,0.1497,0.1283,0.1329,179091296,24664108.1318,92558,83830641,11543198.2911,,DODOX-USDT,0.147076030218871,0.1480488497761785,
2023-08-08 15:00:00,0.1328,0.1392,0.1302,0.1321,97228314,13099632.8772,48685,46216420,6231458.0281,,DODOX-USDT,0.1327640939358056,0.1333528911488622,
2023-08-08 16:00:00,0.132,0.1321,0.1212,0.1246,123268433,15532846.0477,62771,57527225,7251299.8144,,DODOX-USDT,0.1295886147241121,0.1290649272080784,-0.00269595
2023-08-08 17:00:00,0.1246,0.1348,0.1231,0.1294,80973802,10518859.7014,47086,43115285,5602425.0655000005,,DODOX-USDT,0.1240611263297556,0.1242306156015357,
2023-08-08 18:00:00,0.1294,0.1334,0.1276,0.1304,26998612,3525939.6042,21656,13465512,1759841.9774,,DODOX-USDT,0.1284116365776181,0.1288804788772165,
2023-08-08 19:00:00,0.1303,0.1315,0.128,0.1293,19325439,2506879.6811,13774,9493058,1231598.2693,,DODOX-USDT,0.1295488378067179,0.1287836085029339,
2023-08-08 20:00:00,0.1294,0.1325,0.1283,0.1314,14140688,1844714.1223,11499,7127698,930216.4167,,DODOX-USDT,0.12970396451162,0.1295743513737601,
2023-08-08 21:00:00,0.1314,0.1325,0.1275,0.13,15058593,1961313.8591,12575,7533878,981638.7985,,DODOX-USDT,0.130322265880119,0.129765953215068,
2023-08-08 22:00:00,0.13,0.1311,0.1286,0.1297,11054379,1435949.0887,8057,5587386,726376.0775,,DODOX-USDT,0.1296854394832912,0.1300633222263581,
2023-08-08 23:00:00,0.1297,0.1303,0.1261,0.1281,16621102,2131739.1985,11363,8060528,1035060.4626,,DODOX-USDT,0.1299773829071223,0.1301262127591305,
2023-08-09 00:00:00,0.1282,0.1349,0.1227,0.1236,53893033,6974158.8967,32497,25720531,3336508.8602,,DODOX-USDT,0.1295146992963002,0.1302121989363524,0.0001
2023-08-09 01:00:00,0.1237,0.1306,0.1233,0.1258,35406797,4497313.4313,21384,18027769,2291927.8719,,DODOX-USDT,0.1242273754629276,0.124528284396039,
2023-08-09 02:00:00,0.1259,0.1616,0.1231,0.133,313244489,44205584.0981,156875,159713429,22533004.336,,DODOX-USDT,0.1242997496334434,0.1362639061151886,
2023-08-09 03:00:00,0.1329,0.1332,0.129,0.1323,42890954,5632221.6269,20081,20486407,2692038.6976,,DODOX-USDT,0.1325699292087107,0.1323600693085885,
2023-08-09 04:00:00,0.1323,0.1324,0.1267,0.1295,51383483,6667582.8235,22709,24543860,3184255.0994,,DODOX-USDT,0.1306623850804523,0.1290970618858639,
2023-08-09 05:00:00,0.1295,0.1339,0.1283,0.1304,31891760,4149636.6059,14084,16958290,2208344.1953,,DODOX-USDT,0.1293316926498458,0.1295857366200976,
2023-08-09 06:00:00,0.1304,0.1306,0.1248,0.1277,60629677,7705473.9009,29345,30510639,3877691.1723,,DODOX-USDT,0.1280677571071193,0.126416245561038,
2023-08-09 07:00:00,0.1277,0.1311,0.1275,0.1288,25810523,3328696.8673,11853,13779794,1778584.6918,,DODOX-USDT,0.1278799982497432,0.1279809425723785,
2023-08-09 08:00:00,0.1288,0.1288,0.1242,0.1256,42516440,5346393.7957,21445,18404821,2315183.2079,,DODOX-USDT,0.1271413011914525,0.1265835710812404,-0.00143712
2023-08-09 09:00:00,0.1255,0.1274,0.1203,0.123,53158715,6560517.895,23085,25469247,3143406.4768,,DODOX-USDT,0.1255490452240712,0.1256228835424294,
2023-08-09 10:00:00,0.1229,0.1231,0.113,0.1169,118564361,13855671.5986,59505,54532705,6370059.7582,,DODOX-USDT,0.1185664240677868,0.1178747917547759,
2023-08-09 11:00:00,0.117,0.1184,0.1156,0.1176,26002468,3042126.0351,11734,13211899,1546667.1823,,DODOX-USDT,0.1166935703369906,0.1167436427133768,
2023-08-09 12:00:00,0.1176,0.1178,0.113,0.1169,53452989,6188807.9536,22796,23602180,2733954.7441,,DODOX-USDT,0.1164564603039823,0.1165480068129333,
