本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2021-08-18 03:00:00,0.29095,0.2979699999999999,0.2893699999999999,0.29785,376178,110985.16803,2232,251172,74054.21449,,DOGEBUSD,0.291352634194831,0.291352634194831,
2021-08-18 04:00:00,0.2979699999999999,0.30149,0.29283,0.29706,1003727,298022.76399,2389,527676,156833.95575,,DOGEBUSD,0.2983549838923631,0.2979517653384592,
2021-08-18 05:00:00,0.29628,0.30524,0.29611,0.3049199999999999,523195,157488.97123,532,289877,87273.55657,,DOGEBUSD,0.2963026853215513,0.2976861230170899,
2021-08-18 06:00:00,0.30473,0.30571,0.30033,0.30272,458092,138622.3555,1083,220494,66802.97623,,DOGEBUSD,0.3050100469425825,0.3035148796964327,
2021-08-18 07:00:00,0.3028,0.30332,0.29363,0.29615,537851,160174.05844,1290,239065,71373.26733,,DOGEBUSD,0.3027175026968716,0.3018020546344386,
2021-08-18 08:00:00,0.2958199999999999,0.29961,0.29151,0.29622,612333,181120.90033,1441,280504,83214.09766,,DOGEBUSD,0.2962855082388187,0.2958652487916608,0.0001
2021-08-18 09:00:00,0.29632,0.29965,0.29483,0.29846,1495255,445117.95979,1596,387341,115318.38755,,DOGEBUSD,0.2970297110780915,0.2973969506854105,
2021-08-18 10:00:00,0.29846,0.30145,0.29436,0.29515,1007176,299928.08627,1372,648343,192963.21513,,DOGEBUSD,0.2990480659295519,0.2994128324761272,
2021-08-18 11:00:00,0.29528,0.29853,0.2857,0.28641,1983161,577755.0157,2357,947636,276221.33786,,DOGEBUSD,0.295899112652137,0.2968677056801286,
2021-08-18 12:00:00,0.286,0.2926,0.28407,0.2914199999999999,1027188,296568.03297,1805,536364,155003.20436,,DOGEBUSD,0.287079078896785,0.2885514851780389,
2021-08-18 13:00:00,0.29151,0.29553,0.28938,0.29227,1162998,340180.85697,1310,560945,164098.6347,,DOGEBUSD,0.2921083508040173,0.2929890135244634,
2021-08-18 14:00:00,0.29213,0.2964699999999999,0.29201,0.2947,1529643,449810.09165,1328,682094,200670.67766,,DOGEBUSD,0.2924337098344693,0.2931146645731918,
2021-08-18 15:00:00,0.29472,0.31949,0.29045,0.31866,4300001,1328509.27774,4112,2074533,637533.16598,,DOGEBUSD,0.2947633000481232,0.2944761297435396,
2021-08-18 16:00:00,0.31883,0.32559,0.312,0.32431,7169369,2289843.90797,5926,3285588,1050800.3586,,DOGEBUSD,0.3188273868859893,0.3184715942493066,0.0001
2021-08-18 17:00:00,0.32414,0.32414,0.31647,0.32039,21282311,6806547.23153,3342,1255522,402539.59886,,DOGEBUSD,0.3232644448194398,0.3221401880250879,
2021-08-18 18:00:00,0.3205699999999999,0.32348,0.3089,0.3089,2314534,729778.41941,2132,971271,306778.77702,,DOGEBUSD,0.3205505406943654,0.3213365083261688,
2021-08-18 19:00:00,0.30888,0.31132,0.29936,0.30213,2189855,666386.21318,2020,942942,286975.80507,,DOGEBUSD,0.3095389418003377,0.3103447022691563,
2021-08-18 20:00:00,0.3023699999999999,0.3035199999999999,0.29501,0.29561,1764663,526234.17455,1760,623940,186193.16637,,DOGEBUSD,0.3024465924295395,0.3016432400486377,
2021-08-18 21:00:00,0.29557,0.29973,0.29167,0.2995,1584657,469918.65614,1429,751280,223594.33759,,DOGEBUSD,0.2951325786866238,0.2953336434156139,
2021-08-18 22:00:00,0.29923,0.30859,0.29827,0.30745,2262231,689852.38451,1751,1169549,356747.20263,,DOGEBUSD,0.2986204243610473,0.3001235013229126,
2021-08-18 23:00:00,0.3074,0.31239,0.3032,0.30336,1365364,421332.98428,1466,586909,180930.85052,,DOGEBUSD,0.3068136500249626,0.3077674093773798,
2021-08-19 00:00:00,0.30382,0.31215,0.29867,0.31111,2869255,872575.77549,2814,1484358,452621.89855,,DOGEBUSD,0.3041599705100187,0.3048321746777039,0.0001
2021-08-19 01:00:00,0.31095,0.3115699999999999,0.30624,0.30653,2056218,635002.00747,1659,925984,286027.19201,,DOGEBUSD,0.3102590586297011,0.3091519679501228,
2021-08-19 02:00:00,0.30614,0.30673,0.30232,0.30298,1391021,423793.64346,1905,656323,200041.19647,,DOGEBUSD,0.305946488792578,0.3048321789423012,
2021-08-19 03:00:00,0.30321,0.3033,0.29566,0.29774,2151170,643783.53778,2571,1052750,315095.81545,,DOGEBUSD,0.3028396363636363,0.3025889501356508,
2021-08-19 04:00:00,0.2976,0.30007,0.29391,0.29806,1776274,528831.02212,1849,846361,252016.44625,,DOGEBUSD,0.2981021768923137,0.2975882353290076,
2021-08-19 05:00:00,0.29784,0.30274,0.29598,0.30084,1542301,462749.97605,1600,672474,201527.91586,,DOGEBUSD,0.2971687565176173,0.2973125887448479,
2021-08-19 06:00:00,0.3008099999999999,0.30168,0.29738,0.30055,1263032,378456.415,1633,589952,176871.87772,,DOGEBUSD,0.3005122671677243,0.3001184606404779,
2021-08-19 07:00:00,0.30058,0.30256,0.2959,0.30045,1603080,479979.75459,2449,731762,219424.62338,,DOGEBUSD,0.3002580099027102,0.301161270805638,
2021-08-19 08:00:00,0.3004699999999999,0.30267,0.29807,0.30086,21235409,6377348.84601,3799,933534,280884.4334,,DOGEBUSD,0.3008499295876363,0.3015522828432705,0.0001
2021-08-19 09:00:00,0.30085,0.30478,0.30012,0.30349,1762901,532193.38944,2828,784689,237031.65777,,DOGEBUSD,0.3009413350854139,0.3014116788865104,
2021-08-19 10:00:00,0.30354,0.30476,0.29756,0.29802,1953766,586380.49902,2899,851711,255726.44808,,DOGEBUSD,0.3039782292089249,0.3040508202611945,
2021-08-19 11:00:00,0.29798,0.3002,0.29652,0.29673,1342314,400557.02044,2444,645635,192866.82738,,DOGEBUSD,0.2978886902090469,0.298562794960291,
2021-08-19 12:00:00,0.29664,0.3007599999999999,0.29522,0.30017,1409485,420082.16453,2494,737265,219666.10985,,DOGEBUSD,0.2969371928251121,0.2966360592122189,
2021-08-19 13:00:00,0.30033,0.30341,0.29765,0.30283,1960971,588768.29557,3094,1210259,363476.55817,,DOGEBUSD,0.3003872766316975,0.299773585269793,
2021-08-19 14:00:00,0.30291,0.30787,0.30206,0.3063,3499999,1067343.27364,4466,1935653,590442.95239,,DOGEBUSD,0.3035456416699618,0.3044828404311046,
2021-08-19 15:00:00,0.30632,0.3085699999999999,0.3054199999999999,0.30754,2663915,818334.52592,2758,1126637,346059.07468,,DOGEBUSD,0.3069530371660424,0.3076137191153681,
2021-08-19 16:00:00,0.30754,0.30871,0.30267,0.30298,2679383,819334.73508,3159,1105154,338171.69023,,DOGEBUSD,0.3077161685136897,0.3078575179146946,0.0001
2021-08-19 17:00:00,0.3029699999999999,0.30395,0.30005,0.30306,1646401,497151.6571,2183,794274,239958.58922,,DOGEBUSD,0.3034480205417607,0.3033829846991845,
2021-08-19 18:00:00,0.30314,0.31494,0.30264,0.31277,4133277,1280752.79943,4177,2179438,674954.02726,,DOGEBUSD,0.3032428243473698,0.3032035838536073,
2021-08-19 19:00:00,0.31282,0.31534,0.30964,0.31234,5727424,1790611.06768,3746,2086900,653081.1382800001,,DOGEBUSD,0.3132873258300901,0.3134203739975542,
2021-08-19 20:00:00,0.3123599999999999,0.31972,0.31155,0.31694,4073826,1285456.16699,3741,1890200,596291.32448,,DOGEBUSD,0.3136016548595824,0.3137751903124345,
2021-08-19 21:00:00,0.31677,0.3182,0.31226,0.31628,2456417,774963.12049,2677,1152133,363491.25072,,DOGEBUSD,0.316536318306113,0.31618909369153,
2021-08-19 22:00:00,0.31642,0.31736,0.31145,0.31605,3276406,1030519.88673,3224,1414040,444862.43812,,DOGEBUSD,0.3170293617232974,0.3167235367372004,
2021-08-19 23:00:00,0.3161199999999999,0.31842,0.314,0.3182,3400203,1074145.7286,3241,1696934,536126.8327500001,,DOGEBUSD,0.3165111543729211,0.316714609035518,
2021-08-20 00:00:00,0.31832,0.32704,0.3154099999999999,0.32316,7381874,2369947.83544,5825,3720863,1195046.35069,,DOGEBUSD,0.3175374434355169,0.3172657684845319,0.0001
2021-08-20 01:00:00,0.32337,0.32389,0.3194,0.32205,5214902,1676894.60735,3893,2554732,821572.04636,,DOGEBUSD,0.3232749061133339,0.3213793302721438,
