本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-01-18 10:00:00,0.08044,0.08062,0.07992,0.07998,727232,58348.3014,165,336032,26988.25622,,DOGEUSDC,0.0804407903161264,0.0804407903161264,
2024-01-18 11:00:00,0.08014,0.0802,0.07974,0.08009,2345192,187429.6612,384,1308570,104569.04878,,DOGEUSDC,0.08013186,0.0800616267804467,
2024-01-18 12:00:00,0.08009,0.08009,0.07928,0.07968,1427556,113824.24928,245,592604,47234.00361,,DOGEUSDC,0.0800855024533384,0.0800478308211255,
2024-01-18 13:00:00,0.07967,0.07996,0.07912,0.07983,1571485,125044.77644,225,746121,59369.32798,,DOGEUSDC,0.0796547349780535,0.0795882449926845,
2024-01-18 14:00:00,0.0798,0.08011,0.07971,0.08008,1370979,109572.67531,181,849083,67867.65898000001,,DOGEUSDC,0.0797965481631107,0.0797843293178726,
2024-01-18 15:00:00,0.08009,0.08016,0.07975,0.08002,1199138,95851.05841,211,711488,56872.46685,,DOGEUSDC,0.08011164581562,0.0800804299296812,
2024-01-18 16:00:00,0.08,0.08004,0.07782,0.07853,3281902,259106.81412,706,1501492,118481.69486,,DOGEUSDC,0.0799751633196225,0.0799859788843403,
2024-01-18 17:00:00,0.07855,0.07894,0.07792,0.07838,2437041,191301.93818,614,1381079,108428.45119,,DOGEUSDC,0.0785318560265541,0.0785217128938406,
2024-01-18 18:00:00,0.07835,0.07851,0.07756,0.07813,3486772,272062.65337,664,1645351,128429.471,,DOGEUSDC,0.0784134069165143,0.0783931645262744,
2024-01-18 19:00:00,0.07814,0.0784,0.07685,0.07744,3793578,295248.04271,915,1784969,139020.34137,,DOGEUSDC,0.0781571707260429,0.0780422359997852,
