本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-06-08 02:00:00,9.174,9.42,8.973,9.224,2702.1,24979.8016,430,2041.6,18892.4523,,DOTBUSD,9.280402321083171,9.280402321083171,
2022-06-08 03:00:00,9.225,9.268,8.949,9.015,11255.4,102493.2023,1170,3163.9,28712.5966,,DOTBUSD,9.232703196347034,9.234948316034323,
2022-06-08 04:00:00,9.013,9.085,8.97,9.02,9008.5,81425.9707,581,3468.3,31321.352,,DOTBUSD,9.00992216358839,8.98716249067103,
2022-06-08 05:00:00,9.024,9.206,9.014,9.14,12038.3,109176.4509,712,3851.0,35095.1981,,DOTBUSD,9.016530973451326,9.027536737971763,
2022-06-08 06:00:00,9.14,9.159,9.055,9.101,5287.3,48158.809,859,2425.3,22089.5742,,DOTBUSD,9.137709090909093,9.146650446517524,
2022-06-08 07:00:00,9.101,9.19,9.026,9.132,6204.3,56546.4726,884,2457.3,22425.5251,,DOTBUSD,9.105958805355304,9.085704152394046,
2022-06-08 08:00:00,9.133,9.15,9.078,9.121,4566.3,41641.2842,708,1024.9,9358.8523,,DOTBUSD,9.133,9.135718212409966,-0.00014571
2022-06-08 09:00:00,9.125,9.166,9.088,9.161,5679.4,51862.9521,606,866.4,7909.8616,,DOTBUSD,9.122223214285714,9.119287549603175,
2022-06-08 10:00:00,9.161,9.17,9.053,9.062,6999.6,63672.9661,713,2792.8,25420.3305,,DOTBUSD,9.163048,9.151770324542714,
2022-06-08 11:00:00,9.061,9.116,9.036,9.083,4965.2,45054.5914,2557,2541.5,23074.5345,,DOTBUSD,9.055852481938942,9.04950592302535,
2022-06-08 12:00:00,9.084,9.091,8.961,9.012,12344.0,111347.8077,3209,3704.5,33456.3284,,DOTBUSD,9.084092991913748,9.077546557821872,
2022-06-08 13:00:00,9.014,9.22,8.991,9.181,15907.9,145037.2732,1382,7490.6,68461.81820000001,,DOTBUSD,8.995588744268598,9.018882909651072,
2022-06-08 14:00:00,9.188,9.202,9.049,9.063,14892.1,135776.8614,1850,5356.9,48881.6895,,DOTBUSD,9.190787135585378,9.184752427777456,
2022-06-08 15:00:00,9.067,9.16,9.04,9.122,13484.7,122879.3597,3975,6169.1,56221.0817,,DOTBUSD,9.057941666666668,9.059733017389185,
2022-06-08 16:00:00,9.122,9.151,9.026,9.048,16449.9,149420.5573,3801,8225.7,74809.2745,,DOTBUSD,9.123588247863248,9.128969724965206,-0.00016984
2022-06-08 17:00:00,9.043,9.084,9.036,9.065,7659.6,69372.9901,3107,3599.5,32607.957,,DOTBUSD,9.043985310734463,9.044298660889028,
2022-06-08 18:00:00,9.065,9.088,8.863,9.02,17948.4,161133.8037,2004,5743.0,51640.0955,,DOTBUSD,9.065185920577616,9.074015515903564,
2022-06-08 19:00:00,9.024,9.033,8.941,8.995,6542.099999999999,58839.901,1235,1670.7,15055.3708,,DOTBUSD,9.00863584637269,9.002735698951579,
2022-06-08 20:00:00,8.994,9.058,8.983,9.025,4114.5,37141.2895,939,2127.8,19211.8779,,DOTBUSD,8.993362877997914,8.998140545085818,
2022-06-08 21:00:00,9.02,9.093,9.015,9.093,5524.8,49965.0952,688,3085.2,27891.8152,,DOTBUSD,9.024869371519491,9.043154844206782,
2022-06-08 22:00:00,9.09,9.101,9.023,9.027,3107.4,28153.8446,817,1708.4,15482.0828,,DOTBUSD,9.093873786407768,9.08654469278689,
2022-06-08 23:00:00,9.028,9.045,8.947,8.982,8300.8,74659.087,992,1937.4,17456.642499999998,,DOTBUSD,9.03285355219287,9.022230153717612,
2022-06-09 00:00:00,8.982,8.997,8.9,8.97,9425.4,84212.1534,1029,2397.0,21448.6792,,DOTBUSD,8.984492813141683,8.979848437784392,-0.00012891
2022-06-09 01:00:00,8.974,9.018,8.943,8.943,7997.2,71893.7149,1188,2788.1,25060.1274,,DOTBUSD,8.978758620689655,8.977111042889947,
2022-06-09 02:00:00,8.944,9.028,8.931,9.01,10560.9,94813.9667,1063,3288.3,29485.8446,,DOTBUSD,8.935664670658682,8.939242340303279,
2022-06-09 03:00:00,9.01,9.095,8.99,9.078,7851.5,71125.3636,847,4672.6,42345.2598,,DOTBUSD,9.007146534653465,9.011567868991744,
2022-06-09 04:00:00,9.08,9.09,9.042,9.071,7843.8,71165.93029999999,827,5413.4,49127.9314,,DOTBUSD,9.08043769968051,9.075840230214675,
2022-06-09 05:00:00,9.073,9.144,9.038,9.118,30122.0,273642.6767,1566,15148.7,137757.9767,,DOTBUSD,9.066697072072072,9.05960329238336,
2022-06-09 06:00:00,9.12,9.281,9.12,9.184,21535.8,197902.5276,1715,10834.8,99597.823,,DOTBUSD,9.16021171689807,9.231828061773545,
2022-06-09 07:00:00,9.186,9.249,9.168,9.229,11023.6,101472.7864,1264,3838.8,35372.3486,,DOTBUSD,9.184456211812629,9.187791343823992,
2022-06-09 08:00:00,9.228,9.283,9.2,9.268,18207.4,168195.8986,2295,10122.2,93587.5214,,DOTBUSD,9.23073076923077,9.235477843897153,-3.181e-05
2022-06-09 09:00:00,9.266,9.365,9.253,9.275,17005.8,158184.9366,2321,9691.5,90194.0919,,DOTBUSD,9.274220408163265,9.268911623942037,
2022-06-09 10:00:00,9.27,9.288,9.173,9.191,15176.0,140160.5844,2889,7088.099999999999,65479.4183,,DOTBUSD,9.277711586901765,9.277267924870657,
2022-06-09 11:00:00,9.185,9.243,9.148,9.164,21293.4,196079.0057,4332,11591.0,106745.8935,,DOTBUSD,9.180023028057173,9.185897949819372,
2022-06-09 12:00:00,9.164,9.203,9.061,9.145,24824.2,227067.1861,4409,13056.2,119458.7387,,DOTBUSD,9.166097402597403,9.172990155517509,
2022-06-09 13:00:00,9.146,9.223,9.1,9.199,45752.1,418591.1411,4787,34883.7,319119.418,,DOTBUSD,9.152592324561402,9.149712487317036,
2022-06-09 14:00:00,9.199,9.357,9.171,9.225,78253.5,723232.665,3356,61582.5,568770.7262,,DOTBUSD,9.199917010457645,9.206334559619666,
2022-06-09 15:00:00,9.222,9.271,9.142,9.25,34794.0,319952.124,2579,13601.5,125112.0501,,DOTBUSD,9.2135463663891,9.198484768728754,
2022-06-09 16:00:00,9.25,9.435,9.25,9.391,72907.8,682466.7352,4247,46701.3,437120.6067,,DOTBUSD,9.28764591990607,9.362724127941515,-8.707e-05
