本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-04-02 12:00:00,0.619,0.626,0.593,0.625,9302853,5701982.965,20391,4519450,2768567.898,0.0,ENA-USDT,0.6021242820329722,0.6021242820329722,
2024-04-02 13:00:00,0.625,0.729,0.622,0.705,59343266,39711571.866,131537,29759902,19903085.303,0.0,ENA-USDT,0.629350824279963,0.6316009857621084,
2024-04-02 14:00:00,0.706,0.779,0.68,0.692,103264012,75188399.658,231740,50099798,36519221.329,0.0028985507246377,ENA-USDT,0.697673918960685,0.7189154665917241,
2024-04-02 15:00:00,0.692,0.736,0.668,0.689,66798282,47172416.332,141751,33018439,23344427.096,0.0,ENA-USDT,0.6915615966957513,0.679626442618214,
2024-04-02 16:00:00,0.69,0.738,0.688,0.731,43717362,31282040.395,106058,22399937,16030912.803,0.0,ENA-USDT,0.6936188973516213,0.6982862430318111,
2024-04-02 17:00:00,0.731,0.843,0.726,0.807,112881217,89426431.468,243953,57382264,45437716.675,0.0012406947890819,ENA-USDT,0.7313441062760643,0.7378034554021917,
2024-04-02 18:00:00,0.807,0.91,0.806,0.846,135491569,117166450.302,351452,68390537,59174411.831,-0.0011806375442738,ENA-USDT,0.8110918800615683,0.8129213723824057,
2024-04-02 19:00:00,0.847,0.885,0.803,0.87,85643306,72281338.079,248461,42438724,35853661.405,-0.0022935779816514,ENA-USDT,0.8570569736349648,0.8668780795207599,
2024-04-02 20:00:00,0.87,0.872,0.813,0.822,48157133,40660629.951,172801,22408722,18942573.529,0.0,ENA-USDT,0.8642307416585479,0.8545069211704815,
2024-04-02 21:00:00,0.823,0.877,0.823,0.86,32343914,27293451.904,110226,16886983,14263862.973,-0.0011614401858304,ENA-USDT,0.8296251081876406,0.8335941026448468,
2024-04-02 22:00:00,0.859,0.872,0.821,0.846,36940581,31246385.08,135557,18021053,15260778.28,-0.0011806375442738,ENA-USDT,0.8591005858028945,0.8621159127978217,
2024-04-02 23:00:00,0.846,0.849,0.75,0.772,65389773,51570341.352,185088,30861978,24345857.877,-0.0038709677419355,ENA-USDT,0.8451522678365335,0.8401550243704593,
2024-04-03 00:00:00,0.772,0.787,0.703,0.78,72714492,53648382.686,186123,35562762,26289058.875,0.0,ENA-USDT,0.7770887355444978,0.7627633996831568,-0.00013612
2024-04-03 01:00:00,0.78,0.868,0.765,0.846,103859124,84906424.509,293946,52926312,43302318.231,-0.0011806375442738,ENA-USDT,0.7772388915432393,0.7828455998136894,
