本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-11-28 12:00:00,3.016,3.08,2.886,2.886,631334,1863690.203,7955,271111,800896.996,,ETHW-USDT,3.002616331096197,3.002616331096197,
2023-11-28 13:00:00,2.885,2.942,2.818,2.93,1017812,2934787.749,13403,504381,1454131.456,,ETHW-USDT,2.876093274170948,2.8543798443806736,
2023-11-28 14:00:00,2.93,2.933,2.816,2.893,678820,1948375.258,10935,302087,868070.173,,ETHW-USDT,2.926687407787542,2.903972063219284,
2023-11-28 15:00:00,2.893,2.93,2.842,2.882,427625,1236674.939,6963,193082,559294.851,,ETHW-USDT,2.9002790909090908,2.914440382103064,
2023-11-28 16:00:00,2.881,3.11,2.88,2.975,1434520,4295359.752,21173,716089,2143659.543,,ETHW-USDT,2.8918822508449806,2.9131591723076617,5e-05
2023-11-28 17:00:00,2.969,3.028,2.92,2.98,634584,1886787.866,10685,275093,818747.225,,ETHW-USDT,2.9753545593479367,3.0023475959350163,
2023-11-28 18:00:00,2.977,3.043,2.943,3.03,262355,784186.146,5453,139253,416286.428,,ETHW-USDT,2.976076097560976,2.961674896556078,
2023-11-28 19:00:00,3.032,3.059,2.962,2.992,268103,803648.996,4509,106687,320264.08,,ETHW-USDT,3.0283613713001123,3.0453115596150155,
2023-11-28 20:00:00,2.992,3.044,2.978,3.029,229513,691629.927,4897,117938,355489.814,,ETHW-USDT,2.9994608608941333,3.008160208125955,5e-05
2023-11-28 21:00:00,3.032,3.093,3.016,3.072,249808,762418.626,4421,141061,430758.081,,ETHW-USDT,3.033221139430285,3.0237655391237785,
2023-11-28 22:00:00,3.074,3.088,3.01,3.02,197246,600051.73,3774,79309,241491.524,,ETHW-USDT,3.0812064608571053,3.0703179670309795,
2023-11-28 23:00:00,3.021,3.05,2.968,2.973,195184,585454.374,3604,67782,203305.821,,ETHW-USDT,3.0188089430894305,3.0203957028541497,
2023-11-29 00:00:00,2.973,2.981,2.864,2.977,427045,1248369.122,8385,191911,561704.733,,ETHW-USDT,2.9646554765778883,2.954693574260695,5e-05
2023-11-29 01:00:00,2.976,3.034,2.938,2.947,443039,1324550.127,7249,188387,563717.469,,ETHW-USDT,2.976927753303965,2.982596210248128,
2023-11-29 02:00:00,2.947,2.948,2.901,2.92,207659,607678.324,3844,96918,283759.078,,ETHW-USDT,2.94751341991342,2.9418841169925503,
2023-11-29 03:00:00,2.921,2.955,2.919,2.939,201217,591966.056,3380,113311,333463.956,,ETHW-USDT,2.9230377358490567,2.9297484584767224,
2023-11-29 04:00:00,2.94,2.98,2.94,2.963,228636,677842.122,4772,116271,344831.832,,ETHW-USDT,2.947748356464573,2.9539314380194464,5e-05
2023-11-29 05:00:00,2.964,3.013,2.961,2.992,224868,672155.963,4913,124305,371606.874,,ETHW-USDT,2.9641436103439616,2.971594775617917,
2023-11-29 06:00:00,2.992,2.996,2.917,2.943,295356,871991.949,5733,109645,323685.809,,ETHW-USDT,2.992176772247361,2.9844988316324184,
2023-11-29 07:00:00,2.943,2.959,2.83,2.851,605630,1752193.119,10271,229360,665072.404,,ETHW-USDT,2.946325935888814,2.9417610546537194,
2023-11-29 08:00:00,2.852,2.918,2.832,2.888,597052,1718381.747,11049,290958,837298.924,,ETHW-USDT,2.856790717392907,2.868274606902543,0.00016908
2023-11-29 09:00:00,2.887,2.92,2.861,2.868,379547,1096671.755,6382,148494,429568.878,,ETHW-USDT,2.882956665663557,2.8746772645924223,
2023-11-29 10:00:00,2.867,2.896,2.842,2.892,333045,955865.995,5773,156371,449214.457,,ETHW-USDT,2.870259375,2.868073968327071,
