本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-05-24 04:00:00,0.459,0.459,0.437,0.4473,384256,172103.8261,1195,191290,85729.6731,,FTMBUSD,0.4516326076199901,0.4437235914550084,
2022-05-24 05:00:00,0.4466,0.4504,0.4373,0.4377,506704,225885.8629,782,154715,69089.5152,,FTMBUSD,0.4468204819277109,0.4445975731118168,
2022-05-24 06:00:00,0.4377,0.4472,0.4377,0.4432,229854,101980.6885,720,134071,59567.2145,,FTMBUSD,0.4382917712691771,0.4402206576544879,
2022-05-24 07:00:00,0.4434,0.4542,0.4394,0.4527,377670,169833.2804,1293,221184,99502.2576,,FTMBUSD,0.4432877887788779,0.44233215197145,
2022-05-24 08:00:00,0.4525,0.4528,0.42,0.4257,1010151,441695.381,2213,261881,114127.8856,,FTMBUSD,0.4520885135135135,0.4507961800745691,0.0001
2022-05-24 09:00:00,0.4256,0.4308,0.4091,0.4176,1414936,594510.9021000001,2466,630789,265785.6023,,FTMBUSD,0.4256729288562591,0.4269772913278925,
2022-05-24 10:00:00,0.4178,0.4247,0.4161,0.4236,700390,294918.6474,1128,446658,188269.0839,,FTMBUSD,0.4180956290977209,0.418784432913618,
2022-05-24 11:00:00,0.4238,0.4264,0.4151,0.4188,443303,186329.6066,754,201262,84550.0518,,FTMBUSD,0.4249823873347126,0.424546225829386,
2022-05-24 12:00:00,0.4183,0.4205,0.4133,0.4174,680108,283564.505,1506,393405,164052.2805,,FTMBUSD,0.4186070137976346,0.4184804027714132,
2022-05-24 13:00:00,0.4174,0.4179,0.3944,0.4011,2078382,846615.6975,4816,877172,357903.023,,FTMBUSD,0.4176904705832877,0.4156897059361071,
2022-05-24 14:00:00,0.4011,0.4134,0.3964,0.4113,1323487,537441.3713,4385,749505,304724.1312,,FTMBUSD,0.4007701173055992,0.4037822620143038,
2022-05-24 15:00:00,0.4111,0.4239,0.4082,0.4174,2017324,838556.4491,3591,970287,402660.1736,,FTMBUSD,0.4111337368373684,0.4107852014260484,
2022-05-24 16:00:00,0.4173,0.4207,0.4051,0.4107,1157149,478158.3281,3113,568883,235401.5323,,FTMBUSD,0.4176853702127659,0.4166353599293186,0.0001
2022-05-24 17:00:00,0.4107,0.4128,0.4,0.412,920835,374178.2441,2508,422617,171832.3788,,FTMBUSD,0.4102677389705882,0.4088339544419836,
2022-05-24 18:00:00,0.4122,0.4176,0.4079,0.4099,708488,292271.4229,2008,323766,133678.6788,,FTMBUSD,0.4122396035392207,0.4114191003775613,
2022-05-24 19:00:00,0.4097,0.4165,0.4053,0.4118,999761,411451.3915,2002,519913,214173.6265,,FTMBUSD,0.4104508847184986,0.4102387240618101,
2022-05-24 20:00:00,0.412,0.4224,0.4094,0.4207,856212,355707.7815,1550,499393,207731.0929,,FTMBUSD,0.4124326932693269,0.4132342225369319,
2022-05-24 21:00:00,0.4208,0.4259,0.4168,0.423,712329,299861.0643,1258,417901,176088.406,,FTMBUSD,0.421840857653365,0.420045448646711,
