本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-05-05 14:00:00,16.0,17.44,14.9121,15.9808,6805748,111251567.7164,234286,3320753,54312356.2373,-0.0022600986451893,GAL-USDT,15.71558767920404,15.530638262794415,
2022-05-05 15:00:00,15.9949,16.1909,13.66,14.3837,5157723,76233417.4625,206151,2418057,35737350.1687,-0.0015479661252256,GAL-USDT,16.085553203307978,15.993309714852163,
2022-05-05 16:00:00,14.4115,15.237,14.0193,14.9745,2928431,43216611.8525,114396,1550170,22899295.0662,-0.0018996200759847,GAL-USDT,14.272938083524751,14.360399218476385,-0.00121366
2022-05-05 17:00:00,14.9533,15.2881,14.5,15.0638,1488138,22144968.0919,60519,749374,11158207.0543,-0.0033873635461462,GAL-USDT,15.01164395487647,15.023710665528547,
2022-05-05 18:00:00,15.0656,15.2867,14.405,14.9159,1336937,19800173.7852,53518,668461,9907233.8148,-0.0014794483866649,GAL-USDT,15.10229097928437,15.032169141664417,
2022-05-05 19:00:00,14.9059,15.8819,14.7,15.5761,1718505,26458598.1022,72023,857880,13211967.8731,-0.0024911943643931,GAL-USDT,14.996384598598828,14.902123944087345,
2022-05-05 20:00:00,15.5864,17.5737,15.4769,17.2718,3336514,55132224.8078,129567,1698492,28063829.3016,-0.0026101518738812,GAL-USDT,15.65198160131707,15.69292207438231,
2022-05-05 21:00:00,17.2723,17.3943,15.5608,15.9952,4799408,79818166.192,181500,2265763,37687917.8536,-0.0013610538802522,GAL-USDT,16.974796137009236,16.805504549908115,
2022-05-05 22:00:00,15.9899,16.6666,15.6155,16.5024,2913382,46992794.9924,107198,1486605,23995187.0035,-0.0026350779644626,GAL-USDT,16.090989127133575,16.047041703005853,
2022-05-05 23:00:00,16.5055,17.8088,16.1851,17.3769,4825490,81647209.6807,166703,2432227,41209231.9502,-0.0001783659378595,GAL-USDT,16.45253766787276,16.41489849913151,
2022-05-06 00:00:00,17.3769,18.3684,17.204,17.9241,6337960,113713448.8875,212347,3168012,56878794.813,-0.0004962917526348,GAL-USDT,17.350514887602966,17.60326534073185,-0.00078915
2022-05-06 01:00:00,17.9242,18.4999,16.51,16.8401,4839376,84945239.1386,163533,2246356,39480088.0119,-0.0003502315089636,GAL-USDT,17.92641833738211,17.951112170567104,
2022-05-06 02:00:00,16.8378,17.674,16.7589,17.4401,2995165,51697486.0681,111057,1504524,25976880.9307,-5.160254572544876e-05,GAL-USDT,16.870944672828337,17.014155199030814,
2022-05-06 03:00:00,17.4401,17.5734,15.5344,15.9518,4642990,75391115.20019999,168294,2145607,34844345.1049,-0.0001378964523003,GAL-USDT,17.459993232148644,17.406500345241845,
2022-05-06 04:00:00,15.9521,16.069,14.2763,15.0584,5861185,87803869.0146,195429,2758108,41303198.3403,-0.0009023354564754,GAL-USDT,15.970368809123316,15.619024470558172,
2022-05-06 05:00:00,15.0484,15.442,14.6533,15.1833,2917694,43918925.3918,108000,1464897,22064666.9143,-0.0012301013024602,GAL-USDT,15.101256538306409,14.942484766841096,
2022-05-06 06:00:00,15.1834,15.6317,15.0106,15.0795,2541293,38973619.1161,87994,1290496,19804557.356,-0.0034036084858899,GAL-USDT,15.228820097985178,15.20052190110382,
2022-05-06 07:00:00,15.0795,15.3904,14.2058,14.9697,3542438,52595177.0674,123607,1694134,25181484.33,-0.0024190323870452,GAL-USDT,15.128063759923949,15.157676630227447,
2022-05-06 08:00:00,14.9697,15.4055,14.78,14.9497,2287632,34435301.9652,76181,1110305,16724705.1325,-2.006688963207548e-05,GAL-USDT,14.90834927539614,14.935199187248967,-0.00057471
2022-05-06 09:00:00,14.9402,16.1099,14.88,15.9356,3146196,49071184.6065,103429,1693624,26416599.0537,-0.0028408735373255,GAL-USDT,14.944888301210218,14.960701530156983,
2022-05-06 10:00:00,15.936,16.48,15.1152,15.4757,5365180,85202351.7285,175179,2584821,41074339.1893,-0.0021471403701077,GAL-USDT,15.998052941115638,15.965393369300648,
2022-05-06 11:00:00,15.4679,15.697,15.0336,15.5072,2914841,44916516.0467,104094,1461317,22529446.3177,-0.002367472979928,GAL-USDT,15.40509676951308,15.4871360135098,
2022-05-06 12:00:00,15.5136,15.5443,14.1281,14.6004,5679296,83246537.3863,160719,2631689,38569238.2259,-0.0009306144792664,GAL-USDT,15.521031587257037,15.43550023835985,
2022-05-06 13:00:00,14.6094,14.94,13.8939,14.5475,3394955,48910142.9791,105864,1625691,23451563.8628,-0.0014071938495332,GAL-USDT,14.610596021091842,14.55460942812488,
2022-05-06 14:00:00,14.5353,15.0875,14.5083,14.9414,2483388,36715410.0337,81308,1268362,18755632.7734,-0.0025767690253671,GAL-USDT,14.59188444757652,14.693256311481212,
2022-05-06 15:00:00,14.9401,15.2405,14.5868,14.8205,1984130,29578540.5206,70978,959853,14315680.792,-0.0009100714574625,GAL-USDT,14.97976085812357,14.931970905669951,
2022-05-06 16:00:00,14.8215,15.08,14.6673,14.9934,1502553,22405826.5762,53467,763131,11384664.5241,-0.0002400480096019,GAL-USDT,14.81281448375236,14.8632064218462,-0.00054619
2022-05-06 17:00:00,14.9925,15.0,14.151,14.2789,1606763,23375339.9825,56028,724297,10547238.4684,-0.0014056927057836,GAL-USDT,14.94252245720365,14.924293140729182,
2022-05-06 18:00:00,14.2887,14.45,14.15,14.2689,875882,12541904.8284,34121,428313,6135742.619,-0.0011270563528176,GAL-USDT,14.30269223811995,14.334451159239055,
2022-05-06 19:00:00,14.2745,14.3225,13.681,13.7137,1665624,23279028.371,57925,711823,9960241.3544,0.0001969221792721,GAL-USDT,14.265924040656992,14.255866608751145,
2022-05-06 20:00:00,13.7119,13.8928,12.5039,12.7722,4499722,58907617.8871,138890,2026384,26530132.1439,-0.0006103286384976,GAL-USDT,13.680707520126376,13.76988812977093,
2022-05-06 21:00:00,12.7724,12.8888,12.2,12.6512,3506335,43914983.9495,109804,1730244,21683319.3584,-0.0010896170548756,GAL-USDT,12.693513841057928,12.732618616094951,
2022-05-06 22:00:00,12.6554,12.777,12.4001,12.4415,1532315,19342502.877,50389,746495,9430574.4246,-0.0007629909244237,GAL-USDT,12.63880113123204,12.675681728756334,
2022-05-06 23:00:00,12.4456,13.35,12.426,13.0805,2573668,33418890.0945,83641,1349445,17519045.0948,-0.0014885496183205,GAL-USDT,12.488985146193752,12.51890544042387,
2022-05-07 00:00:00,13.083,13.3666,12.777,13.0127,2330289,30496113.6723,72840,1116942,14630497.5801,-0.0006374318408725,GAL-USDT,13.127700950826652,13.02940687388798,1.837e-05
2022-05-07 01:00:00,13.0159,13.5771,12.9302,13.5513,1927717,25569526.6141,60233,973443,12918609.8681,-5.165289256203742e-05,GAL-USDT,12.99458542196392,13.04638311257421,
2022-05-07 02:00:00,13.546,13.69,13.06,13.166,1997165,26754668.991,62063,944680,12665090.542,0.0004559270516717,GAL-USDT,13.606666552842931,13.574499922848023,
2022-05-07 03:00:00,13.1619,13.165,12.5655,12.9213,2304878,29597926.0519,67961,1056307,13564923.1571,-0.0002862669245647,GAL-USDT,13.141396765435928,13.09051222944728,
2022-05-07 04:00:00,12.9228,12.9829,11.71,11.8815,4482196,54472090.151,117612,1965755,23870491.3033,-0.0012188971082717,GAL-USDT,12.944753418980524,12.783706565291014,
2022-05-07 05:00:00,11.8815,12.0815,11.4355,12.0249,4109762,48358730.3921,103821,2094082,24662020.0401,-0.0019173306772908,GAL-USDT,11.8997819346754,11.989733849699672,
2022-05-07 06:00:00,12.0297,12.0586,11.61,11.6171,2526547,29976539.262,63892,1180801,14020037.2293,-0.0015384615384614,GAL-USDT,12.011024222621076,11.997458311296429,
2022-05-07 07:00:00,11.6245,12.4919,11.6105,12.0879,2974699,35803599.8991,79165,1564361,18827330.9151,-0.00157759973569,GAL-USDT,11.644773908436958,11.699706849581569,
2022-05-07 08:00:00,12.0941,12.95,12.065,12.7593,3725135,46348795.9097,107906,1858360,23146817.9766,-0.0020882214922571,GAL-USDT,12.084314226070454,12.187414615190216,3.471e-05
2022-05-07 09:00:00,12.7597,12.8458,12.1022,12.2918,3184155,39846387.0711,94783,1526185,19112062.0376,-0.0014784727863526,GAL-USDT,12.737957988658655,12.634202797001986,
2022-05-07 10:00:00,12.2923,12.68,12.1101,12.47,2337463,29073425.006,68539,1146891,14266971.4859,0.0002406352771315,GAL-USDT,12.276906090827136,12.229459928457924,
2022-05-07 11:00:00,12.4689,12.6915,12.3409,12.5923,1794352,22481775.5569,52976,846645,10610722.9933,-0.0009282767375435,GAL-USDT,12.480640968586387,12.513960701615924,
2022-05-07 12:00:00,12.5881,12.87,12.3338,12.5159,2789269,35268996.7866,79318,1368467,17311628.4609,-0.0005669567994889,GAL-USDT,12.540462211812924,12.46247531822577,
2022-05-07 13:00:00,12.5124,12.5746,12.0524,12.3893,2379281,29271019.0031,71089,1117217,13752035.814,-0.0010240283825188,GAL-USDT,12.53347072552004,12.449900100318908,
2022-05-07 14:00:00,12.3893,12.482,12.2222,12.4745,1200192,14826579.911,37111,590317,7295810.4488,-0.0003606058177737,GAL-USDT,12.371328110721496,12.401431670857066,
2022-05-07 15:00:00,12.4747,12.595,12.3751,12.5175,1292545,16160011.3397,40959,641191,8018886.353,-0.0005190035132545,GAL-USDT,12.517656673607169,12.461652206594216,
2022-05-07 16:00:00,12.5175,12.54,12.1609,12.2172,1448207,17849638.2894,48458,640682,7898216.6042,-0.00047451525812,GAL-USDT,12.490234549671069,12.495797110652603,3.238e-05
2022-05-07 17:00:00,12.2243,12.3462,12.1229,12.3243,939150,11489602.2449,34313,476034,5824973.5934,-0.0002190313944999,GAL-USDT,12.243026716352952,12.257955287710656,
2022-05-07 18:00:00,12.3227,12.433,11.7217,11.9753,2122685,25528184.5263,66600,967142,11638077.217,-0.0008093450146015,GAL-USDT,12.342031910241058,12.333755294027846,
2022-05-07 19:00:00,11.9735,11.9753,11.6224,11.8056,1622482,19164718.9963,51837,731868,8647858.1278,-0.0005418218760582,GAL-USDT,11.939356406388985,11.934386818022398,
2022-05-07 20:00:00,11.8013,11.998,11.5008,11.6162,1307183,15361901.2541,42898,591750,6961925.0915,-0.0013583218707015,GAL-USDT,11.809544359861592,11.831868745260955,
2022-05-07 21:00:00,11.6222,11.7486,10.8767,10.8928,3130514,35326686.8088,90214,1410317,15936353.7907,-0.0016680414260837,GAL-USDT,11.632332466662607,11.686529091596851,
2022-05-07 22:00:00,10.8945,11.1916,10.2102,10.4168,4869300,52023669.4103,137240,2277079,24362563.3552,-0.0015527652640658,GAL-USDT,10.979988075139032,11.016649145497226,
2022-05-07 23:00:00,10.4168,10.7912,10.27,10.3627,2950491,31110650.327,80243,1454920,15347830.3611,6.75545261532573e-05,GAL-USDT,10.433400811819675,10.489868001172526,
2022-05-08 00:00:00,10.3627,10.8717,10.1888,10.6016,3252601,34380726.1116,82708,1664857,17607889.0183,-0.0014505039088256,GAL-USDT,10.308590374571136,10.35486021437008,9.686e-05
2022-05-08 01:00:00,10.6061,10.7616,10.3523,10.3668,2356057,24830266.7239,64651,1168247,12321600.3182,-0.0003085824493731,GAL-USDT,10.59943246704871,10.619856413159832,
2022-05-08 02:00:00,10.3718,10.6784,10.3,10.5975,2629242,27615389.501,69041,1308902,13757159.0363,-0.0004244482173174,GAL-USDT,10.373676648281403,10.403882216498856,
2022-05-08 03:00:00,10.5924,10.9999,10.4009,10.883,2378411,25347126.5846,61302,1210980,12920616.7697,-0.00110142267095,GAL-USDT,10.607395431650463,10.622245653773236,
2022-05-08 04:00:00,10.8831,11.0987,10.6064,10.6264,2269485,24665762.1877,61143,1114266,12124692.5072,-0.0001505457282648,GAL-USDT,10.92979320645369,10.997010440716949,
2022-05-08 05:00:00,10.6268,10.7684,10.52,10.6258,1406539,14935814.2949,39785,659143,7003976.0969,-0.0002070003763643,GAL-USDT,10.63360468343982,10.579841215450635,
2022-05-08 06:00:00,10.6272,10.9,10.6124,10.7184,1437811,15461744.4891,37787,730637,7859382.0619,-0.001081081081081,GAL-USDT,10.662597252077562,10.678692637192068,
