本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-05-24 03:00:00,5.83,5.998,5.83,5.946,12027,71438.461,991,8355,49632.381,,GALBUSD,5.913241379310345,5.913241379310345,
2022-05-24 04:00:00,5.946,5.975,5.881,5.945,17519,103966.534,1295,7966,47334.581,,GALBUSD,5.940873015873016,5.923003508543405,
2022-05-24 05:00:00,5.945,6.059,5.918,5.985,22891,137490.745,997,13961,83865.397,,GALBUSD,5.945,5.940110294117647,
2022-05-24 06:00:00,5.99,6.029,5.899,5.947,25096,149943.369,998,13227,79121.004,,GALBUSD,5.995270531400966,6.001438723459905,
2022-05-24 07:00:00,5.945,5.986,5.921,5.955,21160,125837.521,925,11854,70498.779,,GALBUSD,5.949303178484107,5.945254049313409,
2022-05-24 08:00:00,5.955,5.973,5.68,5.717,45231,265065.106,1596,18210,107207.012,,GALBUSD,5.9484568835098335,5.937742024589291,9.636e-05
2022-05-24 09:00:00,5.717,5.828,5.667,5.824,33027,190552.205,1668,15098,87134.089,,GALBUSD,5.733419689119171,5.740649790412677,
2022-05-24 10:00:00,5.822,5.865,5.785,5.851,45368,264482.282,1340,21904,127783.443,,GALBUSD,5.827821752265861,5.834134018603072,
2022-05-24 11:00:00,5.857,5.921,5.765,5.819,29037,169657.522,1365,13751,80530.585,,GALBUSD,5.866016129032258,5.852504917154387,
2022-05-24 12:00:00,5.809,5.858,5.742,5.813,31322,181785.661,1168,13691,79504.253,,GALBUSD,5.810425675675676,5.802015107556145,
2022-05-24 13:00:00,5.813,5.821,5.481,5.527,79999,454875.262,2893,38800,221088.94,,GALBUSD,5.81861921708185,5.782308223605694,
2022-05-24 14:00:00,5.525,5.733,5.417,5.684,131435,737333.671,3648,63958,359293.359,,GALBUSD,5.451334149326806,5.513027844781742,
2022-05-24 15:00:00,5.688,5.899,5.674,5.805,66140,381695.668,2139,36439,210410.919,,GALBUSD,5.686194945848375,5.715605249900625,
2022-05-24 16:00:00,5.806,5.874,5.709,5.758,46229,267818.382,1499,20380,118277.369,,GALBUSD,5.813898351648351,5.811847321837912,0.0001
2022-05-24 17:00:00,5.757,5.757,5.63,5.733,42771,243577.775,1336,21653,123276.248,,GALBUSD,5.742005555555555,5.731107998744027,
2022-05-24 18:00:00,5.734,5.834,5.692,5.735,28164,162523.677,1097,16037,92558.892,,GALBUSD,5.747846808510638,5.7470621662687496,
2022-05-24 19:00:00,5.736,5.818,5.691,5.786,20284,116834.869,909,11723,67559.99,,GALBUSD,5.731860927152318,5.736276195135671,
2022-05-24 20:00:00,5.787,5.864,5.77,5.84,27411,159334.11,952,11990,69724.592,,GALBUSD,5.787941176470588,5.801053895768737,
2022-05-24 21:00:00,5.841,6.026,5.8,5.991,85679,505337.998,2062,41621,245244.801,,GALBUSD,5.8578369318181815,5.846840585714732,
2022-05-24 22:00:00,5.99,6.0,5.906,5.962,37961,225914.106,1319,22587,134456.187,,GALBUSD,5.996703257790368,5.975108684792329,
2022-05-24 23:00:00,5.963,6.046,5.897,5.921,42175,251946.225,1415,17746,106339.042,,GALBUSD,5.971689969604863,5.9475300815529,
2022-05-25 00:00:00,5.917,5.955,5.722,5.743,40478,236254.738,1373,9902,58101.482,,GALBUSD,5.917,5.925274544137023,0.0001
2022-05-25 01:00:00,5.747,5.881,5.703,5.878,74329,431989.969,2087,37161,216054.036,,GALBUSD,5.7526606960081885,5.738083029064697,
2022-05-25 02:00:00,5.877,6.017,5.842,5.964,91217,540591.1630000001,2266,49489,293429.664,,GALBUSD,5.898564860062194,5.882818251168145,
2022-05-25 03:00:00,5.965,5.976,5.879,5.911,50715,300310.507,1362,25860,153203.956,,GALBUSD,5.96986564718733,5.965005969851612,
2022-05-25 04:00:00,5.915,5.915,5.83,5.859,45034,264124.075,1330,17139,100585.297,,GALBUSD,5.915,5.896083364673305,
2022-05-25 05:00:00,5.859,5.91,5.708,5.737,69816,405649.783,1894,28144,163620.936,,GALBUSD,5.8556,5.840804359646864,
2022-05-25 06:00:00,5.738,5.768,5.642,5.733,83100,474082.913,2990,36562,208795.003,,GALBUSD,5.758612706169823,5.7487409199950985,
2022-05-25 07:00:00,5.734,5.792,5.683,5.725,61578,352672.386,2035,28045,160660.546,,GALBUSD,5.739984034833092,5.726210543073742,
2022-05-25 08:00:00,5.719,5.822,5.661,5.79,81539,469429.194,2620,41349,238346.597,,GALBUSD,5.723502212389381,5.698204377267844,3.796e-05
2022-05-25 09:00:00,5.79,5.809,5.744,5.777,36769,212303.391,1436,13461,77772.466,,GALBUSD,5.792763285024155,5.777054126486146,
2022-05-25 10:00:00,5.777,5.798,5.711,5.728,30123,173364.328,979,16637,95758.351,,GALBUSD,5.77341959798995,5.784030748069862,
2022-05-25 11:00:00,5.727,5.747,5.592,5.635,63797,361615.832,2204,30127,171018.784,,GALBUSD,5.725254237288136,5.728885451835292,
2022-05-25 12:00:00,5.634,5.734,5.612,5.698,49849,282696.827,1896,23075,130863.565,,GALBUSD,5.6258173391494,5.635340129335337,
2022-05-25 13:00:00,5.699,5.768,5.639,5.726,64624,369208.883,2634,34180,195299.058,,GALBUSD,5.7077130044843045,5.718617387168338,
2022-05-25 14:00:00,5.723,5.784,5.683,5.726,50921,292126.706,2191,27064,155273.925,,GALBUSD,5.724607508532424,5.736715796175706,
2022-05-25 15:00:00,5.726,5.742,5.651,5.707,46755,266604.768,1790,21900,124851.813,,GALBUSD,5.72768449197861,5.723318492567392,
2022-05-25 16:00:00,5.705,5.713,5.644,5.701,29198,165888.589,1180,10223,58098.823,,GALBUSD,5.700007356122891,5.696863439361684,-8.3e-06
2022-05-25 17:00:00,5.701,5.743,5.672,5.724,17466,99846.912,737,9838,56286.419,,GALBUSD,5.699433333333333,5.69959303332387,
2022-05-25 18:00:00,5.723,5.772,5.666,5.743,54771,314382.606,1918,23260,133681.225,,GALBUSD,5.7291712636305325,5.744301141776861,
2022-05-25 19:00:00,5.745,5.764,5.699,5.702,14465,82967.311,559,5655,32456.25,,GALBUSD,5.749345744680851,5.756629048582544,
2022-05-25 20:00:00,5.7,5.75,5.638,5.734,25116,143081.698,786,11247,64085.354,,GALBUSD,5.699817629179331,5.708374058947512,
2022-05-25 21:00:00,5.736,5.758,5.722,5.743,16389,94044.88,612,10690,61342.954,,GALBUSD,5.738219101123596,5.741800941726928,
2022-05-25 22:00:00,5.743,5.752,5.691,5.704,12767,72975.71800000001,493,4647,26560.714,,GALBUSD,5.742268760907504,5.746008590752891,
2022-05-25 23:00:00,5.705,5.706,5.624,5.668,48085,272087.092,968,29041,164325.331,,GALBUSD,5.7029375,5.697556594686809,
2022-05-26 00:00:00,5.669,5.735,5.669,5.696,19138,109261.712,921,10493,59886.525,,GALBUSD,5.68619854368932,5.693571142418676,0.0001
2022-05-26 01:00:00,5.696,5.733,5.655,5.67,24905,141742.72,839,7406,42160.174,,GALBUSD,5.6995143884892085,5.70598266215128,
2022-05-26 02:00:00,5.669,5.73,5.667,5.711,37622,214539.302,875,13488,76923.011,,GALBUSD,5.670987261146497,5.673930219889908,
2022-05-26 03:00:00,5.71,5.713,5.652,5.676,36636,208159.623,978,13045,74129.777,,GALBUSD,5.71,5.705050517080718,
2022-05-26 04:00:00,5.675,5.689,5.475,5.524,78949,440707.08,2079,21484,120321.182,,GALBUSD,5.675824242424242,5.665814289999393,
2022-05-26 05:00:00,5.525,5.55,5.203,5.306,103985,559052.6579999999,4529,37179,200578.766,,GALBUSD,5.533622030237581,5.5003741859138,
2022-05-26 06:00:00,5.308,5.341,5.183,5.324,76307,403495.886,2385,37489,198680.128,,GALBUSD,5.315322964923892,5.311832016675693,
2022-05-26 07:00:00,5.319,5.354,5.217,5.341,72326,383046.848,1531,33749,179117.204,,GALBUSD,5.313655782312925,5.299287168932377,
