本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-02-17 14:00:00,79.32,81.47,78.12,79.1,14597.69,1171273.3386,5305,7581.99,609498.5793999999,-0.000379122962214,GMX-USDT,80.11861048144263,80.11861048144263,
2023-02-17 15:00:00,79.13,80.91,79.02,79.95,12728.09,1020082.3559,5045,5198.81,416908.2251,-0.0009996251405722,GMX-USDT,79.25240063703089,79.53735041456682,
2023-02-17 16:00:00,80.0,81.8,79.02,79.81,20226.34,1630365.9353,9350,8316.82,670648.2654,-0.0002505323813102,GMX-USDT,80.15199421540271,80.55722368063655,0.0001
2023-02-17 17:00:00,79.87,82.39,79.83,80.43,18262.85,1481061.5186,6709,6844.92,555619.3166,0.0013695219123508,GMX-USDT,80.09211463689954,80.13769772578134,
2023-02-17 18:00:00,80.43,81.39,79.67,80.64,12669.56,1019524.7427,5734,6428.18,517528.8979,0.0004962779156327,GMX-USDT,80.6813452950558,80.49138399670517,
2023-02-17 19:00:00,80.66,81.35,80.03,81.19,5125.62,412862.5254,2624,2636.41,212396.9181,0.0003696402168555,GMX-USDT,80.67752479338843,80.55706226542068,
2023-02-17 20:00:00,81.26,81.47,80.24,80.68,4743.02,383544.2791,2384,2096.85,169708.6166,0.0007442322004465,GMX-USDT,81.22765780071457,80.93481781273726,
2023-02-17 21:00:00,80.61,80.72,79.5,79.64,3376.01,270871.2774,1941,1253.34,100658.0402,0.0003768370807688,GMX-USDT,80.6177383228626,80.44711518563673,
2023-02-17 22:00:00,79.57,80.4,78.25,80.4,6249.17,495472.809,2876,2850.51,226087.5781,0.0019940179461617,GMX-USDT,79.48820736050652,79.1978881690737,
2023-02-17 23:00:00,80.36,83.86,80.1,82.22,14844.04,1218926.9151,6315,8416.52,691556.9068,0.0006084945843982,GMX-USDT,80.34456516321954,80.56327248186957,
2023-02-18 00:00:00,82.22,84.54,81.17,82.28,20123.9,1669135.6479,7869,9802.75,814872.3875,-0.0004859086491738,GMX-USDT,82.14497556505803,82.25301343334536,0.0001
2023-02-18 01:00:00,82.4,83.9,81.94,83.74,6307.76,523171.2083,3000,2919.76,242373.2799,0.001195600191296,GMX-USDT,82.39674059345366,82.41354434053031,
2023-02-18 02:00:00,83.72,84.54,82.61,84.14,11831.83,990295.2819,6715,6025.92,504983.3945,0.0008326394671107,GMX-USDT,83.78906440254056,83.7599425354699,
2023-02-18 03:00:00,84.12,85.31,83.4,84.64,22625.98,1910890.313,9468,10890.89,921120.0916,0.0013013131432626,GMX-USDT,83.91716629932671,83.85716622312603,
2023-02-18 04:00:00,84.64,85.1,83.91,84.3,12120.02,1024255.6753,5026,5921.24,501048.3334,0.0007122507122507,GMX-USDT,84.68235499038664,84.44793988081251,
2023-02-18 05:00:00,84.31,85.57,84.3,84.63,8906.85,756689.3271,3588,4165.82,354261.0178,0.0015384615384614,GMX-USDT,84.31211029900332,84.5517298640215,
2023-02-18 06:00:00,84.6,84.62,82.76,83.05,16136.38,1351441.6607,6926,5796.88,486185.4499,0.0012055455093429,GMX-USDT,84.39371705811004,84.15538349522919,
2023-02-18 07:00:00,83.04,83.45,82.09,82.93,8486.35,702883.1434,3639,3486.99,289044.7326,0.0013281815986478,GMX-USDT,83.09553937916881,83.09589398471924,
2023-02-18 08:00:00,82.91,82.91,81.32,81.76,9363.47,767013.6729,3745,3546.22,290737.6358,0.0007343941248469,GMX-USDT,82.61557805658471,82.39350420387315,0.0001
2023-02-18 09:00:00,81.78,83.01,81.66,82.66,9695.74,798682.0228,4890,5634.22,464272.3073,0.0012112403100774,GMX-USDT,81.80907383586315,81.90189737618812,
2023-02-18 10:00:00,82.73,82.89,81.63,81.98,6742.95,555639.7678,3680,3691.97,304324.2182,0.0017106549364613,GMX-USDT,82.72413942398192,82.76321471692458,
2023-02-18 11:00:00,81.97,82.24,80.57,81.2,7621.04,620138.4094,3925,3258.11,265197.6423,0.0004928536224741,GMX-USDT,81.87779372401617,81.9606267856371,
2023-02-18 12:00:00,81.31,82.24,80.7,82.06,6223.1,506668.376,2971,2615.37,213100.7903,0.0014644862094215,GMX-USDT,81.25902652845598,81.054214017909,
2023-02-18 13:00:00,82.08,82.22,81.09,81.29,6153.54,502339.0075,2562,2310.34,188726.5275,0.0008618566855456,GMX-USDT,81.9813638689867,82.07784046726894,
2023-02-18 14:00:00,81.3,81.67,81.0,81.44,5684.97,462403.238,2274,2295.95,186853.6976,0.0028321635266592,GMX-USDT,81.37502803015659,81.32367325035584,
2023-02-18 15:00:00,81.35,81.91,81.05,81.51,6103.8,497585.9872,2259,2942.8,239994.6643,0.001228350325513,GMX-USDT,81.34343425453265,81.39102397924958,
2023-02-18 16:00:00,81.54,82.07,80.7,81.24,8597.07,699048.7875999999,3084,4016.54,326955.5632,0.0007390983000736,GMX-USDT,81.74175223854647,81.78787603095438,0.0001
2023-02-18 17:00:00,81.29,81.78,80.0,80.77,7592.81,613455.8757,3014,3208.56,259523.5021,0.0009914487544924,GMX-USDT,81.30319897632756,81.27992894057232,
2023-02-18 18:00:00,80.76,81.1,79.44,79.75,9618.25,770674.9033,3762,3974.66,318562.0145,0.0021362151294295,GMX-USDT,80.68780657256285,80.48118392328317,
2023-02-18 19:00:00,79.72,79.84,78.5,79.01,7416.139999999999,587215.2413,2875,2913.75,230851.3187,0.0002531966071654,GMX-USDT,79.62493784959602,79.64771186831118,
2023-02-18 20:00:00,79.02,79.33,78.4,79.21,4218.19,333142.5088,1791,1824.26,144154.4627,0.0012640626975097,GMX-USDT,79.04530442081702,78.95074305388198,
2023-02-18 21:00:00,79.21,79.74,79.01,79.53,2500.18,198394.1223,1420,1249.52,99220.5032,0.0003773584905659,GMX-USDT,79.15721879006877,79.29609652463066,
2023-02-18 22:00:00,79.61,80.17,79.51,80.06,4104.62,328093.7982,2119,1704.49,136317.502,0.0018771117507196,GMX-USDT,79.59944480073293,79.68199132433655,
2023-02-18 23:00:00,80.06,80.86,79.8,80.59,5118.04,411257.311,2203,2646.39,212693.5801,0.001989307472336,GMX-USDT,79.97641292805946,79.91724858900413,
2023-02-19 00:00:00,80.59,81.5,80.29,81.28,4675.67,377847.8364,2216,2354.17,190276.3328,0.0008619628124615,GMX-USDT,80.48825909465683,80.46184917613498,0.0001
2023-02-19 01:00:00,81.34,81.48,79.93,80.76,4119.25,331971.6161,1938,1357.87,109441.7998,0.0014880952380953,GMX-USDT,81.40417615556595,81.32453112514762,
2023-02-19 02:00:00,80.76,81.08,79.8,80.28,3941.97,317194.9091,1906,1621.39,130551.5442,0.0006232082762058,GMX-USDT,80.94694153711409,80.96528795889328,
2023-02-19 03:00:00,80.37,80.8,80.16,80.42,3653.84,294230.6259,1504,1668.65,134442.8786,0.0016191306513886,GMX-USDT,80.47306311881188,80.53807553485467,
2023-02-19 04:00:00,80.39,81.5,80.28,81.15,7790.11,631692.7956,2944,4001.88,324452.3752,0.0012338062924122,GMX-USDT,80.35487279394911,80.4203680643265,
2023-02-19 05:00:00,81.13,82.0,80.65,81.29,7853.65,638137.5603,3194,3448.8,280365.09880000004,0.0004923076923077,GMX-USDT,81.0875560308751,81.2279755763573,
2023-02-19 06:00:00,81.33,81.66,81.0,81.25,3353.43,272594.4765,1594,1596.69,129859.0514,0.0012322858903264,GMX-USDT,81.43320218071169,81.45509464031541,
2023-02-19 07:00:00,81.3,81.43,80.4,80.51,3725.82,301373.7192,1598,1413.98,114441.3148,0.0012436264146251,GMX-USDT,81.36240269461078,81.30553679289471,
2023-02-19 08:00:00,80.57,81.37,80.57,80.81,4630.96,375367.867,1906,2018.56,163638.41939999998,0.0016113039167078,GMX-USDT,80.77824600590596,80.94751017417889,0.0001
2023-02-19 09:00:00,80.81,81.47,80.77,81.33,2549.56,206732.6241,1003,996.27,80797.5595,0.0017243502894446,GMX-USDT,80.90238007179376,81.06821309747718,
2023-02-19 10:00:00,81.35,81.58,80.96,81.33,4189.96,340544.5133,1674,1462.4,118926.0808,0.0020946278955149,GMX-USDT,81.31064199932656,81.38204613481979,
2023-02-19 11:00:00,81.29,81.41,80.83,80.94,2555.65,207150.5528,1121,813.45,65935.7843,0.0016087117930949,GMX-USDT,81.35728673961643,81.34683968048418,
2023-02-19 12:00:00,80.94,81.77,80.87,81.73,4234.3,344525.5524,1903,2019.0,164338.9212,0.0019615054554371,GMX-USDT,80.9983274559194,81.11988959745287,
2023-02-19 13:00:00,81.7,81.72,80.74,80.86,3945.08,320271.3878,1619,1415.51,115006.6779,0.0014862521674512,GMX-USDT,81.66895400962974,81.25252578341485,
2023-02-19 14:00:00,80.83,81.41,80.66,81.2,3295.44,267172.3607,1532,1707.55,138492.8521,0.0016035524855064,GMX-USDT,80.81569855190699,80.98612763899465,
2023-02-19 15:00:00,81.22,81.87,80.16,81.07,6311.51,512407.0966,2900,2829.13,229852.1953,0.002225244158734,GMX-USDT,81.27252203475194,81.2089232162989,
2023-02-19 16:00:00,81.04,81.74,78.97,79.64,12753.11,1026215.3303,6623,5181.47,417453.1094,0.0005025125628141,GMX-USDT,81.08996536296722,81.2605693095442,0.0001
2023-02-19 17:00:00,79.64,79.85,77.58,77.97,17165.25,1348847.5825,8675,6855.41,539170.29,0.002185089974293,GMX-USDT,79.6051797653589,79.54013706701637,
2023-02-19 18:00:00,77.93,78.59,77.4,77.78,8730.95,681323.8203,4451,3853.9,300894.8607,0.0003858520900321,GMX-USDT,77.95162008007856,78.25171958594368,
2023-02-19 19:00:00,77.84,78.69,77.74,78.33,5893.11,461764.1654,2884,3202.8,250862.4121,0.0005109209349851,GMX-USDT,77.9605131140198,77.85062865848184,
2023-02-19 20:00:00,78.33,78.37,76.66,77.88,8392.01,649787.3047,4537,3650.72,282915.5532,0.0002568713074748,GMX-USDT,78.1999261566122,77.9874863754296,
2023-02-19 21:00:00,77.95,78.56,77.86,78.45,2176.67,170223.9573,1461,1172.6,91757.1229,0.0019157088122605,GMX-USDT,77.94682760465429,77.9869457522931,
2023-02-19 22:00:00,78.49,78.66,77.31,77.99,5001.02,389967.5559,2604,1802.55,140609.6019,0.0010268258246695,GMX-USDT,78.50726114649682,78.4577141994745,
2023-02-19 23:00:00,78.04,78.45,77.31,77.63,8714.9,678486.4441,4076,4350.06,338950.4347,0.0023240800516461,GMX-USDT,78.02151027703307,77.89461804282271,
2023-02-20 00:00:00,77.61,78.0,76.77,77.24,6264.86,485708.8984,2895,3013.55,233863.1464,0.0020757654385052,GMX-USDT,77.57560184442663,77.75210129684497,0.0001
2023-02-20 01:00:00,77.24,77.32,74.36,76.68,23463.7,1780889.8886,10486,9204.63,698423.2766,0.0022219317736242,GMX-USDT,77.16848945253642,77.20105809902951,
