本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-09-16 14:00:00,1.943,2.4527,1.8542,2.3629,26673753,57545876.7992,166379,13978815,30126973.134,-0.004675652906487,HIFI-USDT,1.9058082365478295,1.9058082365478295,
2023-09-16 15:00:00,2.3607,2.642,2.3427,2.5625,77934414,193423833.3224,513990,40095991,99616548.9869,-0.0016363423851638,HIFI-USDT,2.4262345687762834,2.4332317967100483,
2023-09-16 16:00:00,2.5625,2.618,1.9235,1.9516,92515779,213584964.6774,776295,46185748,106868613.4837,-0.1753570523113327,HIFI-USDT,2.5655320861434414,2.5811250156780754,-0.00338522
2023-09-16 17:00:00,1.951,1.9564,1.4671,1.7245,132295017,221012570.0176,896789,64169767,107288575.7205,-0.2633175274467085,HIFI-USDT,1.9006357212900196,1.7456777564387085,
2023-09-16 18:00:00,1.7242,1.7586,1.416,1.4369,55742867,87005825.6426,475081,25414039,39698341.0299,-0.3306470396422415,HIFI-USDT,1.7417076642699858,1.7292388874453386,
2023-09-16 19:00:00,1.4365,1.525,1.3076,1.4757,59943557,84343801.2178,427523,29339249,41328775.0486,-0.3054548877488586,HIFI-USDT,1.4246106904120626,1.4243947925112124,
2023-09-16 20:00:00,1.4757,1.705,1.46,1.6236,51146228,82844961.8511,351518,24908947,40348689.5657,-0.2231207234795924,HIFI-USDT,1.4794004491367048,1.5167785457940195,
2023-09-16 21:00:00,1.6236,1.78,1.6158,1.7642,29509210,50557496.0066,218481,15580235,26695334.9026,-0.1999455806992879,HIFI-USDT,1.6354139611347052,1.656606421363056,
2023-09-16 22:00:00,1.7633,1.9419,1.721,1.9158,26166026,47729845.6618,188084,13792766,25171446.8805,-0.1567781690140844,HIFI-USDT,1.7554285262727802,1.7547287547633634,
2023-09-16 23:00:00,1.9157,2.0169,1.7668,1.7965,36012326,68172867.5753,247634,17595227,33330146.0426,-0.2263135228251507,HIFI-USDT,1.9280010206292224,1.954333176078745,
2023-09-17 00:00:00,1.7969,1.8321,1.4444,1.473,55929678,91659674.7946,371284,25347474,41667981.5155,-0.3342071958054601,HIFI-USDT,1.7083875575634433,1.762706753893648,-0.025
2023-09-17 01:00:00,1.4722,1.5032,1.32,1.3875,51577851,72518189.2108,357899,23821944,33522025.6176,-0.2579023372733593,HIFI-USDT,1.4867106802362149,1.440567890718328,
2023-09-17 02:00:00,1.388,1.4566,1.284,1.3582,47242992,64072837.7971,323126,22698609,30844704.4958,-0.134683995922528,HIFI-USDT,1.3810980206672785,1.3835608311548344,
2023-09-17 03:00:00,1.3587,1.5276,1.326,1.3746,58545665,83370669.645,319659,29807743,42480692.214,-0.0499032347249102,HIFI-USDT,1.3701575683373028,1.3781359278094465,
2023-09-17 04:00:00,1.3738,1.4012,1.3131,1.3504,29542831,40154511.3965,192168,14525466,19757461.3707,-0.0178194777802022,HIFI-USDT,1.3756256127202284,1.3824633378388154,
2023-09-17 05:00:00,1.3509,1.3685,1.26,1.3452,38951380,51073122.659,237823,18730098,24587583.802,-0.0042194092827004,HIFI-USDT,1.3569910704065078,1.327019286962647,
2023-09-17 06:00:00,1.3447,1.346,1.22,1.2417,51032008,64819296.8781,276379,23361633,29679008.5207,0.0014517299782239,HIFI-USDT,1.342118031908647,1.3369036670889731,
2023-09-17 07:00:00,1.2417,1.2699,1.0903,1.1121,78136203,91913100.0598,356251,36118061,42527148.4269,-0.0024219590958018,HIFI-USDT,1.2415641035168563,1.2567360888565369,
2023-09-17 08:00:00,1.1119,1.1823,1.0368,1.1698,109163021,121938036.1332,423297,56132396,62773317.9808,-0.0128270042194094,HIFI-USDT,1.1119094442609,1.111499513809811,-0.00233522
2023-09-17 09:00:00,1.1695,1.2135,1.1103,1.1588,59596481,68734614.2248,271147,30428531,35117855.4107,-0.0070265638389032,HIFI-USDT,1.1736359197927293,1.1844691338540394,
2023-09-17 10:00:00,1.1592,1.165,1.07,1.0944,45298183,50247503.3425,217339,21535216,23892943.983,9.138261902585933e-05,HIFI-USDT,1.1572948163512904,1.1525311123244446,
2023-09-17 11:00:00,1.0942,1.1,1.03,1.0596,54800159,57919491.0959,244435,27190799,28755469.4146,-0.0011312217194568,HIFI-USDT,1.092244639064992,1.0867828150439474,
2023-09-17 12:00:00,1.0597,1.1222,1.0356,1.0771,55186071,59438873.363,263625,27714609,29873599.1251,-0.0024080763174957,HIFI-USDT,1.057155501068623,1.06546636721183,-0.00285999
2023-09-17 13:00:00,1.0774,1.0953,1.0455,1.0822,38816794,41432018.4751,173641,20156010,21527195.8064,-0.0061529984387913,HIFI-USDT,1.0787911400723746,1.0717876942033622,
2023-09-17 14:00:00,1.0822,1.1439,1.0768,1.1246,53981968,59688713.1855,242716,28321266,31334041.7793,-0.0022180818028568,HIFI-USDT,1.080102272824068,1.091541273848378,
2023-09-17 15:00:00,1.1246,1.135,1.1,1.1181,31160780,34870042.8599,138301,15076880,16879470.5819,0.0,HIFI-USDT,1.1233415264355435,1.1162563281244142,
2023-09-17 16:00:00,1.1181,1.1215,1.04,1.0726,47560424,51122240.7132,234393,22709704,24417207.8984,-0.0005590756615727,HIFI-USDT,1.1143657549309685,1.1055884947185128,-0.00094466
2023-09-17 17:00:00,1.0727,1.08,1.043,1.0665,27311619,29042198.245,152302,14064642,14964027.7501,-0.000468603561387,HIFI-USDT,1.0715086042203337,1.0635948532554456,
2023-09-17 18:00:00,1.0665,1.0673,0.981,1.0001,56410872,57173766.5166,235933,26149909,26503093.8738,-0.0022944932162809,HIFI-USDT,1.061637257365237,1.059291844714079,
2023-09-17 19:00:00,1.0001,1.0194,0.9537,0.9634,38504756,38130827.0873,169962,18223022,18065776.4007,-0.0043406366267052,HIFI-USDT,0.9887025155211666,0.9962609019315918,
2023-09-17 20:00:00,0.9634,0.976,0.8566,0.8826,94181201,84805744.74780001,321995,45783291,41205710.796,-0.0055211267605632,HIFI-USDT,0.9623102687833228,0.9591871079728044,-0.00142851
2023-09-17 21:00:00,0.883,0.8999,0.85,0.8736,47744870,42035006.1033,204212,23879458,21042189.3568,-0.003422313483915,HIFI-USDT,0.8894976545303648,0.8904504731505666,
2023-09-17 22:00:00,0.8735,0.9579,0.8705,0.9,49511338,45289413.3272,252077,25886342,23688699.8554,-0.0017746228926351,HIFI-USDT,0.8738919692518543,0.8777714545981107,
2023-09-17 23:00:00,0.8999,0.9144,0.8706,0.9005,23229608,20834915.4606,117376,12003816,10769668.6017,-0.0027685492801772,HIFI-USDT,0.9019945568776871,0.9031415759715103,
2023-09-18 00:00:00,0.9005,0.9243,0.7985,0.8532,87570790,74225979.4324,322103,41111400,34898015.7856,-0.0031545741324922,HIFI-USDT,0.9064534713136104,0.9039355728476376,-0.00154169
2023-09-18 01:00:00,0.8534,0.88,0.8109,0.8344,38720984,32394775.5173,159358,20007318,16743471.315,-0.0037014925373134,HIFI-USDT,0.8528845611989921,0.8603373926512642,
2023-09-18 02:00:00,0.8344,0.873,0.8215,0.8522,25189929,21295936.6804,120862,13421562,11352162.0901,-0.0028083313831033,HIFI-USDT,0.8367329766310061,0.8330829323259643,
2023-09-18 03:00:00,0.8522,0.923,0.8319,0.9002,41508528,36709113.8404,169706,22336386,19761164.3323,-0.0026589851539995,HIFI-USDT,0.8534211056375501,0.8442160499975431,
2023-09-18 04:00:00,0.9002,0.9353,0.8563,0.8701,41235632,36776533.308,166738,20676389,18456537.8054,-0.004690002287806,HIFI-USDT,0.8972300906833796,0.9107486344486044,-0.00169946
2023-09-18 05:00:00,0.8701,0.8943,0.8595,0.8666,19158900,16781704.8839,91207,9501028,8327376.6461,-0.0028765389483372,HIFI-USDT,0.8703218337210409,0.8733880892575222,
2023-09-18 06:00:00,0.8668,0.8704,0.8345,0.8468,25560609,21724946.5012,109061,12148900,10329859.8069,-0.0011795234725171,HIFI-USDT,0.866101294982119,0.8603958417893598,
2023-09-18 07:00:00,0.8467,0.88,0.8423,0.8529,22287510,19245318.8977,96915,11564494,9991743.2801,-0.0023394549070067,HIFI-USDT,0.844583609506256,0.8487883282783946,
2023-09-18 08:00:00,0.853,0.8739,0.8458,0.8709,18170085,15653518.437,79031,9481677,8170082.5049,-0.0018338108882521,HIFI-USDT,0.8526011985341414,0.8536463881412206,-0.00197441
2023-09-18 09:00:00,0.871,0.8976,0.8414,0.8589,32563312,28440390.2784,126069,15873223,13877154.1898,-0.0004654951704875,HIFI-USDT,0.8700123798978151,0.8676656725129547,
2023-09-18 10:00:00,0.8585,0.865,0.828,0.847,34926777,29526039.3229,124722,17304038,14631165.1322,-0.0014147606696534,HIFI-USDT,0.8568095676433047,0.8424732222800287,
2023-09-18 11:00:00,0.8469,0.8718,0.8175,0.8386,29486987,24917255.7892,112898,13988937,11829799.1674,-0.0014289116456298,HIFI-USDT,0.847541831555458,0.8531685067158818,
2023-09-18 12:00:00,0.8384,0.8474,0.8301,0.8388,17672281,14824539.4713,84323,8697523,7297517.1676,-0.0014285714285714,HIFI-USDT,0.8407247842757629,0.8402416500716496,
