本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-03-23 14:00:00,0.4286,0.492,0.4286,0.4789,19370494,9326203.4915,42928,9258091,4459223.7776,0.0009405371512174,ID-USDT,0.4601025979061652,0.4601025979061652,
2023-03-23 15:00:00,0.4789,0.523,0.4539,0.5043,58593005,28643864.2966,119469,29259660,14326488.3706,-0.0006935499851383,ID-USDT,0.4765044850306007,0.4730404539894439,
2023-03-23 16:00:00,0.5043,0.5159,0.4759,0.4907,56363152,28123258.4813,123311,27437276,13702279.6926,0.0004893365412061,ID-USDT,0.5084748443782597,0.5061212577484205,0.0001
2023-03-23 17:00:00,0.4906,0.5125,0.4771,0.5039,32665046,16294877.8999,78047,16910295,8442841.5296,3.969199015640967e-05,ID-USDT,0.4918088425930286,0.4878021506485604,
2023-03-23 18:00:00,0.5039,0.5252,0.4945,0.4997,51850706,26599056.932,110048,25976959,13331402.0066,-0.0012192440686775,ID-USDT,0.5024567476567723,0.5045296400224561,
2023-03-23 19:00:00,0.4997,0.521,0.4849,0.5097,37680893,18922512.9957,81899,19101471,9602011.8599,0.0007067970314524,ID-USDT,0.5010627428810872,0.5034428982854199,
2023-03-23 20:00:00,0.5096,0.5255,0.5033,0.5131,34014833,17491629.4989,89962,17153172,8827775.0905,0.0001169499454232,ID-USDT,0.5101952807205238,0.5096817948746246,
2023-03-23 21:00:00,0.513,0.5174,0.4896,0.4969,27219108,13685518.3428,71518,12459025,6268118.9337,0.000644407749003,ID-USDT,0.5115261248671122,0.5126704067389837,
2023-03-23 22:00:00,0.4969,0.515,0.4969,0.5074,18032745,9160217.4458,50823,9713608,4932892.3181,0.0003351536778186,ID-USDT,0.5019226105690133,0.504499491767619,
2023-03-23 23:00:00,0.5072,0.5299,0.498,0.5286,26692418,13715292.1366,77353,14016745,7213425.1945,-0.0004349223758108,ID-USDT,0.5072137809871061,0.5079306871246217,
2023-03-24 00:00:00,0.5287,0.565,0.5204,0.5603,71221861,38616791.3047,157082,36715819,19927495.6972,-0.0009806543639118,ID-USDT,0.5327672805519094,0.5347377789213338,0.0001
2023-03-24 01:00:00,0.5604,0.5923,0.5582,0.5834,86348199,49802270.895,157459,42999175,24826064.459,0.0006861063464838,ID-USDT,0.5622099392513809,0.5670267786777614,
2023-03-24 02:00:00,0.5833,0.5969,0.5507,0.5687,70728274,40589328.5867,153807,34008372,19532094.1488,0.0001758705592682,ID-USDT,0.5767780242796416,0.5758073768433853,
2023-03-24 03:00:00,0.5687,0.5691,0.5383,0.545,39826582,22014550.8912,88352,18441710,10202553.1377,3.669859444377366e-05,ID-USDT,0.56130581256847,0.5564781956383033,
2023-03-24 04:00:00,0.545,0.548,0.5018,0.524,58965694,30960459.6834,114030,26949958,14160567.0161,-0.0002861776209099,ID-USDT,0.5324385274684408,0.5294035141598804,
2023-03-24 05:00:00,0.524,0.537,0.505,0.5179,41090935,21550207.0908,99003,19487899,10232411.8112,-0.0001930501930501,ID-USDT,0.5199497159126487,0.5246579335320776,
2023-03-24 06:00:00,0.5179,0.54,0.5093,0.5322,41760934,22079332.3514,105346,21468518,11353716.7973,0.0003759398496239,ID-USDT,0.5125547963582132,0.5180897801061634,
2023-03-24 07:00:00,0.5322,0.5468,0.5165,0.5412,46525904,24839749.6262,123240,23389848,12500605.9066,-0.0007385524372229,ID-USDT,0.5331301031638649,0.5370105460638276,
2023-03-24 08:00:00,0.5413,0.5415,0.5204,0.5313,39921378,21165717.0362,107711,18674282,9907759.497,-0.0003951007506914,ID-USDT,0.5366754365311642,0.5332980192199803,0.0001
2023-03-24 09:00:00,0.5313,0.536,0.5189,0.5286,28885629,15227596.1824,85787,13592649,7171008.3492,-0.0005105224346247,ID-USDT,0.5302849360121847,0.5325477204932698,
