本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-04-20 03:00:00,0.022,0.02288,0.02174,0.0227,291995532,6573582.75674,20400,147590470,3324669.87227,0.0,JASMY-USDT,0.0223800090765853,0.0223800090765853,
2022-04-20 04:00:00,0.0227,0.0234,0.02209,0.0225,339227439,7698183.35041,25476,150220117,3412810.31735,0.0044642857142855,JASMY-USDT,0.0228140434598677,0.0230464892884933,
2022-04-20 05:00:00,0.02249,0.02251,0.0221,0.0223,170420158,3807454.65389,11242,77135511,1724093.61005,0.0045045045045044,JASMY-USDT,0.0224831648656638,0.0224140042097162,
2022-04-20 06:00:00,0.0223,0.02292,0.02215,0.02256,262806168,5938597.12541,18747,122283956,2765196.76843,0.0026666666666668,JASMY-USDT,0.0222374812295577,0.0222232473055132,
2022-04-20 07:00:00,0.02256,0.02273,0.0224,0.02247,168292552,3799807.58072,10653,76577427,1729483.43519,0.003125,JASMY-USDT,0.0225178527425722,0.02250185856497,
2022-04-20 08:00:00,0.02247,0.02371,0.02215,0.02348,405441722,9267165.12827,24356,201058786,4601053.40606,0.0034188034188034,JASMY-USDT,0.0224666710579791,0.0223960130477348,0.0001
2022-04-20 09:00:00,0.02348,0.0254,0.0234699999999999,0.02511,1563209045,38171708.77427,106210,776974079,18982691.83459,0.0003984063745019,JASMY-USDT,0.0236167952245246,0.0237612317848272,
2022-04-20 10:00:00,0.02511,0.0266399999999999,0.02456,0.02495,2508445742,64415541.92881,157543,1154231173,29667946.52643,0.002008032128514,JASMY-USDT,0.0252889220085622,0.0255602581962766,
2022-04-20 11:00:00,0.02496,0.02553,0.02446,0.02471,1116235552,27835872.11537,70906,509953014,12728681.73694,0.004471544715447,JASMY-USDT,0.0249337319466342,0.0246987930158169,
2022-04-20 12:00:00,0.02471,0.02613,0.0247,0.02586,1145444067,29137072.67513,66015,554484823,14109013.17736,-0.0015444015444014,JASMY-USDT,0.0247859146925479,0.0249136461460091,
