本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-12-08 10:00:00,2.9288,3.146,2.9002,3.0614,12073474,36456042.4624,129396,5732518,17320483.0968,0.0012100598489059,JTO-USDT,2.9812874009606856,2.986133270554128,
2023-12-08 11:00:00,3.0632,3.1194,2.86,2.8768,7565694,22632891.5525,99953,3419427,10248646.2113,0.0006608925527844,JTO-USDT,3.084406034212221,3.0922650135426792,
2023-12-08 12:00:00,2.8782,2.983,2.8016,2.8546,9718560,28069555.602,116518,4495759,12988840.3438,0.0004205509217074,JTO-USDT,2.9023817613645884,2.888817991482623,0.00071406
2023-12-08 13:00:00,2.8546,2.982,2.84,2.9247,5591749,16345135.5564,77026,2740159,8013147.9673,0.0019183995066973,JTO-USDT,2.879413420368946,2.8876162404132715,
2023-12-08 14:00:00,2.9265,3.4054,2.8869,3.3767,16558971,51947164.1871,210883,8606447,27019853.5444,0.000236973844012,JTO-USDT,2.9131200458705915,2.915551892081706,
2023-12-08 15:00:00,3.3782,3.724,3.36,3.4943,52188494,185022808.4225,639560,25814264,91567822.5251,0.0012320916905443,JTO-USDT,3.428452582996552,3.437877369252105,
2023-12-08 16:00:00,3.493,3.765,3.4638,3.6227,31143694,113457079.0037,414929,15695002,57195692.0197,0.0013820935953783,JTO-USDT,3.4989024835743754,3.53447710914777,0.00074698
2023-12-08 17:00:00,3.624,3.6247,3.2894,3.4505,25002533,86179436.5487,308037,11978654,41298250.7765,0.0016837460446481,JTO-USDT,3.6034609107822058,3.543828588418586,
2023-12-08 18:00:00,3.448,3.5664,3.4025,3.4663,14680688,51373482.3538,211481,7206123,25229483.2009,0.00115530138925,JTO-USDT,3.508371735616913,3.526336201466407,
2023-12-08 19:00:00,3.4664,3.5179,3.168,3.2342,13575772,45642921.5532,191818,6322676,21306029.7045,0.0010833565481165,JTO-USDT,3.4761473973306667,3.4893057268408696,
2023-12-08 20:00:00,3.2366,3.4155,3.1251,3.2494,17983810,58761962.8484,258377,8934673,29209183.2672,0.0029012345679011,JTO-USDT,3.2534394369473736,3.271361515857416,0.0006894
2023-12-08 21:00:00,3.248,3.45,3.1738,3.4101,12090046,40267666.3576,202342,6114534,20377479.0817,0.0013213530655389,JTO-USDT,3.2224482030890136,3.219088456475583,
2023-12-08 22:00:00,3.4115,3.4924,3.3196,3.4165,9609926,32957024.7255,159006,4654629,15969779.0316,0.0017592728338953,JTO-USDT,3.394069130852724,3.4417673819702705,
2023-12-08 23:00:00,3.4173,3.5905,3.3421,3.586,7303924,25243209.9103,118013,3768509,13038455.3988,0.0018438844499077,JTO-USDT,3.422905333472994,3.4346926175034804,
2023-12-09 00:00:00,3.586,3.6689,3.44,3.4778,10988771,39062450.3485,185530,5269349,18744504.7674,0.0029993655188325,JTO-USDT,3.604645287533156,3.6257403615340182,0.00086706
