本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-11-17 02:00:00,0.1358,0.14136,0.12094,0.12482,15329155,1951727.80911,18785,7580188,965462.90692,,KAS-USDT,0.1354956212937323,0.1354935863021666,
2023-11-17 03:00:00,0.12482,0.13238,0.12392,0.13173,15350336,1968187.8293,11987,7528481,965187.15021,,KAS-USDT,0.1251831393531817,0.1250982800124389,
2023-11-17 04:00:00,0.13167,0.13285,0.12763,0.13241,11417290,1492425.13045,9260,5433866,711419.05909,,KAS-USDT,0.1319028857382188,0.1322072464630826,5e-05
2023-11-17 05:00:00,0.13246,0.13449,0.131,0.13248,10730606,1425237.61839,9806,5001730,664655.96052,,KAS-USDT,0.1325141003258368,0.1334402579553091,
2023-11-17 06:00:00,0.13274,0.13475,0.129,0.13386,12288756,1626479.80902,11171,5859025,776443.64807,,KAS-USDT,0.1325007888768365,0.1319963098305595,
2023-11-17 07:00:00,0.13376,0.13481,0.13032,0.13307,11257451,1493426.44271,11100,5981221,794369.2693,,KAS-USDT,0.1339715681861232,0.1340891288197578,
2023-11-17 08:00:00,0.13324,0.13415,0.13206,0.13341,7854509,1045732.6505,8002,3821461,509040.85682,,KAS-USDT,0.1334051621817224,0.1336868610745974,0.00013959
2023-11-17 09:00:00,0.13337,0.1335,0.128,0.12911,11819253,1548089.6194,10656,4557916,598525.82952,,KAS-USDT,0.1332959269795032,0.1332836693435241,
2023-11-17 10:00:00,0.12912,0.12918,0.125,0.12577,22604518,2871468.64807,18611,10793307,1372357.12365,,KAS-USDT,0.1284507031294559,0.1269825749846854,
2023-11-17 11:00:00,0.12579,0.12604,0.12027,0.1207,23880366,2931211.32975,18982,10230212,1256842.70458,,KAS-USDT,0.1254481977030483,0.1245855255024162,
2023-11-17 12:00:00,0.1206,0.1206,0.11183,0.11632,80028206,9305531.10918,51615,37423074,4353398.71857,,KAS-USDT,0.1179152314564412,0.1165810863007949,5e-05
2023-11-17 13:00:00,0.11619,0.12386,0.11619,0.12157,31304134,3807068.77361,25576,15755089,1916366.30764,,KAS-USDT,0.116779285847634,0.1184680581734913,
2023-11-17 14:00:00,0.12156,0.12157,0.11328,0.11597,42333714,4972784.3766,30958,20446364,2403378.96288,,KAS-USDT,0.1213345007095682,0.1212695621813798,
2023-11-17 15:00:00,0.11601,0.1195,0.11333,0.11384,42135343,4883740.36714,34195,20373748,2363263.47789,,KAS-USDT,0.1159957888404721,0.1160515875327991,
2023-11-17 16:00:00,0.11384,0.1217,0.11361,0.11804,54970510,6489703.92448,40865,29164656,3445225.39175,,KAS-USDT,0.1138662217868812,0.1148754495838118,5e-05
2023-11-17 17:00:00,0.11803,0.12707,0.11756,0.1253,51565640,6332613.56074,43954,27400927,3367374.61566,,KAS-USDT,0.1178639028010102,0.1185132236809888,
2023-11-17 18:00:00,0.12524,0.12665,0.12144,0.12413,23721083,2945177.804,23638,11799041,1467066.03199,,KAS-USDT,0.1247125840466386,0.1253554992402965,
2023-11-17 19:00:00,0.12411,0.12478,0.12265,0.1234,11602831,1437701.67926,11096,5198744,644443.94894,,KAS-USDT,0.1241853039060438,0.1244035727833435,
2023-11-17 20:00:00,0.12337,0.131,0.1227,0.131,26336747,3353479.98322,24189,13310597,1694783.01159,,KAS-USDT,0.1231805178185516,0.1232711344922345,5e-05
2023-11-17 21:00:00,0.13096,0.13304,0.1282,0.13202,24044558,3136616.74893,23306,11845348,1547554.24344,,KAS-USDT,0.129818976187427,0.1301800105171395,
2023-11-17 22:00:00,0.13196,0.14291,0.13179,0.13819,57783710,7964588.46184,46569,29712461,4096121.02729,,KAS-USDT,0.1327881610238271,0.1336948037466344,
2023-11-17 23:00:00,0.13819,0.14145,0.134,0.13757,35296386,4844124.60378,30996,15875354,2178784.60254,,KAS-USDT,0.1380933138860263,0.1395361796585493,
2023-11-18 00:00:00,0.13752,0.13794,0.13,0.13064,21559810,2869788.80602,19682,8591345,1146048.28648,,KAS-USDT,0.1377787873981946,0.1361100115251789,5e-05
2023-11-18 01:00:00,0.13071,0.13766,0.13056,0.13352,19662995,2651465.25722,17249,10789178,1455536.79411,,KAS-USDT,0.1310475078348927,0.1316087305326582,
2023-11-18 02:00:00,0.13357,0.14061,0.1313,0.13953,68121697,9291235.99439,48209,34342219,4685709.87921,,KAS-USDT,0.1335362626650851,0.1336703120259262,
2023-11-18 03:00:00,0.13962,0.13976,0.13364,0.13593,48586359,6626823.23978,38995,24203844,3303513.80875,,KAS-USDT,0.1392354310427607,0.1387803862983285,
2023-11-18 04:00:00,0.13589,0.136,0.128,0.12985,53700446,7060462.75548,43027,24481502,3217704.6667,,KAS-USDT,0.1345242045546185,0.1331066131714758,5e-05
2023-11-18 05:00:00,0.12992,0.13147,0.1277,0.1299,26490879,3429334.80361,24309,12763139,1653552.79794,,KAS-USDT,0.1297370851979327,0.1295304073979476,
2023-11-18 06:00:00,0.13001,0.132,0.12801,0.12914,18052008,2350674.93636,17540,8758775,1141640.21413,,KAS-USDT,0.1297439592347354,0.1295768653468862,
2023-11-18 07:00:00,0.12915,0.13509,0.1268,0.13481,28117824,3658796.14371,24718,15160153,1980272.8694,,KAS-USDT,0.1295212697605105,0.1289603002413274,
2023-11-18 08:00:00,0.13485,0.13749,0.13205,0.13352,35805559,4809357.92302,32926,17094918,2299359.80764,,KAS-USDT,0.1348041130006474,0.1340365123136875,5e-05
2023-11-18 09:00:00,0.13363,0.13378,0.12997,0.13121,18984616,2501124.94715,18633,9087812,1197646.33802,,KAS-USDT,0.1336867064099668,0.1332612400697941,
2023-11-18 10:00:00,0.13121,0.13539,0.13121,0.13478,21971365,2936089.6348,22033,11689889,1562356.24609,,KAS-USDT,0.1314550475342132,0.1318032463315262,
2023-11-18 11:00:00,0.13479,0.13653,0.13206,0.13329,42204398,5651236.67198,35321,20893110,2798748.94774,,KAS-USDT,0.134814071209435,0.1352051765986838,
2023-11-18 12:00:00,0.13337,0.13465,0.13,0.13149,47919303,6325069.1662,40278,21972288,2902768.35863,,KAS-USDT,0.1332664935870791,0.1336667284078553,7.61e-05
2023-11-18 13:00:00,0.13149,0.13327,0.13008,0.13217,34875630,4592851.07413,30906,17334331,2284017.74152,,KAS-USDT,0.1316245468207273,0.1315024072363698,
2023-11-18 14:00:00,0.13218,0.1357,0.13076,0.13445,54271105,7270606.98474,51042,27492186,3684361.99321,,KAS-USDT,0.132332048097542,0.1321267744403912,
2023-11-18 15:00:00,0.13453,0.1362,0.13287,0.13473,41978207,5644262.00044,52161,20571751,2767382.01418,,KAS-USDT,0.1344899493248338,0.1338799910572929,
2023-11-18 16:00:00,0.13473,0.13936,0.13472,0.13721,67863084,9300713.28952,63898,33626953,4609994.49329,,KAS-USDT,0.1354574455856045,0.1357630646466115,0.00013959
2023-11-18 17:00:00,0.13732,0.13885,0.13389,0.13811,42914097,5854992.28633,48445,20016521,2732262.50077,,KAS-USDT,0.1363253253533644,0.1359636847762321,
2023-11-18 18:00:00,0.13811,0.14188,0.1377,0.14094,83314579,11676982.30631,77289,42110169,5904358.04143,,KAS-USDT,0.1382675312651498,0.1383798869772167,
2023-11-18 19:00:00,0.14093,0.14533,0.14056,0.14424,101341316,14489271.32106,71708,51825072,7412352.54694,,KAS-USDT,0.141482989292343,0.1418815193493774,
