本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-05-24 12:00:00,0.007328,0.007503,0.006887,0.007022,703822652,5079076.567348,27819,339962757,2452871.581158,-0.0004270462633452,KEY-USDT,0.0073599342932846,0.0073976768442683,
2023-05-24 13:00:00,0.007031,0.007124,0.006516,0.006769,358083710,2459423.680121,15775,157024373,1080563.299037,-0.0004430005906674,KEY-USDT,0.007029590950639,0.0070725414249127,
2023-05-24 14:00:00,0.006768,0.006968,0.006617,0.0069,309478134,2108350.448311,16253,166218373,1133289.589979,-0.0018805149717923,KEY-USDT,0.006751805612637,0.0067286792191307,
2023-05-24 15:00:00,0.006904,0.007039,0.0067,0.006777,265869194,1831460.287182,13536,123035704,848586.499826,-0.0001475361463558,KEY-USDT,0.0068984141098749,0.0068827327580984,
2023-05-24 16:00:00,0.006777,0.006826,0.006601,0.006822,172077097,1154233.171037,9226,78561803,527150.529681,-0.001463700234192,KEY-USDT,0.0067658953712905,0.0067507262198119,-2.529e-05
2023-05-24 17:00:00,0.006822,0.006859,0.006684,0.006802,84093122,570200.999416,4605,39119776,265396.6367,-0.0008813160987073,KEY-USDT,0.0068052233891807,0.0067737895414083,
2023-05-24 18:00:00,0.006802,0.006825,0.00656,0.006569,109799427,730560.561,6145,42576856,283345.561254,-0.0009125475285171,KEY-USDT,0.0067946338607735,0.0068098044915208,
2023-05-24 19:00:00,0.006577,0.006711,0.0065,0.006652,119310484,788336.263507,6915,62833988,415765.533458,-0.0010512088902238,KEY-USDT,0.0065751283256079,0.0065943164139517,
2023-05-24 20:00:00,0.006658,0.00685,0.006652,0.006842,82837245,561022.212836,4387,49896022,337886.114952,-0.0010220470141626,KEY-USDT,0.0066656609396494,0.0066913237941529,
2023-05-24 21:00:00,0.006843,0.006849,0.006713,0.006744,54060850,366696.573935,3115,17185763,116558.69826,-0.0002964719833976,KEY-USDT,0.0068438616975286,0.0068444391606896,
2023-05-24 22:00:00,0.006744,0.006778,0.006668,0.006752,38496688,258554.658451,2659,20696871,139078.194365,-0.0011834319526627,KEY-USDT,0.0067415884611131,0.006734268999396,
2023-05-24 23:00:00,0.006753,0.006869,0.006717,0.006724,64340619,436424.815704,2975,26992372,183234.082977,-0.0007430524595035,KEY-USDT,0.0067519668870521,0.0067733371357925,
2023-05-25 00:00:00,0.00673,0.006774,0.006409,0.00643,151162433,988520.067435,7393,55040298,359480.862249,-0.0013977325671689,KEY-USDT,0.0067229049047465,0.0067400102063218,0.0001
2023-05-25 01:00:00,0.00643,0.006984,0.006268,0.006882,395688018,2607225.8388710003,16061,205001139,1353131.023928,0.0001453277139951,KEY-USDT,0.0064309586031894,0.0064645868432169,
2023-05-25 02:00:00,0.006878,0.007,0.006794,0.006822,291159484,2007108.011843,12870,143240392,987934.695334,-0.0002930832356389,KEY-USDT,0.0069297654035306,0.0069221828319296,
2023-05-25 03:00:00,0.006822,0.007,0.006739,0.006778,233199302,1598462.299084,10214,121284487,831764.419693,0.0001475579164822,KEY-USDT,0.0068676768143886,0.006938717060461,
2023-05-25 04:00:00,0.006773,0.006788,0.006657,0.006669,155602221,1045315.700052,7342,78249038,525689.134086,-0.0004496402877698,KEY-USDT,0.0067497901075213,0.0067234792581792,
2023-05-25 05:00:00,0.006669,0.006726,0.006595,0.006597,103492649,688545.168103,4876,51406121,342219.014085,-0.0016646489104116,KEY-USDT,0.0066886110742809,0.0067063904549843,
2023-05-25 06:00:00,0.006597,0.006748,0.006589,0.006696,190898701,1273513.915401,8724,111777998,746057.807892,-0.0029779630732579,KEY-USDT,0.0066159316162724,0.0066386842663924,
2023-05-25 07:00:00,0.006697,0.006697,0.0065,0.006583,198424313,1308559.648709,7658,92146716,607533.55669,-0.0013652912621358,KEY-USDT,0.0066680730087746,0.0066424008077614,
2023-05-25 08:00:00,0.006582,0.006679,0.006501,0.006582,145724771,959857.6446,5540,74379961,489766.50444,-0.0019711902956784,KEY-USDT,0.0065338825711828,0.0065515512036765,-0.00051419
2023-05-25 09:00:00,0.006582,0.006675,0.006541,0.006612,139084717,918825.381535,5429,75130072,496465.93485,-0.0027149321266968,KEY-USDT,0.0065870514451596,0.0065878852306582,
2023-05-25 10:00:00,0.006612,0.006619,0.006487,0.006525,125900501,825260.189263,5078,53739694,352460.530795,-0.0013774104683195,KEY-USDT,0.0066046088495698,0.0065849120472361,
2023-05-25 11:00:00,0.006529,0.006622,0.006464,0.0065,236368209,1543956.20493,7729,106986739,699050.314492,-0.0013827008757105,KEY-USDT,0.0065855524567338,0.00658079146015,
2023-05-25 12:00:00,0.006501,0.006662,0.0065,0.006558,230850932,1522545.525175,6867,105032057,692690.88966,-0.0007618467164407,KEY-USDT,0.0065306045969712,0.0065655534808599,
2023-05-25 13:00:00,0.006557,0.006563,0.00641,0.006446,154640981,1005110.62896,4684,70793120,460437.752718,-0.001239541369693,KEY-USDT,0.0065288537206674,0.00651146130438,
2023-05-25 14:00:00,0.006446,0.00649,0.006396,0.006457,102955977,662806.093191,4344,50518543,325449.790593,-0.00139189607176,KEY-USDT,0.0064499429267164,0.0064651014066256,
2023-05-25 15:00:00,0.006453,0.006453,0.006247,0.006275,219302090,1389979.248175,7558,94077588,596371.620439,-0.0019087004930808,KEY-USDT,0.0064315209298868,0.0064085687409563,
2023-05-25 16:00:00,0.006281,0.0064,0.006271,0.006308,167124686,1058584.80861,6620,71326913,451916.141011,-0.0006337135614701,KEY-USDT,0.0062990057650574,0.0063471609706028,-0.00051135
2023-05-25 17:00:00,0.006308,0.006407,0.006256,0.006373,144309479,912083.163275,5104,76360920,483014.701968,0.0001569365976146,KEY-USDT,0.0063090131088997,0.0063008027565885,
2023-05-25 18:00:00,0.006374,0.006589,0.006349,0.006553,248565336,1607781.830549,9210,142496528,921428.6293,-0.001219326322207,KEY-USDT,0.0063747419920697,0.0063867576008968,
2023-05-25 19:00:00,0.006553,0.006834,0.006527,0.006806,279005171,1866760.396679,11041,142309440,952676.482076,-0.0030760216786288,KEY-USDT,0.0065450446909595,0.0065527605461822,
2023-05-25 20:00:00,0.006814,0.006896,0.006652,0.006842,319659814,2172200.156901,12283,152864743,1038962.507817,0.0004386606228981,KEY-USDT,0.0067057706704685,0.0066951861272951,
2023-05-25 21:00:00,0.006842,0.00688,0.006703,0.006876,220605474,1500028.590122,9460,111041979,755215.850671,0.0,KEY-USDT,0.0068562035987238,0.0068511945802596,
2023-05-25 22:00:00,0.006876,0.007166,0.006851,0.006949,765673703,5383825.787473,28363,411717560,2895104.942674,-0.0004315304948215,KEY-USDT,0.0068588041013075,0.0068753822559826,
2023-05-25 23:00:00,0.00695,0.006992,0.006782,0.006842,415775250,2868152.183708,14848,201324443,1389176.870305,0.0,KEY-USDT,0.0069719819136089,0.0069360469808964,
2023-05-26 00:00:00,0.006842,0.006932,0.006746,0.006746,274608129,1881469.414034,8570,124573357,854089.726391,-0.0011844832691737,KEY-USDT,0.0068946241925841,0.0068607191301928,0.0001
2023-05-26 01:00:00,0.006746,0.007181,0.006746,0.006946,929402852,6518242.148852,28051,471832552,3311174.612847,0.0014417531718569,KEY-USDT,0.006791073238098,0.0068186348652713,
2023-05-26 02:00:00,0.006945,0.006947,0.006576,0.006613,509228461,3455652.244922,18417,225707279,1533413.138047,-0.0010574018126888,KEY-USDT,0.0068997661689944,0.0068624802261504,
2023-05-26 03:00:00,0.006613,0.006806,0.006613,0.006698,209476897,1407767.650492,7448,97126256,652048.587991,-0.000447694373974,KEY-USDT,0.006688266271013,0.0066841595364801,
2023-05-26 04:00:00,0.006699,0.006802,0.00662,0.006626,181411768,1215548.463904,5896,83841211,562158.286648,-0.000603318250377,KEY-USDT,0.0067668464137571,0.0067650588690275,
2023-05-26 05:00:00,0.006633,0.006673,0.00646,0.006491,190847766,1251815.177264,6494,81943168,537888.197148,-0.0007697044334975,KEY-USDT,0.0066568845539763,0.0066559800146856,
2023-05-26 06:00:00,0.006491,0.006523,0.006443,0.006499,117905898,763974.877275,4589,59690553,386711.460748,-0.0015363343063451,KEY-USDT,0.006508500265358,0.0065073573125577,
2023-05-26 07:00:00,0.006502,0.006505,0.006424,0.006466,141853542,916459.562738,4845,68600489,443383.752863,0.0,KEY-USDT,0.0064975984616902,0.0064883711087337,
2023-05-26 08:00:00,0.006466,0.006479,0.006368,0.00641,154537096,992301.828093,5284,73675637,473260.418054,-0.0007794232268121,KEY-USDT,0.0064549550929587,0.0064673455699572,-0.00013776
2023-05-26 09:00:00,0.00641,0.006441,0.006351,0.006379,152360836,973480.519707,5886,78977427,504541.395326,-0.0012525442304681,KEY-USDT,0.0064059928150261,0.006390459116366,
2023-05-26 10:00:00,0.00638,0.00648,0.006365,0.006438,153410016,986008.219944,5853,93639229,601916.17798,-0.0034055727554178,KEY-USDT,0.0063740142759849,0.0063768940022843,
2023-05-26 11:00:00,0.006438,0.006452,0.006362,0.006369,99109002,635008.38844,4347,47904979,307082.18194,-0.0015676438313215,KEY-USDT,0.0064204054060951,0.0064008428951181,
2023-05-26 12:00:00,0.006365,0.0064,0.006317,0.006357,105542175,671764.788835,4784,43949269,279928.85209,-0.0015705983979896,KEY-USDT,0.0063802370526006,0.0063756914941167,
2023-05-26 13:00:00,0.006357,0.006489,0.006348,0.006456,146533345,939706.599107,6286,88532408,568216.315855,-0.0038574294090417,KEY-USDT,0.0063567748324227,0.0063651476413133,
2023-05-26 14:00:00,0.006459,0.006469,0.006379,0.00638,178285646,1145221.326412,6546,78154388,502186.729215,-0.0015649452269169,KEY-USDT,0.0064310347775936,0.0064312935849519,
2023-05-26 15:00:00,0.00638,0.006434,0.00638,0.006394,110178877,705918.538192,4099,55586712,356161.917511,-0.0023404587299109,KEY-USDT,0.0063962738484869,0.0063964837621969,
2023-05-26 16:00:00,0.006394,0.0064,0.00636,0.00639,80822013,515656.795505,3253,39838076,254183.151215,-0.0020302982976729,KEY-USDT,0.0063823041883544,0.0063786547914148,-0.00059953
2023-05-26 17:00:00,0.006386,0.006395,0.00627,0.006295,106869028,676742.370152,4269,38737801,245675.903172,-0.0009522298047929,KEY-USDT,0.0063793120094435,0.0063805403610584,
2023-05-26 18:00:00,0.006298,0.00634,0.006259,0.006313,83207104,523836.228756,3945,40716833,256438.990228,-0.0006332119677061,KEY-USDT,0.0062865246037196,0.0062723356701648,
2023-05-26 19:00:00,0.006314,0.00634,0.006304,0.006339,53466500,338276.992082,2564,24363390,154157.651644,-0.0009456264775413,KEY-USDT,0.006324412215957,0.0063240032897838,
2023-05-26 20:00:00,0.006338,0.00635,0.006317,0.006344,55666119,352744.878315,2998,28154001,178403.634314,-0.0006301197227474,KEY-USDT,0.0063302673654195,0.006327298166231,
2023-05-26 21:00:00,0.006343,0.006346,0.006284,0.006326,77199126,487529.677567,3402,35572526,224623.617894,-0.0007897646501342,KEY-USDT,0.0063372322891664,0.0063415195592171,
2023-05-26 22:00:00,0.006326,0.006345,0.006283,0.006293,99165174,626643.815692,4032,44347020,280259.377485,-0.0009525321479599,KEY-USDT,0.0062940236338066,0.0062951396000098,
2023-05-26 23:00:00,0.006289,0.006317,0.006273,0.006286,108742798,684688.357305,3925,49903947,314246.428997,-0.0009535918626827,KEY-USDT,0.0062780649528101,0.0062919343656839,
2023-05-27 00:00:00,0.006285,0.006292,0.00621,0.00627,206284881,1291422.968055,6352,89941098,563167.8520750001,-0.0012742911755334,KEY-USDT,0.0062704448504194,0.0062683545387832,-3.135e-05
2023-05-27 01:00:00,0.006269,0.0063,0.006215,0.006299,168541928,1054153.160507,4552,83570380,522632.093876,-0.0012684319010622,KEY-USDT,0.0062612033773337,0.0062659896018499,
