本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-09-22 12:00:00,1.802,1.979,1.802,1.912,577541,1101052.594,6109,292624,558476.798,-0.0005227391531625,LDO-USDT,1.9026874664585065,1.899933843781626,
2022-09-22 13:00:00,1.912,1.917,1.812,1.825,502120,936575.723,4395,221354,412563.121,-0.0010946907498631,LDO-USDT,1.9146342136381551,1.908757209706076,
2022-09-22 14:00:00,1.826,1.861,1.806,1.816,354054,651631.578,4731,172079,317065.006,-0.001100110011001,LDO-USDT,1.8294716671229128,1.8322769130502,
2022-09-22 15:00:00,1.816,1.835,1.793,1.824,291906,529293.406,5102,149558,271275.777,-0.0010952902519167,LDO-USDT,1.813597701149425,1.812792789652908,
2022-09-22 16:00:00,1.824,1.828,1.768,1.772,318129,569339.781,5417,125946,225529.533,-0.0011273957158962,LDO-USDT,1.824853310980721,1.823478096203035,0.0001
2022-09-22 17:00:00,1.772,1.779,1.735,1.754,343745,604102.516,5833,152768,268575.237,-0.0028425241614553,LDO-USDT,1.7756493804497475,1.7721362366311886,
2022-09-22 18:00:00,1.755,1.777,1.724,1.767,485616,851080.001,5330,255707,448795.0,-0.0005656108597286,LDO-USDT,1.755432493631475,1.7492447769036443,
2022-09-22 19:00:00,1.766,1.803,1.762,1.773,359585,640931.393,3970,174960,311839.773,-0.0011267605633802,LDO-USDT,1.7671364522417154,1.766439735722113,
2022-09-22 20:00:00,1.774,1.787,1.766,1.775,188941,335573.234,1668,68609,121929.52,-0.0022484541877458,LDO-USDT,1.7775296535525542,1.780305774628355,
2022-09-22 21:00:00,1.775,1.792,1.768,1.771,92291,164196.398,860,39483,70340.355,-0.0005643340857788,LDO-USDT,1.777606495149726,1.7824396467527772,
2022-09-22 22:00:00,1.771,1.82,1.76,1.8,245003,439880.547,2230,113099,203031.12,0.0005558643690939,LDO-USDT,1.7686574162679427,1.7657175124940914,
2022-09-22 23:00:00,1.798,1.836,1.79,1.794,136823,247114.088,1779,57851,104578.216,-0.0011135857461024,LDO-USDT,1.7978232323232324,1.8015398489974277,
2022-09-23 00:00:00,1.794,1.836,1.792,1.793,193248,350545.693,1743,95188,172915.504,-0.0005574136008918,LDO-USDT,1.793406604402935,1.8008496129464675,0.0001
2022-09-23 01:00:00,1.793,1.815,1.771,1.805,190916,342445.364,1935,93286,167653.55,0.0,LDO-USDT,1.7949392324093816,1.8011653752376635,
2022-09-23 02:00:00,1.805,1.809,1.788,1.793,115967,208767.219,1263,58347,105099.173,-0.0005574136008918,LDO-USDT,1.807281058532134,1.804796366751895,
2022-09-23 03:00:00,1.793,1.829,1.793,1.817,250109,453349.749,2285,89658,162381.901,0.0,LDO-USDT,1.798197819814043,1.79813788561077,
2022-09-23 04:00:00,1.816,1.828,1.791,1.815,257749,466405.299,2162,129134,233844.318,0.0,LDO-USDT,1.8177337295690936,1.8164152201612365,
2022-09-23 05:00:00,1.816,1.838,1.807,1.815,285842,521171.452,2276,149612,272949.53,-0.0005506607929516,LDO-USDT,1.814481868898187,1.8143409757177584,
2022-09-23 06:00:00,1.815,1.83,1.795,1.826,271019,491375.956,2214,120417,218561.488,-0.0010940919037198,LDO-USDT,1.817658489964957,1.8182002611337509,
2022-09-23 07:00:00,1.829,1.829,1.779,1.781,240554,432399.563,2151,70105,126255.408,-0.0011217049915872,LDO-USDT,1.8166896174863387,1.81140739131136,
2022-09-23 08:00:00,1.782,1.802,1.729,1.759,553744,974635.197,3611,190537,336493.667,-0.0011357183418512,LDO-USDT,1.7815064402810306,1.7880241835161634,0.0001
2022-09-23 09:00:00,1.757,1.77,1.741,1.761,203064,356338.181,1840,114434,200798.451,-0.0011344299489506,LDO-USDT,1.7570577793247475,1.7582026599547464,
2022-09-23 10:00:00,1.761,1.763,1.723,1.734,169881,295985.23,1709,52130,91080.598,-0.0011520737327188,LDO-USDT,1.7594315721441265,1.7583103198609795,
2022-09-23 11:00:00,1.732,1.736,1.708,1.72,259835,447192.494,2651,111509,192128.647,-0.0011614401858304,LDO-USDT,1.7329221196306703,1.7296720130546206,
2022-09-23 12:00:00,1.72,1.75,1.716,1.737,315388,547465.027,3220,156333,271506.122,-0.0017241379310344,LDO-USDT,1.7199612403100777,1.7214828912064888,
2022-09-23 13:00:00,1.736,1.766,1.711,1.716,369616,643830.652,3378,182537,318104.562,0.0005830903790087,LDO-USDT,1.7345935903390617,1.737861161650402,
2022-09-23 14:00:00,1.716,1.734,1.702,1.705,402878,691336.55,3615,182410,313347.04,-0.0005861664712777,LDO-USDT,1.71983475256078,1.714151423709152,
2022-09-23 15:00:00,1.703,1.746,1.693,1.73,454204,780209.914,3571,202277,347815.348,0.0,LDO-USDT,1.7056191065815791,1.7021128477302494,
2022-09-23 16:00:00,1.729,1.741,1.713,1.734,170395,294266.224,1856,67864,117219.502,-0.0017271157167531,LDO-USDT,1.7304450408997956,1.7283887466903192,-0.00014657
2022-09-23 17:00:00,1.736,1.746,1.709,1.726,195077,336348.824,2225,45985,79471.213,-0.0005790387955993,LDO-USDT,1.7345860409145608,1.7354912838106875,
2022-09-23 18:00:00,1.724,1.742,1.692,1.705,333881,571532.059,3529,131755,226201.635,0.0,LDO-USDT,1.7210225908930463,1.7195886978761163,
