本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-03-12 08:00:00,128.31,128.94,123.13,128.16,5985.46,765063.8999,3555,3109.54,397732.1088,0.0004683840749415,METIS-USDT,125.27262109375,125.27262109375,0.0001
2024-03-12 09:00:00,128.16,133.14,127.65,130.99,35297.59,4634327.9952,16694,18757.63,2463474.1157,0.0022955084551228,METIS-USDT,128.30153924093383,128.15156584143386,
2024-03-12 10:00:00,131.0,135.69,130.91,132.17,39761.91,5290944.1939,20725,21317.81,2837345.524,0.0013637396772481,METIS-USDT,131.19191549488363,132.00581412631567,
2024-03-12 11:00:00,132.18,132.34,129.75,130.9,17335.93,2266837.4129,10091,6846.04,895672.402,0.0009941117993423,METIS-USDT,132.19102878344953,131.51008128054417,
2024-03-12 12:00:00,130.96,131.75,127.42,131.01,22299.73,2902020.7251,12348,10274.01,1338379.9013,0.0019885277246654,METIS-USDT,130.96926969012267,130.4330476868168,0.000477
2024-03-12 13:00:00,131.01,133.3,130.22,132.19,15607.3,2056877.6529,9574,8144.03,1073519.3633,0.0014393939393939,METIS-USDT,131.0644220325834,131.2267541375378,
2024-03-12 14:00:00,132.22,133.21,129.2,129.3,11952.97,1562408.7515,7413,5697.96,745132.5011,0.0019372336303757,METIS-USDT,132.06720239367385,132.18631916041016,
2024-03-12 15:00:00,129.29,131.88,128.51,130.2,11126.79,1452575.7371,7873,5708.43,745518.3633,0.0020780420226274,METIS-USDT,128.91408391885508,129.30515422954466,
2024-03-12 16:00:00,130.25,131.17,127.02,128.56,15205.18,1966834.4982,10605,7202.48,932515.719,0.00116813332295,METIS-USDT,130.58323736780258,130.64922465745732,0.00056486
2024-03-12 17:00:00,128.6,128.92,121.26,128.32,26661.88,3363225.0198,18664,11731.35,1481008.8966,0.0024999999999999,METIS-USDT,128.61120954425363,128.32939591806286,
2024-03-12 18:00:00,128.32,129.69,127.25,128.16,9027.06,1160892.9782,6156,3771.53,485465.0582,0.0021111893033074,METIS-USDT,128.44513403683555,128.2473239325001,
2024-03-12 19:00:00,128.16,129.7,127.63,129.28,4974.07,641995.7088,2815,2542.75,328285.7981,0.0015494267121163,METIS-USDT,128.12420512820512,128.02282854595094,
2024-03-12 20:00:00,129.28,132.5,126.7,128.65,14184.08,1833800.641,6946,7706.389999999999,999072.5773,0.0018690133167198,METIS-USDT,130.4267918550623,129.1730078192661,0.00048703
2024-03-12 21:00:00,128.65,130.31,128.33,129.46,5004.93,647370.5453,3661,2477.48,320557.5654,0.0010051805458903,METIS-USDT,128.52262582056892,128.8691038503011,
2024-03-12 22:00:00,129.48,131.15,129.32,130.16,3616.83,471239.1665,2312,1872.48,244136.3955,0.0011537574032767,METIS-USDT,129.4155446708464,129.65811013875447,
2024-03-12 23:00:00,130.16,131.93,129.43,131.58,5139.9,673078.3217,3718,2228.34,291973.6093,0.0016747868453106,METIS-USDT,130.09431305536566,129.96984794817894,
2024-03-13 00:00:00,131.65,133.98,130.22,131.0,11506.82,1520219.2745,6353,5499.44,727477.0231,0.0009168704156479,METIS-USDT,131.65437670609646,131.6017173753767,0.00055891
2024-03-13 01:00:00,131.0,131.01,129.14,130.57,6794.62,884141.0757,4585,2892.97,376650.7564,0.0022259748234572,METIS-USDT,130.91403831141537,130.57633613764395,
2024-03-13 02:00:00,130.57,130.57,129.31,130.15,3856.59,500815.6133,2906,1937.4,251628.7611,0.0016932194258447,METIS-USDT,130.4470360635054,130.07728334740233,
2024-03-13 03:00:00,130.13,132.17,129.98,130.79,5835.99,764770.3642000001,4028,3158.77,414354.7033,0.0005354957160341,METIS-USDT,130.0658272687418,130.31256242670935,
2024-03-13 04:00:00,130.75,131.04,129.45,129.95,2777.7,361517.7273,2981,990.72,129023.8537,0.0012327606132984,METIS-USDT,130.95360706130336,130.8890010586654,0.00047906
2024-03-13 05:00:00,130.0,132.5,129.15,132.33,6178.18,807741.913,4641,3932.81,514740.2042,0.0012863196125909,METIS-USDT,130.0060737656157,129.92689354195323,
2024-03-13 06:00:00,132.33,140.42,131.33,137.61,46475.78,6359328.2679,26825,23317.48,3190352.0205,0.0012369033760186,METIS-USDT,132.1480117191739,132.00938512809094,
2024-03-13 07:00:00,137.69,137.9,132.88,134.04,20451.46,2773692.2761,16144,8482.43,1151385.6253,0.0015691548980047,METIS-USDT,137.40510075851918,136.73874494935222,
2024-03-13 08:00:00,134.04,136.47,133.07,134.58,10210.35,1376389.5954,9477,5051.13,681550.4472,0.001264786846217,METIS-USDT,133.94588232607006,133.63441919356472,0.00057221
2024-03-13 09:00:00,134.53,136.25,132.71,133.08,10970.68,1476135.3627,8882,4777.64,644125.4788,0.0023348648037959,METIS-USDT,134.7973599744925,135.20568861185353,
2024-03-13 10:00:00,133.12,133.26,130.55,132.08,14413.25,1901997.2894,9479,5503.59,726984.8007,0.0013646702047005,METIS-USDT,133.12969284531908,132.70123981883597,
2024-03-13 11:00:00,132.08,133.26,131.47,132.89,5514.5,730422.5789,5855,3040.49,402903.6759,0.0020358920223193,METIS-USDT,132.03318445351084,132.01987013753927,
2024-03-13 12:00:00,132.89,133.77,130.6,131.1,12452.0,1644938.7227,10230,5381.25,711619.0721,0.0019105846388995,METIS-USDT,132.98335707502375,133.12295803562222,0.00068549
2024-03-13 13:00:00,131.14,132.05,128.0,129.12,17388.53,2258781.0446,12720,7421.17,964527.5806,0.0012406947890819,METIS-USDT,131.64379319869866,131.4297099941752,
2024-03-13 14:00:00,129.09,140.0,129.09,136.66,39597.72,5364986.4992,27498,20010.29,2708024.7033,0.0013188745603751,METIS-USDT,129.35691770222743,130.03749071022898,
2024-03-13 15:00:00,136.75,137.62,132.24,132.35,19745.58,2661355.8263,15930,8333.76,1123830.7905,0.0016650268674789,METIS-USDT,137.07267785096363,136.38722802888117,
2024-03-13 16:00:00,132.38,135.2,132.09,133.65,10801.67,1443038.7348,10556,5963.93,796862.3911,0.0017238794783391,METIS-USDT,132.7217173808045,132.70297488560956,0.00057546
2024-03-13 17:00:00,133.67,133.88,131.4,132.57,7847.13,1039855.4342,7913,3941.85,522703.4691,0.0012839879154078,METIS-USDT,133.63258894536213,133.5653347814387,
2024-03-13 18:00:00,132.58,132.88,130.52,132.07,7224.47,952662.4159,7144,3267.64,431222.6788,0.0009094353921941,METIS-USDT,132.19898365316277,131.84864203784812,
2024-03-13 19:00:00,132.1,132.28,130.08,130.19,6646.51,869763.5621,6547,2382.87,311896.4181,0.0017697753154815,METIS-USDT,132.24021475492674,131.83818244901062,
2024-03-13 20:00:00,130.2,131.7,130.2,130.79,5211.1,682026.8982,5278,2657.27,347828.752,0.0018383761011104,METIS-USDT,130.38358792020688,130.41909911716556,0.00056273
2024-03-13 21:00:00,130.78,132.12,130.5,131.77,4106.51,539909.0946,4115,2237.56,294387.9273,0.0021294395011026,METIS-USDT,130.85604479650368,131.2265289395657,
2024-03-13 22:00:00,131.8,132.19,131.15,132.19,3743.42,492994.3123,4023,1776.36,234044.2141,0.0014393939393939,METIS-USDT,131.79998317914212,131.7930562495342,
2024-03-13 23:00:00,132.19,133.81,131.91,133.67,5469.02,727746.4096,5964,3140.48,418166.3904,0.0011234272019171,METIS-USDT,132.21791076740035,132.2696962600424,
2024-03-14 00:00:00,133.68,135.56,132.77,135.51,8983.31,1207124.4642,9904,4396.3,591013.6742,0.0012560957588294,METIS-USDT,133.72144659480645,133.5546313379829,0.00062906
2024-03-14 01:00:00,135.5,135.89,133.16,135.2,10734.24,1446879.6904,10756,5431.97,732414.7661,0.0014814814814814,METIS-USDT,135.41002427891618,134.9440556434404,
2024-03-14 02:00:00,135.2,136.1,133.4,133.61,6925.05,933951.6811,6874,3197.23,431530.4872,0.0017243964612387,METIS-USDT,135.0844086773968,134.7082881279025,
2024-03-14 03:00:00,133.56,133.95,131.58,132.43,6079.11,804804.55,6527,2444.22,323532.8945,0.0021188043889519,METIS-USDT,133.78340501792115,133.56013566542805,
2024-03-14 04:00:00,132.43,132.64,131.01,131.17,7639.99,1007662.5691,9485,3751.21,494858.6343,0.0012212808182581,METIS-USDT,132.41932859729766,132.37401764362784,0.0006784
2024-03-14 05:00:00,131.17,132.68,130.06,132.22,12263.68,1609106.0187,11989,6445.72,846758.5592,0.0011357613386839,METIS-USDT,131.17654205607477,131.3784176840441,
2024-03-14 06:00:00,132.2,132.84,130.56,130.82,6983.08,919834.7691,5740,3060.28,403664.2038,0.0021449364179562,METIS-USDT,132.23837554585154,132.17690363264538,
2024-03-14 07:00:00,130.82,130.82,128.26,128.86,11996.96,1551920.7797,10020,5071.99,655961.0311,0.001788074321698,METIS-USDT,130.70850575973668,130.02623184092647,
2024-03-14 08:00:00,128.9,130.16,128.58,129.7,4528.94,586366.1619,4820,2219.58,287492.684,0.0011578541103818,METIS-USDT,128.9404104725982,129.008038210434,0.0007226
2024-03-14 09:00:00,129.71,130.9,129.65,130.38,4323.54,563240.303,5125,2520.18,328237.2855,0.0011518083390924,METIS-USDT,129.71591370010788,129.84471622853684,
2024-03-14 10:00:00,130.4,130.53,128.0,128.43,5589.54,722788.1315,4869,2389.27,309196.0165,0.0007792410192473,METIS-USDT,130.3803481812877,130.40386932555754,
2024-03-14 11:00:00,128.45,128.66,126.4,127.53,9896.42,1259357.056,8047,4182.48,532060.8283,0.0018854584020739,METIS-USDT,128.4067911412868,128.3482914510179,
2024-03-14 12:00:00,127.53,127.77,125.22,127.07,10590.74,1338830.7431,8601,5114.09,647245.4527,0.002287427038965,METIS-USDT,127.54267439188524,127.52111908377324,0.00072967
2024-03-14 13:00:00,127.08,127.29,121.8,123.48,18789.36,2332849.9278,14201,7385.24,916827.3788,0.0011350737797957,METIS-USDT,126.90679315082971,126.83575444467616,
