本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-02-07 11:00:00,0.8274,0.8616,0.819,0.8586,3436178,2907032.7739,16538,1572044,1330825.4634,0.0018669778296382,MINA-USDT,0.8350787208969009,0.8355818356175415,
2023-02-07 12:00:00,0.8586,0.8616,0.8268,0.8461,2380999,2010060.3348,12349,953442,805472.0095,0.0024881516587678,MINA-USDT,0.8578851253208581,0.8545208855990831,
2023-02-07 13:00:00,0.8454,0.8547,0.8349,0.84,1375849,1161530.6054,7465,517705,437964.7767,0.0011918951132301,MINA-USDT,0.8463763848977154,0.8482090078362126,
2023-02-07 14:00:00,0.8402,0.8423,0.8232,0.8268,1368819,1139833.6375,7309,513062,427845.6663,-0.000241837968561,MINA-USDT,0.8409240940355199,0.8401219575040594,
2023-02-07 15:00:00,0.8268,0.8353,0.8199,0.8202,1110069,917998.475,5873,404526,334962.5692,0.0039167686658507,MINA-USDT,0.826228856648476,0.8277641873733194,
2023-02-07 16:00:00,0.8207,0.8313,0.8102,0.8277,1357740,1115032.0141,6457,555538,456701.0707,-0.0003623188405796,MINA-USDT,0.820269341612929,0.818374109417498,0.00032636
2023-02-07 17:00:00,0.8274,0.8504,0.818,0.8476,1270917,1060451.324,5911,569426,475811.7731,0.0007083825265643,MINA-USDT,0.8282161870750635,0.8303213251589682,
2023-02-07 18:00:00,0.8478,0.8599,0.8102,0.83,2407354,2001776.0482,8834,1005013,836920.1438,0.002415458937198,MINA-USDT,0.8484669897779344,0.8522198048318709,
2023-02-07 19:00:00,0.8301,0.8525,0.8279,0.8512,1438771,1217011.7838,7500,673553,569564.5761,0.0025912838633685,MINA-USDT,0.8297245063348933,0.8337149588738232,
2023-02-07 20:00:00,0.8511,0.8789,0.8414,0.8654,1695433,1458107.6495,9339,832021,715314.9614,0.0016203703703703,MINA-USDT,0.8521857012950361,0.8503997498544841,
2023-02-07 21:00:00,0.8656,0.8753,0.8512,0.8543,1057597,911913.8947,5760,394160,339975.85730000003,0.0003512880562059,MINA-USDT,0.8656176420647498,0.8681820090470481,
2023-02-07 22:00:00,0.8547,0.8776,0.8436,0.8625,1712061,1473142.8211,7315,840898,724260.9219,0.0017421602787457,MINA-USDT,0.8557603475023271,0.8537867957300523,
2023-02-07 23:00:00,0.8625,0.8694,0.8527,0.8632,1079226,928356.929,5744,542294,466672.1777,0.0013921113689094,MINA-USDT,0.8638009717021378,0.8663687411195887,
