本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-12-26 12:00:00,32.112,34.08,32.112,33.932,210564.67,6970852.07841,30579,101412.4,3358162.43581,0.0037271490268,MOVR-USDT,32.74456327725872,32.74456327725872,
2023-12-26 13:00:00,33.9,34.14,31.312,31.5,254976.38,8323757.23005,51769,115403.07,3763709.88751,-0.0005393914395405,MOVR-USDT,33.862850767057104,33.53761985495659,
2023-12-26 14:00:00,31.5,32.556,31.211,31.883,132855.47,4243952.61178,24326,70339.82,2245807.90268,0.0003451305220882,MOVR-USDT,31.464096140860168,31.596057245144607,
2023-12-26 15:00:00,31.882,32.589,31.45,31.654,105547.04,3381707.48935,20941,48760.13,1564071.08104,0.0013286093888398,MOVR-USDT,31.887246545932523,31.846251607070062,
2023-12-26 16:00:00,31.653,32.34,30.651,31.112,125123.57,3927742.66056,24137,54876.72,1723018.84432,0.0034186931561632,MOVR-USDT,31.810769194936416,31.857610685794597,5e-05
2023-12-26 17:00:00,31.112,31.336,27.328,29.936,268408.17,7947951.88997,44155,123797.45,3669390.97426,0.0005013201430432,MOVR-USDT,31.1413820919666,31.068490093008723,
2023-12-26 18:00:00,29.92,30.605,29.054,30.321,132742.53,3965040.97828,22753,66096.41,1976061.19134,0.0014201730629501,MOVR-USDT,29.759544577817188,30.069244315955046,
2023-12-26 19:00:00,30.326,30.599,29.135,29.551,76458.78,2285360.40517,13264,34914.8,1044135.39967,0.0005417301506687,MOVR-USDT,30.260610978316542,30.026783095601672,
2023-12-26 20:00:00,29.551,29.94,29.036,29.205,54311.2,1601744.9317,11355,26565.25,784276.91025,0.0021962183864658,MOVR-USDT,29.5684082647585,29.62038591693004,0.00017306
2023-12-26 21:00:00,29.248,29.42,28.273,28.869,99211.69,2864900.95427,16248,46064.71,1330752.13825,0.0009014318898865,MOVR-USDT,29.23953965751642,28.98427050319386,
2023-12-26 22:00:00,28.837,29.9,28.671,29.431,71578.54,2098924.21634,12286,37619.73,1104688.93403,-0.0005094070501936,MOVR-USDT,29.013721832576397,29.017171859055896,
2023-12-26 23:00:00,29.412,29.579,28.756,29.172,42358.51,1235154.53604,6502,18804.39,548415.53306,0.0026120428924938,MOVR-USDT,29.48503381558569,29.478906657115846,
2023-12-27 00:00:00,29.195,29.466,28.207,28.381,47853.46,1375456.86871,7835,21272.53,611872.53074,0.0004582628313594,MOVR-USDT,29.32185394053192,29.304260415345443,0.00022326
2023-12-27 01:00:00,28.391,29.189,27.744,28.823,90295.14,2560109.63915,14115,43969.25,1248586.45913,0.0003817853672081,MOVR-USDT,28.45825834110533,28.509051466266413,
2023-12-27 02:00:00,28.825,29.75,28.503,28.79,85898.23,2506256.20124,15666,42066.39,1228765.75579,0.0024373259052925,MOVR-USDT,29.11565784833089,29.26493716189849,
2023-12-27 03:00:00,28.799,29.192,27.909,28.626,63898.31,1822589.37013,12318,31141.3,889019.50687,0.0011541286328822,MOVR-USDT,28.806581537484615,28.936246606047444,
2023-12-27 04:00:00,28.644,30.006,28.401,29.352,111802.46,3280589.36164,19746,59017.84,1733336.77368,0.0018089354585482,MOVR-USDT,28.736299371442527,28.72188781379601,0.00055207
2023-12-27 05:00:00,29.364,29.393,28.23,28.73,72669.42,2091498.78921,16143,31714.35,912899.29501,0.0010104177554788,MOVR-USDT,29.33768034975408,29.048465907460628,
2023-12-27 06:00:00,28.73,28.75,27.865,27.968,75748.43,2140695.07972,14521,33452.71,945877.48134,0.0009663218925592,MOVR-USDT,28.63936523161573,28.589760127269425,
2023-12-27 07:00:00,27.968,28.183,27.101,27.46,162021.96,4473760.11714,25643,75619.37,2090150.79631,0.0003642987249545,MOVR-USDT,27.84745391087409,27.98341409751648,
2023-12-27 08:00:00,27.442,27.976,26.248,27.793,257085.56,6951087.95276,37468,124722.33,3374234.69042,0.001369122680598,MOVR-USDT,26.820550780969214,26.8161089757457,0.00021329
2023-12-27 09:00:00,27.793,28.0,26.7,26.934,111898.0,3076365.56915,21318,52230.27,1438372.38377,0.0009290571927609,MOVR-USDT,27.58249660106831,27.68459591581377,
2023-12-27 10:00:00,26.936,27.591,26.891,27.092,95414.84,2592674.91298,17159,47447.77,1289834.94053,0.0005170248910555,MOVR-USDT,26.995868495524864,27.030568491649547,
2023-12-27 11:00:00,27.102,27.985,26.584,26.826,179250.01,4902832.16355,29502,88352.15,2420249.97637,0.0004848394435534,MOVR-USDT,27.103842785196857,27.337920974142374,
2023-12-27 12:00:00,26.84,27.234,26.115,26.272,234110.33,6243199.00482,34395,113179.34,3021794.7587,0.0013721603903034,MOVR-USDT,26.84708865537818,26.745640124800456,5e-05
2023-12-27 13:00:00,26.27,26.63,25.59,25.982,274030.15,7145890.7020000005,39575,136150.44,3553206.22054,0.001233140655106,MOVR-USDT,26.492171773377795,26.32777250501112,
2023-12-27 14:00:00,26.004,26.313,25.3,26.249,204447.96,5287144.58722,32420,104294.37,2700511.43616,0.0018702290076335,MOVR-USDT,26.01266854825848,26.001885383043827,
2023-12-27 15:00:00,26.25,26.3,24.6,24.933,246906.36,6240998.00521,37825,114836.21,2905325.50893,0.001727601446364,MOVR-USDT,26.256938958315125,26.18298613831782,
2023-12-27 16:00:00,24.917,25.999,24.425,24.581,278259.13,7014361.76268,40875,134936.93,3404365.55698,0.0010180811207036,MOVR-USDT,25.312931984265973,25.557913329004386,0.00041971
2023-12-27 17:00:00,24.58,26.079,24.451,25.63,256614.98,6495896.09746,39417,138901.87,3515280.61167,0.0024249061326657,MOVR-USDT,24.743031661663373,24.757017950088603,
2023-12-27 18:00:00,25.613,26.153,25.0,25.814,168797.55,4321909.27088,32148,77270.81999999999,1981752.25815,0.0015908120901719,MOVR-USDT,25.5526322103925,25.513327153256835,
