本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-03-05 08:00:00,0.2748,0.30161,0.21526,0.29628,27052923,7311454.667069999,22244,11987239,3246543.52174,,MYRO-USDT,0.2514673563986064,0.2514673563986064,0.0001
2024-03-05 09:00:00,0.29764,0.30344,0.25395,0.266,40187276,11143674.34123,49945,17341647,4814500.71723,,MYRO-USDT,0.2944387533423435,0.2929384942130178,
2024-03-05 10:00:00,0.26602,0.37478,0.26355,0.36255,77526957,25245943.59887,115941,37833999,12334899.6936,,MYRO-USDT,0.2661353406652521,0.2663234155147777,
2024-03-05 11:00:00,0.36158,0.388,0.33368,0.33732,112150506,40184719.37324,186351,52035273,18661806.28264,,MYRO-USDT,0.3661506847132533,0.3745993212505075,
2024-03-05 12:00:00,0.33759,0.3918,0.33732,0.358,75884001,27472639.96797,154889,37270738,13496091.14798,,MYRO-USDT,0.3503406880104242,0.3524547709402178,0.00749045
2024-03-05 13:00:00,0.35769,0.36248,0.31357,0.32222,59030082,20084518.35067,95901,26202749,8924663.5147,,MYRO-USDT,0.3578868517927598,0.353516377566038,
2024-03-05 14:00:00,0.32222,0.3263,0.28,0.29324,73177487,22042159.11095,88325,33849900,10198256.08019,,MYRO-USDT,0.3238122705765856,0.3164123485803696,
2024-03-05 15:00:00,0.29342,0.31163,0.26408,0.29582,57212783,16576444.59679,71026,26156433,7600453.61636,,MYRO-USDT,0.2980945050422081,0.2999929286859341,
2024-03-05 16:00:00,0.29544,0.29994,0.25,0.28512,66933984,18158592.7719,86000,31869986,8669102.43266,,MYRO-USDT,0.2944476134489686,0.2874437085157662,0.0026546
2024-03-05 17:00:00,0.28476,0.307,0.255,0.30652,44208186,12278286.51233,57970,22161758,6166868.39624,,MYRO-USDT,0.2835465694892899,0.2776043504702637,
2024-03-05 18:00:00,0.30677,0.3072,0.26946,0.26962,26107621,7578486.221940001,38335,11943672,3475513.78831,,MYRO-USDT,0.3046009501834656,0.3008435645296431,
2024-03-05 19:00:00,0.26962,0.28096,0.1666,0.21426,84159763,19313342.66666,78219,37639605,8664287.78579,,MYRO-USDT,0.2692011707011378,0.2749559947920832,
2024-03-05 20:00:00,0.21343,0.30553,0.21056,0.255,109780766,28182718.77824,136506,51875097,13315938.08171,,MYRO-USDT,0.2201136203092817,0.2273624113455554,9.35e-05
