本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-05-17 03:00:00,6.723,6.931,6.607,6.763,17231.1,116881.764,835,6817.6,46387.195,,NEARBUSD,6.720940394836751,6.720940394836751,
2022-05-17 04:00:00,6.765,6.855,6.7,6.82,21646.4,146699.3192,977,5978.8,40589.0851,,NEARBUSD,6.762381014873141,6.747755588159409,
2022-05-17 05:00:00,6.818,6.879,6.705,6.844,16744.1,113666.2517,902,3206.7,21847.9436,,NEARBUSD,6.816871421134826,6.820849230446929,
2022-05-17 06:00:00,6.844,6.944,6.804,6.916,19068.6,130830.7422,809,3319.0,22810.8585,,NEARBUSD,6.842149627623562,6.8240610517712765,
2022-05-17 07:00:00,6.912,6.925,6.779,6.802,28770.2,196388.5723,1204,6817.2,46567.4373,,NEARBUSD,6.919528484068233,6.880210391476595,
2022-05-17 08:00:00,6.802,6.878,6.759,6.812,34638.3,235985.2799,1375,8628.2,58874.3235,,NEARBUSD,6.798741056910568,6.811751135163959,0.0001
2022-05-17 09:00:00,6.815,6.868,6.801,6.816,28613.5,195580.168,1077,5181.900000000001,35455.0279,,NEARBUSD,6.81525042158516,6.827283677632491,
2022-05-17 10:00:00,6.82,6.83,6.715,6.733,25424.7,172169.3127,1057,6666.5,45169.3986,,NEARBUSD,6.8258432036097005,6.807300945383018,
2022-05-17 11:00:00,6.732,6.812,6.684,6.714,28914.2,194939.1032,1207,6881.1,46465.7849,,NEARBUSD,6.737169034090909,6.746009133699317,
2022-05-17 12:00:00,6.719,6.898,6.689,6.864,43659.9,297480.5919,1497,17860.8,121779.0907,,NEARBUSD,6.735645211122555,6.72041082723764,
2022-05-17 13:00:00,6.864,6.98,6.792,6.873,56572.0,390223.7001,2100,25327.8,175126.0667,,NEARBUSD,6.86892939370683,6.85167870444973,
2022-05-17 14:00:00,6.885,6.91,6.632,6.669,70008.8,472806.0638,2766,25266.6,170629.3149,,NEARBUSD,6.863937729578449,6.8696551930834975,
2022-05-17 15:00:00,6.659,6.724,6.575,6.651,47741.6,317721.3661,2034,17990.6,119918.699,,NEARBUSD,6.6532006433453965,6.665752398740144,
2022-05-17 16:00:00,6.652,6.703,6.536,6.652,48876.9,323245.8828,2039,19672.8,130212.2257,,NEARBUSD,6.65698455882353,6.65314426891284,0.0001
2022-05-17 17:00:00,6.652,6.726,6.562,6.562,27795.9,184757.7671,1842,9954.6,66278.2485,,NEARBUSD,6.641055030384876,6.632855653593248,
2022-05-17 18:00:00,6.567,6.664,6.295,6.415,105579.6,677579.158,5698,48776.9,313216.934,,NEARBUSD,6.569358308500071,6.56376299428896,
2022-05-17 19:00:00,6.415,6.555,6.333,6.347,86542.6,558956.7086,4121,42103.0,271840.9649,,NEARBUSD,6.415958199356913,6.411862176115983,
2022-05-17 20:00:00,6.349,6.407,6.252,6.265,50888.0,323158.744,1864,16496.7,104909.1805,,NEARBUSD,6.352403768844221,6.3690356469008975,
2022-05-17 21:00:00,6.267,6.567,6.236,6.53,65679.6,421848.0354,2715,33566.5,216202.1446,,NEARBUSD,6.25269065244027,6.283867527424308,
2022-05-17 22:00:00,6.533,6.631,6.479,6.57,30734.2,201430.2129,1969,12483.6,81904.6616,,NEARBUSD,6.547617317303796,6.546544554983879,
2022-05-17 23:00:00,6.574,6.697,6.574,6.666,28817.7,191617.7396,1785,11568.5,76985.0218,,NEARBUSD,6.58870325630252,6.611410438658316,
2022-05-18 00:00:00,6.666,6.757,6.64,6.652,34254.0,229395.5796,3039,14822.4,99359.1895,,NEARBUSD,6.655948668092552,6.664578933877476,-2.4e-06
2022-05-18 01:00:00,6.652,6.663,6.519,6.564,66050.8,436231.6385,3430,23160.7,153115.3327,,NEARBUSD,6.646990703638403,6.639727136500251,
2022-05-18 02:00:00,6.564,6.658,6.564,6.643,60332.8,398786.0121,2394,26597.6,175998.2429,,NEARBUSD,6.567082654485471,6.5768984650272255,
2022-05-18 03:00:00,6.641,6.646,6.418,6.455,71019.3,462687.8455,3195,26522.3,173231.9298,,NEARBUSD,6.637726577724479,6.621542628326624,
2022-05-18 04:00:00,6.455,6.526,6.425,6.468,75877.7,490753.6871,3469,44731.8,289369.8606,,NEARBUSD,6.451599563593828,6.441490587403751,
2022-05-18 05:00:00,6.468,6.558,6.461,6.499,54578.0,355175.1586,2528,23240.6,151271.06100000002,,NEARBUSD,6.463269044740024,6.47411284827812,
2022-05-18 06:00:00,6.499,6.534,6.36,6.377,69450.6,447950.8603,1929,35615.2,229593.6723,,NEARBUSD,6.498778172001543,6.504164591743548,
2022-05-18 07:00:00,6.377,6.452,6.368,6.44,54483.3,349074.1144,1405,26628.1,170662.6833,,NEARBUSD,6.404262543238868,6.390327724455389,
2022-05-18 08:00:00,6.44,6.45,6.354,6.419,63869.1,408923.4064,1570,34950.0,223910.9365,,NEARBUSD,6.438612229801922,6.439488255858237,0.0001
2022-05-18 09:00:00,6.418,6.426,6.321,6.397,54775.8,349330.8453,1476,29623.6,189048.3829,,NEARBUSD,6.418485205647637,6.415595365363335,
2022-05-18 10:00:00,6.401,6.442,6.387,6.426,40492.9,259858.1806,1359,19310.5,123989.8209,,NEARBUSD,6.4003945164348925,6.415295487463449,
2022-05-18 11:00:00,6.43,6.448,6.351,6.366,36219.8,230907.0884,1273,16266.8,103732.2747,,NEARBUSD,6.440700463292943,6.416244805492413,
2022-05-18 12:00:00,6.366,6.388,6.204,6.226,80691.5,508780.8526,2537,33106.7,208869.3646,,NEARBUSD,6.3659872549019605,6.362852843152214,
2022-05-18 13:00:00,6.226,6.263,6.114,6.15,138770.1,857709.0946,3054,49788.2,308090.8917,,NEARBUSD,6.23065457868411,6.225247750086345,
2022-05-18 14:00:00,6.151,6.253,6.021,6.107,134431.2,825017.4234,2777,52808.8,324663.5049,,NEARBUSD,6.168703236576092,6.174637407882865,
2022-05-18 15:00:00,6.096,6.11,5.887,5.971,122543.3,733324.4879,2942,50972.5,305613.5642,,NEARBUSD,6.101736743808364,6.075248407075492,
2022-05-18 16:00:00,5.975,6.149,5.879,6.059,152632.6,918538.5251,4018,80675.4,486504.2046,,NEARBUSD,5.980498111782477,5.96186329299326,0.0001
2022-05-18 17:00:00,6.056,6.08,5.953,5.998,96335.4,579237.6262,2096,38632.7,232255.51,,NEARBUSD,6.053785516874834,6.051408594275861,
2022-05-18 18:00:00,6.005,6.114,5.96,6.091,65850.6,398326.0081,1696,33996.2,206013.772,,NEARBUSD,6.000778109452737,5.995250181348899,
2022-05-18 19:00:00,6.089,6.183,6.085,6.134,53018.4,325276.2348,1719,28907.9,177439.863,,NEARBUSD,6.101662309173122,6.1198938281536535,
2022-05-18 20:00:00,6.133,6.133,5.955,6.062,53674.7,324441.4622,1504,17581.4,106321.413,,NEARBUSD,6.12981228668942,6.115658023303942,
2022-05-18 21:00:00,6.061,6.132,6.021,6.042,36247.3,220709.8957,801,21084.0,128333.394,,NEARBUSD,6.061000000000001,6.059492925946548,
2022-05-18 22:00:00,6.046,6.156,6.031,6.07,63918.7,388601.241,1557,33657.6,204717.3145,,NEARBUSD,6.041751031516109,6.048935130451165,
2022-05-18 23:00:00,6.073,6.164,5.856,5.903,81024.8,484786.7792,2079,39759.5,238084.6187,,NEARBUSD,6.082390600924498,6.098070077172121,
2022-05-19 00:00:00,5.91,5.983,5.84,5.855,66660.2,395131.9483,2035,26656.3,158066.8746,,NEARBUSD,5.935856419137222,5.935525718382506,0.0001
2022-05-19 01:00:00,5.851,5.928,5.664,5.709,100740.4,584875.983,2199,43866.4,255405.7657,,NEARBUSD,5.847375791830494,5.865352921040734,
2022-05-19 02:00:00,5.703,5.858,5.632,5.83,137648.3,788576.8609,2762,71118.9,408321.1576,,NEARBUSD,5.719615887380593,5.716735444374737,
2022-05-19 03:00:00,5.823,5.939,5.811,5.86,95366.0,560382.8789,1935,45203.3,265778.2607,,NEARBUSD,5.8317857635694565,5.835940832475352,
2022-05-19 04:00:00,5.861,6.0,5.85,5.85,125768.4,743111.7003,1871,58083.8,343334.6327,,NEARBUSD,5.867254554785732,5.8877857694278575,
2022-05-19 05:00:00,5.859,5.886,5.738,5.75,76715.6,446880.7094,1478,36114.0,210764.181,,NEARBUSD,5.858999999999999,5.862130245518882,
2022-05-19 06:00:00,5.752,5.984,5.746,5.933,114428.6,669927.1958999999,1991,70195.0,411355.4271,,NEARBUSD,5.754565418326693,5.766926677140171,
2022-05-19 07:00:00,5.94,5.946,5.801,5.848,91879.6,539060.429,1703,41901.4,246077.0312,,NEARBUSD,5.9376968298854,5.92735222915039,
2022-05-19 08:00:00,5.849,5.852,5.615,5.618,114962.6,659166.8392,2303,44604.8,256370.8964,,NEARBUSD,5.848642997833366,5.83379440366066,0.0001
2022-05-19 09:00:00,5.616,5.669,5.542,5.643,118335.8,665725.7507,2007,60690.3,341880.1362,,NEARBUSD,5.623137715046906,5.638448939433183,
2022-05-19 10:00:00,5.643,5.738,5.571,5.725,126834.7,718508.557,3328,61172.2,346854.9516,,NEARBUSD,5.627477909654561,5.655193921964424,
2022-05-19 11:00:00,5.724,5.948,5.652,5.919,172115.9,994901.0497,3907,101962.3,589935.9818,,NEARBUSD,5.733408465298143,5.698974033258551,
2022-05-19 12:00:00,5.919,5.953,5.806,5.875,221240.3,1300548.9397,3379,95855.8,564493.6348,,NEARBUSD,5.944045993143347,5.899695825487184,
