本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-04-18 07:00:00,16.641,16.747,16.236,16.43,231.55,3817.6596,52,93.78,1553.66982,,NEOUSDC,16.641000000000002,16.641000000000002,
2024-04-18 08:00:00,16.477,16.671,16.299,16.526,1119.98,18532.7929,116,726.16,12023.6274,,NEOUSDC,16.477,16.477,
2024-04-18 09:00:00,16.555,17.049,16.541,16.966,3197.76,53577.71002,221,2429.23,40770.98524,,NEOUSDC,16.566812144212527,16.5699869013784,
2024-04-18 10:00:00,17.011,17.166,16.863,17.096,744.99,12676.68261,86,256.8,4370.25269,,NEOUSDC,17.011,16.99099600798403,
2024-04-18 11:00:00,17.125,17.67,17.125,17.269,1628.92,28402.50695,216,886.6700000000001,15481.71832,,NEOUSDC,17.129096482736365,17.190662606288257,
2024-04-18 12:00:00,17.243,17.525,17.156,17.208,1777.56,30762.56537,113,1004.98,17449.935879999997,,NEOUSDC,17.253104158718045,17.25655207935902,
2024-04-18 13:00:00,17.304,18.205,17.267,17.886,19711.9,352589.28635,1104,10291.61,184049.65294,,NEOUSDC,17.295804895352962,17.295804895352962,
2024-04-18 14:00:00,17.933,18.488,17.79,18.258,4953.12,89540.47229,351,2918.34,52748.86701,,NEOUSDC,17.914236241610737,17.88133322907121,
2024-04-18 15:00:00,18.319,18.495,17.928,17.978,5548.87,101250.78355,780,2939.33,53642.44796,,NEOUSDC,18.394956335973323,18.322907520579317,
2024-04-18 16:00:00,17.984,18.03,17.683,17.818,2171.63,38643.99729,719,835.97,14881.35593,,NEOUSDC,17.98908280254777,17.938565227530198,
2024-04-18 17:00:00,17.807,17.885,17.572,17.572,1647.06,29180.02812,346,354.6,6286.60677,,NEOUSDC,17.825726694915254,17.836296497436877,
2024-04-18 18:00:00,17.568,17.713,17.432,17.673,851.77,14955.923,75,361.42,6355.702789999999,,NEOUSDC,17.567999999999998,17.59298020710059,
2024-04-18 19:00:00,17.734,18.181,17.725,18.024,3478.63,62647.11289,219,1931.33,34732.78939,,NEOUSDC,17.74599644760213,17.749901793502566,
2024-04-18 20:00:00,17.938,18.423,17.847,18.413,2207.45,39970.19648,137,1459.86,26481.78163,,NEOUSDC,17.92076987667279,17.92076987667279,
2024-04-18 21:00:00,18.433,18.688,18.271,18.49,3217.4,59390.55642,193,1518.5,28054.61046,,NEOUSDC,18.425010252029047,18.41138491567841,
2024-04-18 22:00:00,18.515,18.84,18.433,18.746,6697.58,124853.17073,346,4940.25,92182.33271,,NEOUSDC,18.530106172839503,18.60826452454745,
2024-04-18 23:00:00,18.726,18.726,18.282,18.473,3599.86,66372.74596,230,2108.17,38819.88763,,NEOUSDC,18.71657230941704,18.67792765607228,
2024-04-19 00:00:00,18.468,19.797,18.467,19.164,10556.87,201746.66903,749,5825.61,111202.1355,,NEOUSDC,18.53838369929289,18.838797249123463,
2024-04-19 01:00:00,19.172,19.248,17.905,17.934,9674.64,178353.23452,778,3252.44,60215.09397,,NEOUSDC,19.172,19.170436311644256,
2024-04-19 02:00:00,18.004,18.055,17.047,17.873,15309.51,267769.59523,1227,4857.68,85095.5307,,NEOUSDC,17.91158199504979,17.990719509059836,
2024-04-19 03:00:00,17.87,18.493,17.822,18.072,8641.99,156315.3272,953,5078.46,91966.01297,,NEOUSDC,17.88661244368684,17.89721867733904,
2024-04-19 04:00:00,18.089,18.993,18.057,18.856,15509.34,286251.52397,987,13221.91,243723.40863,,NEOUSDC,18.08230266702586,18.223432813365548,
2024-04-19 05:00:00,18.797,18.863,18.3,18.431,10831.38,199897.47818,767,2099.71,38854.19623,,NEOUSDC,18.82273725878278,18.77501135181168,
