本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-11-27 13:00:00,0.4575,0.464,0.4353,0.4539,16022040,7180196.847,33560,7600941,3405738.6153,0.0019867549668874,ONG-USDT,0.454332771834208,0.4509321170700968,
2023-11-27 14:00:00,0.4536,0.4735,0.4379,0.4443,16503263,7544900.7942,37904,8052703,3684591.2056,0.0006756756756756,ONG-USDT,0.453374287316991,0.4513751751399103,
2023-11-27 15:00:00,0.4447,0.455,0.4423,0.4433,6325091,2838198.7169,16630,3281042,1473263.9885,0.000225631768953,ONG-USDT,0.4456577128108017,0.4471273724572184,
2023-11-27 16:00:00,0.4432,0.4442,0.3949,0.4108,15672620,6570143.3209,33755,6688342,2800879.6672,0.0019512195121951,ONG-USDT,0.4419596747223465,0.4397081984171688,6.762e-05
2023-11-27 17:00:00,0.4108,0.4159,0.3893,0.3993,6866971,2752735.9852,15481,2951673,1184142.2059,0.0012537612838514,ONG-USDT,0.4126471230523862,0.4122777360963265,
2023-11-27 18:00:00,0.399,0.409,0.3968,0.3974,2709689,1095253.0184,5260,1191350,481783.0838,0.0007554772097706,ONG-USDT,0.4001459801573725,0.4021392776738725,
2023-11-27 19:00:00,0.3975,0.3993,0.3884,0.3949,3542669,1393250.7641,7881,1649269,649121.9805,0.0012677484787018,ONG-USDT,0.3956412854813962,0.3950426062845208,
2023-11-27 20:00:00,0.3949,0.4332,0.3934,0.4263,8380290,3478061.3439,18550,4375948,1816821.7335,0.0007042253521127,ONG-USDT,0.3941422938024231,0.3945519848189659,0.00014809
2023-11-27 21:00:00,0.4261,0.4329,0.4131,0.4189,7271610,3066101.7761,17072,3615243,1526522.9659,0.0021531100478469,ONG-USDT,0.4297052494845161,0.4306439462016905,
2023-11-27 22:00:00,0.419,0.4398,0.419,0.4271,7748104,3337046.7756000003,17389,3860311,1661786.2422,0.001876612714051,ONG-USDT,0.4200623384557544,0.4218664401715352,
2023-11-27 23:00:00,0.4266,0.4339,0.4172,0.4337,3401592,1446506.3497,8977,1657788,705624.8213,0.0002306273062731,ONG-USDT,0.425899723374827,0.4255094903242757,
2023-11-28 00:00:00,0.4338,0.443,0.4181,0.4281,10192013,4373450.0329,28068,5279041,2265523.256,0.000233644859813,ONG-USDT,0.432063005143277,0.4322622405313949,5e-05
2023-11-28 01:00:00,0.4283,0.5005,0.4271,0.49,33652527,15961878.848,74369,17254847,8189397.285,0.0006126199714109,ONG-USDT,0.4282941395996643,0.4338707539554661,
2023-11-28 02:00:00,0.4903,0.5119,0.476,0.4861,39933061,19746114.4905,79814,20510945,10149112.556,0.0012358393408855,ONG-USDT,0.4888631752148223,0.4895224385660069,
2023-11-28 03:00:00,0.4862,0.492,0.4673,0.4805,16464383,7890591.2069,34210,8475057,4064279.7244,-0.0045576962916926,ONG-USDT,0.4864150578926053,0.4881538785119386,
2023-11-28 04:00:00,0.4806,0.4812,0.4438,0.458,21996769,10186213.5614,44935,10316498,4775239.2586,-0.00087260034904,ONG-USDT,0.4780390958304595,0.4745634484607001,5e-05
2023-11-28 05:00:00,0.458,0.4795,0.4511,0.4631,17179898,8019022.3436,35490,8675299,4050359.7038,-0.0008629989212514,ONG-USDT,0.4573125790825997,0.4579591381945493,
2023-11-28 06:00:00,0.4631,0.4724,0.4544,0.4584,10810808,5015778.3734,25716,5423326,2516777.839,-0.000871839581517,ONG-USDT,0.4623362858246902,0.4636166570228238,
2023-11-28 07:00:00,0.458,0.4688,0.448,0.4651,11137836,5088495.9256,24686,5554376,2539249.6537,-0.0021454623471358,ONG-USDT,0.4586321231346812,0.4596637749005912,
2023-11-28 08:00:00,0.4654,0.472,0.4539,0.4637,9626009,4448650.9917,22156,4912534,2270142.9996,-0.0036527718091963,ONG-USDT,0.4628667540193517,0.4606093014130175,-0.00034773
2023-11-28 09:00:00,0.4637,0.479,0.4576,0.4703,17182749,8076746.185599999,38698,8972563,4219169.3837,-0.0010620220900594,ONG-USDT,0.4631669191684193,0.4664336263847752,
2023-11-28 10:00:00,0.4702,0.4932,0.4682,0.484,20602763,9930978.5551,42892,10810343,5212345.6794,-0.001031991744066,ONG-USDT,0.4713395418790591,0.4723021497089076,
2023-11-28 11:00:00,0.4836,0.491,0.4569,0.4642,17727073,8412178.3952,38235,8226687,3901996.8213,0.0008624407072013,ONG-USDT,0.48295628423625,0.4813555657821872,
2023-11-28 12:00:00,0.4638,0.4715,0.4511,0.4595,10362182,4782612.5274,22668,4959269,2289054.494,-0.0008697542944117,ONG-USDT,0.4645940963142637,0.4676630972305542,-0.00178939
2023-11-28 13:00:00,0.4596,0.4739,0.4575,0.4618,7222376,3364880.6494,17616,3449469,1606437.7627,0.0002165908598656,ONG-USDT,0.4592472165870891,0.459577060776734,
2023-11-28 14:00:00,0.4618,0.464,0.446,0.4512,10518681,4776932.0789,25587,4492772,2041817.26,-0.0006644518272426,ONG-USDT,0.4624452894209059,0.4594652661469353,
2023-11-28 15:00:00,0.4515,0.4561,0.435,0.4419,8136342,3609522.3875,17547,3671919,1628624.7162,0.000452796015395,ONG-USDT,0.4512625661862739,0.4531055026462336,
2023-11-28 16:00:00,0.442,0.4468,0.428,0.43,7964541,3453869.7776,16618,3774064,1637315.0232,0.0002326122354034,ONG-USDT,0.441747439827083,0.4436292104394901,2.515e-05
2023-11-28 17:00:00,0.43,0.4545,0.4293,0.4447,8497765,3788490.0659,25930,4219484,1880657.0186,0.0004499437570302,ONG-USDT,0.4309765260656468,0.4310506741007322,
2023-11-28 18:00:00,0.4445,0.4456,0.4359,0.4401,3441686,1514782.0347,12094,1591698,701088.4829,0.0004546487838144,ONG-USDT,0.4438650225228052,0.4412705921277965,
2023-11-28 19:00:00,0.4401,0.4478,0.4394,0.4441,1682708,746188.0603,6976,935737,414880.3733,0.0004505519261095,ONG-USDT,0.4399093770070649,0.4416548406966412,
2023-11-28 20:00:00,0.4442,0.4519,0.444,0.4464,1664940,747065.547,6361,885084,397250.0946,-0.0011188185276348,ONG-USDT,0.4454068240492503,0.4463089446493593,5e-05
2023-11-28 21:00:00,0.4469,0.4559,0.4461,0.4535,1855077,837443.0383,6468,1047666,472993.1496,-0.0004408199250605,ONG-USDT,0.4466165450121654,0.4483020138058067,
2023-11-28 22:00:00,0.4536,0.4578,0.4447,0.4458,3139060,1414667.5769,9192,1377775,621835.8974,-0.0006724949562878,ONG-USDT,0.4547986242108531,0.4536011022545168,
2023-11-28 23:00:00,0.4458,0.4468,0.4376,0.4437,2744461,1213795.9022,8787,1123951,497362.1092,0.0009023234829685,ONG-USDT,0.4462987381953813,0.4449369340807065,
2023-11-29 00:00:00,0.4434,0.4536,0.435,0.4457,7347101,3268224.8422,24159,3768267,1677355.7251,0.0,ONG-USDT,0.4428275015070912,0.4391353891521019,5e-05
2023-11-29 01:00:00,0.4457,0.458,0.4452,0.451,3499670,1579143.2689,14028,1835772,828772.6138,-0.0011074197120708,ONG-USDT,0.4454990283738674,0.4465712746004653,
2023-11-29 02:00:00,0.4512,0.4544,0.4451,0.4525,2092978,940626.8724,6959,967158,434875.9884,-0.002205071664829,ONG-USDT,0.4507500620977757,0.4506746212815913,
2023-11-29 03:00:00,0.453,0.4824,0.453,0.4628,14981086,6998418.5122,45267,7726227,3606786.9135,-0.0008635578583765,ONG-USDT,0.4543009821800376,0.4580699132780291,
2023-11-29 04:00:00,0.4627,0.4663,0.4546,0.4628,4156888,1916539.2706,12974,1899452,876479.554,-0.0008635578583765,ONG-USDT,0.462338063259687,0.4621303973958295,5e-05
2023-11-29 05:00:00,0.4632,0.4661,0.4593,0.4615,2694388,1244518.5101,8300,1298936,600018.6736,-0.0008659883091577,ONG-USDT,0.4624782928353491,0.4621422509176695,
2023-11-29 06:00:00,0.4617,0.4623,0.4424,0.4496,4207515,1911423.1104,13469,1623726,738028.3910000001,-0.0004446420631391,ONG-USDT,0.4619470568392646,0.4591419506552679,
2023-11-29 07:00:00,0.4497,0.455,0.4434,0.4509,3586731,1613797.5887,12061,1768091,795858.493,-0.0006648936170211,ONG-USDT,0.4486001433048786,0.4475005951450677,
