本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-09-16 02:00:00,1.79,1.79,1.3952,1.5935,1680735,2608090.3953,14622,891770,1389228.4575,,PHBBUSD,1.5461866780472395,1.5461866780472395,
2022-09-16 03:00:00,1.5935,1.67,1.53,1.657,2008230,3207117.2641,25647,992675,1588244.8428,,PHBBUSD,1.5891509384861582,1.5759715395067773,
2022-09-16 04:00:00,1.657,1.7249,1.3183,1.4681,4461192,6774460.3921,39888,2143614,3252562.1076,,PHBBUSD,1.681388888203128,1.6791201000828888,
2022-09-16 05:00:00,1.4682,1.4799,1.3144,1.4109,3933381,5582502.1022,31260,1954204,2776514.9796,,PHBBUSD,1.4654625597403523,1.4038774435556869,
2022-09-16 06:00:00,1.4109,1.538,1.4,1.4891,3351046,4941933.7898,33838,1734541,2557723.2693,,PHBBUSD,1.420434534898397,1.426878659814902,
2022-09-16 07:00:00,1.4902,1.62,1.471,1.5882,3821492,5895186.7012,35530,1956317,3022229.6426,,PHBBUSD,1.5032328706018845,1.504262944623759,
2022-09-16 08:00:00,1.5896,1.5951,1.3093,1.3888,10506507,14966064.2492,80329,4843149,6891312.9746,,PHBBUSD,1.5660594474226,1.5245935986547887,-0.025
2022-09-16 09:00:00,1.3889,1.4396,1.3556,1.4098,3724499,5176997.83,38470,1802478,2510834.2734,,PHBBUSD,1.3946584749543702,1.386304524762392,
2022-09-16 10:00:00,1.4098,1.41,1.3452,1.3825,3751750,5176508.8358,38021,1808717,2496827.1988,,PHBBUSD,1.4044202373824537,1.3912095489097325,
2022-09-16 11:00:00,1.3836,1.3955,1.3314,1.3953,3349646,4580382.599,40674,1688437,2312216.7077,,PHBBUSD,1.3840348470771862,1.3776855797491914,
2022-09-16 12:00:00,1.3942,1.4581,1.3764,1.401,4497153,6351356.752,50645,2234776,3157456.6214,,PHBBUSD,1.3925117764993815,1.388541940588384,
2022-09-16 13:00:00,1.3977,1.4138,1.3186,1.3514,4291171,5846636.449200001,50059,1807129,2464290.3565,,PHBBUSD,1.4032633818453213,1.4043946963894665,
2022-09-16 14:00:00,1.3511,1.3863,1.2,1.24,5116752,6665046.2241,49207,2117397,2769911.1199,,PHBBUSD,1.3517813441734416,1.3568530268352763,
2022-09-16 15:00:00,1.24,1.2684,1.1004,1.185,10070410,11943709.7021,67274,4897623,5833000.3821,,PHBBUSD,1.2331389357099036,1.2393417604585448,
2022-09-16 16:00:00,1.1852,1.1872,1.0761,1.1633,10102451,11478394.5485,68187,4998122,5687565.3954,,PHBBUSD,1.1323003392828708,1.1388058732941282,-0.02260562
2022-09-16 17:00:00,1.1638,1.25,1.1,1.19,4845016,5575039.1615,40461,2432638,2811929.9932,,PHBBUSD,1.1627485796712322,1.1535548806529885,
2022-09-16 18:00:00,1.19,1.228,1.1565,1.1758,2971479,3522386.8124,28577,1284738,1525244.0643,,PHBBUSD,1.1901404587205826,1.1971797287281238,
2022-09-16 19:00:00,1.1758,1.2022,1.1617,1.1837,1465015,1736316.1149,14853,738269,875465.0161,,PHBBUSD,1.167154708686441,1.178380028081614,
2022-09-16 20:00:00,1.1834,1.2144,1.165,1.1802,1442611,1712876.1167,15487,672839,800096.0163,,PHBBUSD,1.183721681415929,1.1916416010828228,
2022-09-16 21:00:00,1.1817,1.2264,1.1745,1.2045,1401647,1686192.3246,13015,691585,832760.7757,,PHBBUSD,1.1814807540242869,1.1790491902646232,
2022-09-16 22:00:00,1.2045,1.2204,1.175,1.1935,752569,898554.4698,7947,325191,388339.7522,,PHBBUSD,1.209522968325792,1.2111380754951664,
2022-09-16 23:00:00,1.1934,1.3733,1.1934,1.3099,4680603,6050774.0151,36005,2447442,3167416.4645,,PHBBUSD,1.1964304298459043,1.1997219070980454,
2022-09-17 00:00:00,1.3099,1.3572,1.2093,1.2482,5295053,6836745.5568,47427,2471526,3199420.3116,,PHBBUSD,1.2905256380401258,1.2956396341189849,-0.025
2022-09-17 01:00:00,1.2477,1.297,1.2476,1.2764,2046206,2597479.6399,22613,1060204,1347313.9037,,PHBBUSD,1.2524932765905334,1.2566995904346323,
2022-09-17 02:00:00,1.2764,1.2773,1.0369,1.1051,7508484,8290773.3098,52938,3234091,3563018.9543,,PHBBUSD,1.1927964397973037,1.1182137488872077,
2022-09-17 03:00:00,1.105,1.1496,1.0708,1.1257,4153794,4618064.8371,32090,2026204,2256194.981,,PHBBUSD,1.1049069893441148,1.0965892298328768,
2022-09-17 04:00:00,1.1236,1.1482,1.104,1.1388,2280221,2577640.1235,21715,1183631,1338989.1463,,PHBBUSD,1.118769704650501,1.1186683644359663,
