本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-05-10 12:00:00,2.37,2.57,2.37,2.513,715657,1758566.535,7663,397726,977893.89,-0.0031733439111463,RAD-USDT,2.438889915161467,2.424634184303957,
2023-05-10 13:00:00,2.516,2.545,2.45,2.518,508175,1269560.078,5015,252169,629585.345,-0.0003969829297341,RAD-USDT,2.5203782302270947,2.52689865062411,
2023-05-10 14:00:00,2.517,2.544,2.478,2.496,371879,934589.984,5983,190342,478311.791,-0.0031948881789137,RAD-USDT,2.5192540638169776,2.524324902854017,
2023-05-10 15:00:00,2.496,2.525,2.487,2.498,240927,603173.866,4474,122109,305820.108,-0.0007999999999999,RAD-USDT,2.499437743190662,2.4969328993212976,
2023-05-10 16:00:00,2.498,2.625,2.491,2.592,709622,1824358.852,10813,384358,988188.68,-0.0003856536829925,RAD-USDT,2.500561112847765,2.500861357852332,-6.19e-05
2023-05-10 17:00:00,2.593,2.599,2.283,2.473,964741,2359187.55,12181,453616,1109091.809,-0.0016148566814695,RAD-USDT,2.594980866062437,2.5859139645657643,
2023-05-10 18:00:00,2.473,2.505,2.436,2.46,224660,555345.435,4429,101650,251628.692,-0.0004063388866314,RAD-USDT,2.4756725724020443,2.4715898828631,
2023-05-10 19:00:00,2.457,2.503,2.457,2.463,121665,301911.908,2324,55518,137885.627,-0.0032375556454876,RAD-USDT,2.460976525821596,2.4740506530198907,
2023-05-10 20:00:00,2.462,2.498,2.462,2.462,101317,250870.312,1964,46923,116265.114,-0.0020267531414672,RAD-USDT,2.467845864661654,2.472847245874445,
2023-05-10 21:00:00,2.465,2.526,2.463,2.475,197940,493110.862,3194,111276,277419.01,-0.0008074283407346,RAD-USDT,2.4633002364066194,2.4667469335799304,
2023-05-10 22:00:00,2.473,2.528,2.47,2.517,102825,257117.958,2623,53616,134049.283,-0.0011904761904761,RAD-USDT,2.4772998334258745,2.487518751946923,
2023-05-10 23:00:00,2.517,2.523,2.476,2.479,104824,261146.929,2575,45948,114524.478,-0.0016109544905356,RAD-USDT,2.5180704545454544,2.517147356207727,
2023-05-11 00:00:00,2.48,2.485,2.425,2.429,166431,408187.73,2801,78186,191966.084,-0.0008227067050596,RAD-USDT,2.483631011927665,2.4746178798056144,0.0001
2023-05-11 01:00:00,2.429,2.582,2.422,2.565,731933,1848068.212,10552,394625,995875.541,-0.0011682242990654,RAD-USDT,2.424564554549786,2.4286060947589805,
2023-05-11 02:00:00,2.565,2.569,2.369,2.387,1386413,3390929.589,16653,641680,1566212.388,-0.0180995475113122,RAD-USDT,2.5236594494397564,2.518673291846588,
2023-05-11 03:00:00,2.387,2.392,2.316,2.326,499447,1173549.82,6718,239383,562894.972,-0.0185654008438819,RAD-USDT,2.3846288156632625,2.367749651749361,
2023-05-11 04:00:00,2.328,2.385,2.323,2.383,428972,1013624.687,6107,255380,603620.439,-0.022960229602296,RAD-USDT,2.3352270680078067,2.340090766360519,
