本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-04-05 12:00:00,0.3795,0.3795,0.3538,0.3663,9766704,3596715.9738000003,16902,4490573,1654393.7927,0.0008196721311475,RDNT-USDT,0.3623808030074379,0.3671635877062799,
2023-04-05 13:00:00,0.3664,0.3664,0.357,0.3602,5652639,2039974.2291,9723,2599974,938558.3134,-0.0011092623405434,RDNT-USDT,0.3656798496270671,0.3629944475186378,
2023-04-05 14:00:00,0.3605,0.3617,0.352,0.3527,4267797,1522570.6821,10549,1844259,658801.6802,-0.0005667327854915,RDNT-USDT,0.3611556544663332,0.3601375760453151,
2023-04-05 15:00:00,0.3528,0.3639,0.3453,0.355,9790292,3463300.8468,21201,4431118,1568639.2877,-0.0005630630630631,RDNT-USDT,0.3531335958775247,0.3494225769570409,
2023-04-05 16:00:00,0.3551,0.3581,0.3488,0.3514,4316606,1521119.6615,9713,1882916,664183.5179,-0.0011370096645821,RDNT-USDT,0.3559108687893072,0.3568878630601785,0.0001
2023-04-05 17:00:00,0.3514,0.3566,0.3503,0.3561,2638250,933980.7794,8367,1402400,496655.1748,0.0,RDNT-USDT,0.3512730326876513,0.3511207448066262,
2023-04-05 18:00:00,0.3559,0.3577,0.3509,0.3531,2037746,722695.5529,6736,954134,338474.7104,-0.0005660911406736,RDNT-USDT,0.355380130548785,0.3551790803532399,
2023-04-05 19:00:00,0.3533,0.358,0.3523,0.3578,1161315,413242.2809,3232,612856,218102.7104,0.0,RDNT-USDT,0.3532677582775466,0.353040898107285,
2023-04-05 20:00:00,0.3577,0.3594,0.3534,0.3543,1725070,614660.3463,3778,655113,233446.8751,0.0,RDNT-USDT,0.3572722716476792,0.356797872208017,
2023-04-05 21:00:00,0.3544,0.3566,0.3525,0.3547,1348849,477870.3867,4479,564458,200125.8255,-0.0008450704225351,RDNT-USDT,0.3538308408398352,0.3537364567445969,
2023-04-05 22:00:00,0.3545,0.3552,0.3427,0.3471,4593329,1597534.7165,11823,1926637,670433.1907,-0.0005758710048948,RDNT-USDT,0.3542936239808621,0.3537887265883653,
2023-04-05 23:00:00,0.347,0.3476,0.3402,0.3437,3797909,1306029.4947,10303,1569523,540148.0618,0.0,RDNT-USDT,0.3470584359906659,0.3457584728053473,
2023-04-06 00:00:00,0.3437,0.3478,0.333,0.3367,5118137,1739928.2341,11461,2145288,730506.9963,-0.0005936479667556,RDNT-USDT,0.3450825059266896,0.3457298031406761,0.0001
