本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2021-09-03 04:00:00,133.432,135.718,133.165,135.591,1865,250597.509,953,1196,160664.144,,SOLBUSD,133.432,133.3239375,
2021-09-03 05:00:00,135.751,140.652,134.923,138.985,5415,748665.249,1498,3138,434535.143,,SOLBUSD,135.73683333333335,135.25587238095238,
2021-09-03 06:00:00,138.904,143.908,136.0,142.205,16215,2290603.79,3522,8492,1203177.5,,SOLBUSD,138.7911,138.5515311080586,
2021-09-03 07:00:00,142.183,147.822,141.0,144.615,18723,2702847.455,3111,9100,1314833.671,,SOLBUSD,142.14074264705883,142.60114009638545,
2021-09-03 08:00:00,144.71,145.29,140.463,141.465,22871,3265378.654,3790,9069,1296049.38,,SOLBUSD,144.13257370517928,143.8338047577451,0.0001533
2021-09-03 09:00:00,141.475,144.807,141.475,143.16,15815,2265025.003,2582,7844,1123646.327,,SOLBUSD,141.9201789924973,142.5908803824114,
2021-09-03 10:00:00,143.316,144.026,140.5,141.618,20238,2883852.568,3052,9236,1317096.281,,SOLBUSD,143.18415555555555,142.65736737372782,
2021-09-03 11:00:00,141.699,141.832,136.5,139.616,25801,3574233.909,4425,11644,1615747.531,,SOLBUSD,141.53517204301076,140.17464294235896,
2021-09-03 12:00:00,139.639,141.736,138.08,139.504,18526,2588458.564,3151,8076,1128146.772,,SOLBUSD,139.64074008810573,139.0471509472962,
2021-09-03 13:00:00,139.426,144.352,138.389,142.772,22456,3167754.193,3440,12191,1720852.0,,SOLBUSD,139.50633210332103,139.40924823741287,
2021-09-03 14:00:00,142.853,143.337,139.747,140.661,13435,1905306.373,2606,6076,862321.362,,SOLBUSD,142.5795356521739,142.11486876172864,
2021-09-03 15:00:00,140.596,141.266,139.248,140.26,11062,1548541.462,1853,4914,688344.101,,SOLBUSD,140.59794318181818,140.77699728148326,
2021-09-03 16:00:00,140.239,143.365,139.712,142.744,12934,1837960.767,2417,6394,908574.879,,SOLBUSD,140.24788235294116,140.02824118025512,0.00038165
2021-09-03 17:00:00,142.696,143.539,140.532,140.813,15760,2246927.659,3087,7202,1028138.377,,SOLBUSD,142.9441287037037,142.95358652550073,
2021-09-03 18:00:00,140.818,141.099,138.632,140.047,14301,1996524.045,2524,6270,875217.295,,SOLBUSD,140.8155633802817,139.62416131213303,
2021-09-03 19:00:00,140.141,143.159,139.387,143.141,10755,1523449.233,1934,4516,639553.565,,SOLBUSD,140.26568292682927,139.89696460454016,
2021-09-03 20:00:00,143.052,144.991,141.092,141.945,21014,3018985.22,3621,10576,1519847.86,,SOLBUSD,143.28668039772728,143.69538233843286,
2021-09-03 21:00:00,142.019,148.647,142.019,147.62,17509,2556328.027,3112,9163,1337471.226,,SOLBUSD,142.30945756457564,142.534658373622,
2021-09-03 22:00:00,147.548,149.113,143.5,144.005,37462,5483166.066,4526,17726,2600446.596,,SOLBUSD,148.04370059523808,147.9853199345178,
2021-09-03 23:00:00,143.897,146.859,142.951,146.512,15657,2268187.183,2563,8444,1223636.192,,SOLBUSD,143.39473829787235,143.4301731785725,
2021-09-04 00:00:00,146.473,149.527,145.113,149.463,15594,2309316.106,2442,7881,1167079.23,,SOLBUSD,146.3422448979592,145.80760710586998,0.0001
2021-09-04 01:00:00,149.464,149.464,146.86,148.314,25390,3756955.162,3737,10548,1561020.965,,SOLBUSD,149.00714973262032,148.19646081906177,
2021-09-04 02:00:00,148.487,149.862,146.5,149.778,24657,3656259.543,3397,11423,1695644.44,,SOLBUSD,148.78367663043477,148.08404308148127,
2021-09-04 03:00:00,149.737,150.958,147.637,148.572,29610,4427406.463,4233,16197,2425024.713,,SOLBUSD,149.88005475206612,149.83252283630316,
2021-09-04 04:00:00,148.475,149.8,147.117,147.858,14748,2193373.017,2528,6389,951104.902,,SOLBUSD,148.52353846153846,149.06105934024723,
2021-09-04 05:00:00,147.8,148.757,145.156,146.02,14862,2182887.557,2604,6909,1015538.576,,SOLBUSD,147.81021483771252,148.12653477091004,
2021-09-04 06:00:00,146.114,148.463,145.5,148.345,9851,1450397.806,1971,5763,848833.344,,SOLBUSD,145.8442131147541,145.9502136761144,
2021-09-04 07:00:00,148.231,148.973,146.016,146.124,10783,1591392.276,1887,5236,773249.675,,SOLBUSD,148.17598936170214,148.15245209210303,
2021-09-04 08:00:00,146.123,147.824,146.122,146.581,11927,1753454.885,2089,5387,792132.154,,SOLBUSD,146.3092380952381,146.63956316194745,0.0001
2021-09-04 09:00:00,146.618,146.826,143.751,144.526,20721,3009857.41,3575,9123,1326655.588,,SOLBUSD,146.44651916376307,146.1445438537756,
2021-09-04 10:00:00,144.592,145.817,140.804,141.634,23772,3423353.741,3915,10750,1552182.335,,SOLBUSD,144.7623650442478,145.0755918956017,
2021-09-04 11:00:00,141.71,143.564,141.587,141.936,19570,2791959.321,3652,8813,1258354.456,,SOLBUSD,142.19788853503186,142.42107320146565,
2021-09-04 12:00:00,141.845,144.666,140.866,142.527,18051,2585625.222,3422,9246,1324674.916,,SOLBUSD,141.71598571428572,141.7462666333308,
2021-09-04 13:00:00,142.673,142.896,139.716,141.185,29123,4111831.227,4547,12888,1820197.223,,SOLBUSD,142.84065079365078,142.27477591176836,
2021-09-04 14:00:00,141.251,143.227,140.057,142.969,15434,2188758.285,3054,8645,1226473.484,,SOLBUSD,141.21831016042782,140.6721491584552,
2021-09-04 15:00:00,143.065,143.79,141.888,142.666,11473,1638714.266,2318,5247,749801.623,,SOLBUSD,143.07982905982905,142.9594560855109,
2021-09-04 16:00:00,142.641,143.178,138.8,139.218,18809,2655440.433,3659,6952,983980.223,,SOLBUSD,142.4388888888889,142.34530300267585,0.00066232
2021-09-04 17:00:00,139.171,140.684,136.099,140.533,26508,3660510.323,5157,12218,1688220.616,,SOLBUSD,139.4309716312057,139.00434901221425,
2021-09-04 18:00:00,140.547,140.899,139.428,139.926,10633,1490316.143,2352,4860,681668.446,,SOLBUSD,140.6041575091575,140.4913537384849,
2021-09-04 19:00:00,139.899,139.899,137.046,139.196,13454,1862520.48,2992,5241,725184.12,,SOLBUSD,139.75194642857144,139.3802836684066,
2021-09-04 20:00:00,139.098,142.031,138.59,140.697,23490,3310594.1070000003,4206,11708,1647765.874,,SOLBUSD,138.811774566474,140.3070808787557,
2021-09-04 21:00:00,140.627,142.0,139.7,141.179,16074,2271521.49,3013,7014,991795.505,,SOLBUSD,140.92855580865603,141.13163517342952,
2021-09-04 22:00:00,141.18,142.399,140.488,141.207,9381,1328252.551,2856,4270,604531.257,,SOLBUSD,141.35218181818183,141.3197148507973,
2021-09-04 23:00:00,141.131,141.592,139.111,139.254,12152,1701907.673,3272,4949,693022.549,,SOLBUSD,140.92816666666667,141.27044147849463,
2021-09-05 00:00:00,139.359,142.385,138.223,141.852,17303,2433955.871,4172,8749,1231155.159,,SOLBUSD,139.4676875,139.7444248586476,0.00048554
2021-09-05 01:00:00,141.951,145.333,141.8,144.451,35004,5033712.973,7129,17350,2495853.067,,SOLBUSD,142.1521351851852,142.92130592613051,
2021-09-05 02:00:00,144.4,144.452,142.419,142.864,15403,2209457.686,4175,7088,1017090.577,,SOLBUSD,144.18822244897962,144.0082688730659,
2021-09-05 03:00:00,143.017,143.73,140.669,140.98,11883,1685396.727,3550,5643,800408.397,,SOLBUSD,143.3195027932961,143.46681633257384,
2021-09-05 04:00:00,140.935,142.258,140.779,141.478,8008,1134137.881,2464,3951,559671.449,,SOLBUSD,140.98745945945947,141.3085775421783,
2021-09-05 05:00:00,141.485,141.78,139.4,139.623,12245,1720061.005,3321,5600,786996.237,,SOLBUSD,141.34726363636364,141.4992770366076,
2021-09-05 06:00:00,139.657,141.098,139.25,140.17,12812,1796045.148,3206,6285,881189.246,,SOLBUSD,139.5254119402985,139.86832851707535,
2021-09-05 07:00:00,140.194,141.4,139.134,139.372,10393,1457385.458,2550,5282,741263.7679999999,,SOLBUSD,140.03347867298578,139.92484081729827,
2021-09-05 08:00:00,139.395,141.62,139.357,141.38,18918,2656180.244,3965,8241,1157181.65,,SOLBUSD,139.47258585858586,139.46946570411177,0.0009407
2021-09-05 09:00:00,141.349,142.132,140.003,141.292,16637,2348188.699,3736,7811,1103014.643,,SOLBUSD,141.68245,141.84920435027067,
2021-09-05 10:00:00,141.278,141.976,140.442,140.493,9624,1359015.005,2463,3541,500146.669,,SOLBUSD,141.43518965517242,141.17317855471433,
2021-09-05 11:00:00,140.48,141.664,140.137,140.791,12663,1785511.273,3308,6389,900941.732,,SOLBUSD,140.75833898305083,140.55248584953128,
2021-09-05 12:00:00,140.8,140.901,139.298,140.053,10674,1495417.91,2326,4548,637233.274,,SOLBUSD,140.8222080291971,140.44842943926446,
2021-09-05 13:00:00,140.041,140.439,137.604,138.417,17354,2410933.037,3665,6697,931042.171,,SOLBUSD,140.22620588235293,140.1916666795949,
2021-09-05 14:00:00,138.44,139.042,137.5,138.247,14462,1999491.273,3126,6562,907568.699,,SOLBUSD,138.61858148148147,138.47642878704158,
2021-09-05 15:00:00,138.237,138.237,135.07,136.585,26450,3611156.282,5529,11704,1598572.255,,SOLBUSD,137.8503795180723,137.7308296720016,
2021-09-05 16:00:00,136.59,139.259,135.653,137.197,27527,3784160.75,5629,14461,1989188.054,,SOLBUSD,136.53857142857143,136.3836731868193,0.00106864
2021-09-05 17:00:00,137.198,137.987,136.745,136.979,7831,1074415.666,2017,3086,423522.103,,SOLBUSD,137.41156485355648,137.38874294539775,
2021-09-05 18:00:00,136.958,137.774,136.7,136.949,6088,835203.276,1442,2897,397514.408,,SOLBUSD,137.0072098765432,137.06470152106948,
2021-09-05 19:00:00,136.958,138.895,136.7,138.165,19559,2696833.17,4636,9490,1308649.352,,SOLBUSD,137.0436037735849,137.08734919916142,
2021-09-05 20:00:00,138.172,139.0,137.27,138.996,11223,1546930.4840000002,1904,5725,789251.113,,SOLBUSD,138.04056896551725,137.91784875330404,
2021-09-05 21:00:00,138.916,141.502,138.331,140.798,20880,2927177.325,3536,10385,1456441.208,,SOLBUSD,138.77582855471036,138.5603043858551,
2021-09-05 22:00:00,140.802,145.189,140.798,143.215,39298,5631671.064,6338,19116,2739855.76,,SOLBUSD,140.8651153846154,141.34107328400364,
2021-09-05 23:00:00,143.227,144.333,141.624,142.253,27335,3916604.242,3855,12656,1813830.112,,SOLBUSD,143.37317094017095,143.3144666427362,
2021-09-06 00:00:00,142.237,143.758,140.755,141.135,23442,3339823.45,4033,11211,1598011.598,,SOLBUSD,142.17875,142.05765801555668,0.00064839
2021-09-06 01:00:00,141.016,141.976,139.796,141.193,13930,1961440.806,2465,6395,900631.743,,SOLBUSD,140.74753870458136,140.3188500122666,
2021-09-06 02:00:00,141.189,142.834,141.005,141.714,20973,2977777.511,3087,10971,1557908.151,,SOLBUSD,141.3416440677966,141.65135054966098,
2021-09-06 03:00:00,141.664,143.385,140.755,141.226,16941,2407882.536,2809,7527,1070307.763,,SOLBUSD,141.66725714285715,141.60035662185572,
2021-09-06 04:00:00,141.2,141.694,140.4,141.694,10250,1444308.352,1660,4725,665937.297,,SOLBUSD,141.09943640897757,141.12423533510258,
2021-09-06 05:00:00,141.644,143.097,141.44,142.936,12517,1781856.223,2028,6509,926479.65,,SOLBUSD,141.68886363636364,141.72936340146342,
2021-09-06 06:00:00,142.965,145.261,142.182,145.253,16824,2418416.605,2472,9042,1300599.676,,SOLBUSD,142.70458183990442,142.64083884552508,
2021-09-06 07:00:00,145.253,147.182,143.698,146.195,43058,6297852.366,5229,21337,3121559.115,,SOLBUSD,145.1885198821797,145.85538041780765,
2021-09-06 08:00:00,146.262,146.946,144.63,146.532,22334,3255847.334,2759,10135,1478303.284,,SOLBUSD,146.29541860465116,146.4395245792502,0.00078436
2021-09-06 09:00:00,146.452,146.452,145.028,145.45,6355,925440.862,1296,3140,456967.312,,SOLBUSD,146.3858988764045,146.10315199554728,
2021-09-06 10:00:00,145.54,145.774,143.594,144.467,12383,1791816.787,1852,5778,836676.083,,SOLBUSD,145.5068305084746,145.5482930546825,
2021-09-06 11:00:00,144.424,144.551,141.666,142.74,20995,3001634.651,3510,8982,1284864.762,,SOLBUSD,144.52667741935483,144.2932256309587,
2021-09-06 12:00:00,142.63,142.821,137.141,142.183,41436,5830045.307,6902,18617,2621738.42,,SOLBUSD,142.18879448621553,140.80718883651366,
2021-09-06 13:00:00,142.155,146.413,141.912,146.062,33745,4848496.868,3932,17032,2447289.492,,SOLBUSD,142.01198969072166,142.56310021141917,
2021-09-06 14:00:00,146.074,146.588,143.95,144.952,34542,5007279.045,4701,17780,2577729.612,,SOLBUSD,145.57135218192994,145.69780498084054,
2021-09-06 15:00:00,144.972,151.852,144.743,151.518,63541,9407327.172,9125,33940,5024435.909,,SOLBUSD,144.85362921348317,144.88236294029488,
2021-09-06 16:00:00,151.529,158.617,151.499,156.31,146837,22912931.453,17899,75082,11720924.179,,SOLBUSD,152.1188937476026,153.8537889445883,0.00048728
2021-09-06 17:00:00,156.341,159.133,155.974,157.648,46839,7383815.176,7349,23703,3737365.212,,SOLBUSD,156.6136593220339,157.0779663628028,
2021-09-06 18:00:00,157.678,157.93,154.78,157.172,30594,4788067.574,4613,13938,2182784.021,,SOLBUSD,157.50092467948718,157.0577195356031,
2021-09-06 19:00:00,157.273,164.9,157.073,162.557,93417,15100126.044,11224,51926,8393244.393,,SOLBUSD,157.14306249999998,157.6239971101458,
2021-09-06 20:00:00,162.493,163.864,159.3,163.864,40361,6529279.298,5737,21094,3413970.791,,SOLBUSD,162.2439399806389,161.96520246365978,
2021-09-06 21:00:00,163.88,166.201,161.648,164.214,36679,6010860.437,5262,19788,3244576.478,,SOLBUSD,163.37600344530577,163.55719983142728,
2021-09-06 22:00:00,164.214,165.344,160.751,162.452,36307,5912899.357,4313,17227,2806381.491,,SOLBUSD,164.40252595494613,164.06950594070673,
2021-09-06 23:00:00,162.47,165.099,161.371,164.389,32508,5308047.31,4507,15705,2565332.64,,SOLBUSD,162.54500000000002,162.14013160390087,
2021-09-07 00:00:00,164.37,169.674,162.318,169.674,75819,12619189.697,8801,39362,6555813.413,,SOLBUSD,164.03070735785954,163.51395378967518,0.0001
2021-09-07 01:00:00,169.655,174.304,168.239,171.104,94875,16244925.312,12794,50880,8713246.915,,SOLBUSD,169.68917887931033,169.0414567308864,
2021-09-07 02:00:00,171.11,175.705,170.943,173.88,57816,10031266.574,8620,30540,5299418.019,,SOLBUSD,171.49392029887915,171.73602334861465,
2021-09-07 03:00:00,173.922,174.8,171.496,173.653,57743,9980258.332,6848,29097,5030169.988,,SOLBUSD,174.12496997270247,174.16275937037057,
2021-09-07 04:00:00,173.645,180.145,172.7,179.934,107542,19094948.238,13728,53345,9477308.079,,SOLBUSD,173.38415619967796,173.89356007015934,
2021-09-07 05:00:00,179.848,188.996,179.19,186.172,183800,34035390.534,26805,92153,17065258.057,,SOLBUSD,179.75826999339063,181.2600527945573,
2021-09-07 06:00:00,186.075,195.5,183.052,184.074,209452,39793209.095,32463,100780,19147288.248,,SOLBUSD,185.68430789302025,184.65122333428485,
2021-09-07 07:00:00,184.047,192.341,181.453,187.897,207842,38998310.292,40485,101117,18992143.151,,SOLBUSD,185.54993025577045,186.3678435392154,
2021-09-07 08:00:00,187.873,188.618,175.394,177.956,232636,42375772.441,41169,109154,19887999.336,,SOLBUSD,188.1519942946058,186.9208000290545,0.0001
2021-09-07 09:00:00,177.955,183.862,177.001,181.614,148121,26796176.311,29572,73960,13380054.674,,SOLBUSD,178.9464625199362,180.25641424230503,
2021-09-07 10:00:00,181.602,189.932,178.737,186.527,104813,19350357.329,19912,52399,9679629.08,,SOLBUSD,181.75476476377952,182.3374028482214,
2021-09-07 11:00:00,186.48,187.976,181.364,183.228,79206,14665572.685,15774,40127,7432091.377,,SOLBUSD,187.03954957160343,186.310267321346,
2021-09-07 12:00:00,183.269,186.2,179.748,182.734,70472,12872822.493,14687,34938,6382949.224,,SOLBUSD,182.8362367205543,183.8698654045831,
2021-09-07 13:00:00,182.85,186.303,179.559,180.303,65259,11956508.945,13866,31807,5829263.751,,SOLBUSD,182.41613924050637,182.1491400290177,
2021-09-07 14:00:00,180.183,182.984,151.0,152.454,201132,34285279.367,44501,91484,15648318.502,,SOLBUSD,180.27126113897904,181.18898675155148,
2021-09-07 15:00:00,152.142,177.827,132.55,168.506,351192,56490127.407,89966,163598,26268042.976,,SOLBUSD,153.5472025185797,157.19793661788782,
2021-09-07 16:00:00,168.511,191.0,165.931,181.9,329155,59982583.646,69845,164082,29897372.21,,SOLBUSD,168.15287998781602,169.1844765251608,0.00020284
2021-09-07 17:00:00,181.926,183.931,170.001,173.623,154347,27421364.288,37825,75246,13372320.119,,SOLBUSD,182.8316804006374,180.6215051852725,
2021-09-07 18:00:00,173.668,178.0,160.197,171.212,130599,22385895.949,30854,65847,11316111.791,,SOLBUSD,173.57521241434907,174.70916580361285,
2021-09-07 19:00:00,171.012,178.694,169.274,173.952,75033,13119393.256,17424,40346,7058987.206,,SOLBUSD,170.56038492753623,170.815713249605,
2021-09-07 20:00:00,173.952,175.994,166.922,170.186,41130,7093524.084,10468,18573,3205014.473,,SOLBUSD,174.09481467181467,175.009762909378,
2021-09-07 21:00:00,170.316,172.405,160.2,167.929,47499,7863134.798,9636,22832,3781357.954,,SOLBUSD,170.90411472275335,171.5169856379381,
