本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2020-09-05 02:00:00,2.73,3.1973,2.73,3.0639,252273,777313.4665,4948,127653,394499.1932,0.0006858710562414,SRM-USDT,3.0444409696969696,3.038462327750807,
2020-09-05 03:00:00,3.0707,3.1066,2.9464,2.9706,99428,300835.7983,3426,44901,136103.1704,-0.0012775685852608,SRM-USDT,3.0715256210283077,3.076569396556574,
2020-09-05 04:00:00,2.9706,3.03,2.9257,2.9576,88668,263417.3326,2524,46231,137463.2485,-0.0013506212857914,SRM-USDT,2.964151959798995,2.952319612041884,
2020-09-05 05:00:00,2.9569,2.9884,2.8463,2.9512,54858,160375.8222,1721,18505,54216.8574,-0.005157593123209,SRM-USDT,2.955962575452716,2.958505352632536,
2020-09-05 06:00:00,2.9486,2.952,2.8706,2.9188,52785,153338.4954,1904,24853,72199.5156,-0.0065012423840157,SRM-USDT,2.938804652624961,2.9233588494287472,
2020-09-05 07:00:00,2.9182,2.9349,2.8475,2.86,55384,160043.9759,1723,23293,67391.2726,-0.000524200594094,SRM-USDT,2.9182,2.909940163186532,
2020-09-05 08:00:00,2.86,2.8618,2.6956,2.7306,142973,395524.9327,4353,55534,153080.7014,-7.323861139596488e-05,SRM-USDT,2.8593336602994324,2.8536923064175155,6.687e-05
2020-09-05 09:00:00,2.7329,2.7329,2.6236,2.6256,150876,403701.3527,2893,74982,200716.6499,-0.0014451966228037,SRM-USDT,2.7327445801526715,2.7263445180873007,
2020-09-05 10:00:00,2.6256,2.6797,2.5274,2.5309,119706,310211.9689,2467,51773,134360.4531,-0.0076847676926092,SRM-USDT,2.617344535407286,2.6256546503260925,
2020-09-05 11:00:00,2.5322,2.536,2.2957,2.4828,392990,941315.1637,4730,194812,467990.6152,-0.0079910500239731,SRM-USDT,2.528984241245136,2.5306429422197523,
