本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-10-11 02:00:00,0.7974,0.7974,0.7011,0.7227,6482627,4830432.7104,15746,3092503,2296910.8429,-0.0072802197802197,STRAX-USDT,0.7631558327427356,0.7631558327427356,
2023-10-11 03:00:00,0.7227,0.7419,0.7182,0.7352,5694572,4167721.9574,18414,2781505,2036588.1115,-0.0037940379403794,STRAX-USDT,0.7239580006874033,0.7287793445698609,
2023-10-11 04:00:00,0.7346,0.7424,0.7107,0.732,5780154,4200323.238,17126,2795143,2032194.9931,-0.0040816326530612,STRAX-USDT,0.7327613324700174,0.7348365577358363,-0.00293559
2023-10-11 05:00:00,0.7322,0.734,0.7212,0.7255,2492914,1813433.814,8983,1095522,797073.8962,-0.0034340659340658,STRAX-USDT,0.7316564308258812,0.7321208888806092,
2023-10-11 06:00:00,0.7257,0.7311,0.6906,0.7275,7785413,5557773.5082,26011,3971352,2836902.2877,-0.0061475409836064,STRAX-USDT,0.7236049050602594,0.7198599988205527,
2023-10-11 07:00:00,0.728,0.7282,0.7014,0.7137,4527823,3239844.8259,16054,2167892,1551344.0443,-0.0032122905027932,STRAX-USDT,0.7262606769825918,0.7249611406385147,
2023-10-11 08:00:00,0.7137,0.735,0.7081,0.727,5317879,3832201.1063,21622,3081645,2221880.7936,-0.0041095890410959,STRAX-USDT,0.71130597732028,0.7107433976775182,-0.00294448
2023-10-11 09:00:00,0.7271,0.75,0.7232,0.7315,5095697,3742270.1798,18338,2550095,1873198.8766,-0.0047619047619047,STRAX-USDT,0.7306689171429082,0.7370831550314255,
2023-10-11 10:00:00,0.7314,0.7378,0.7272,0.7315,1600744,1171142.0177,5619,726424,531474.5878,-0.0034059945504086,STRAX-USDT,0.7315702073578595,0.731052544741239,
2023-10-11 11:00:00,0.7316,0.77,0.7316,0.7433,8963380,6717981.6699,29710,4754439,3564264.6209,-0.0022818791946309,STRAX-USDT,0.7343206315231185,0.7348846846580692,
2023-10-11 12:00:00,0.7428,0.7445,0.721,0.7304,2836495,2076654.1034,10787,1366144,1000255.2119,-0.0035470668485674,STRAX-USDT,0.7414912055050744,0.7411748355347175,-0.00177625
2023-10-11 13:00:00,0.7304,0.7319,0.7152,0.7263,2196184,1589275.9503,8960,1056020,764459.2618,-0.005068493150685,STRAX-USDT,0.7302506058836411,0.7302617396315527,
2023-10-11 14:00:00,0.7263,0.7357,0.7215,0.732,1964394,1432384.8113,7275,977598,712929.2093999999,-0.0013642564802183,STRAX-USDT,0.7254315419789751,0.7242535653354794,
2023-10-11 15:00:00,0.732,0.7347,0.7068,0.7145,3302234,2369584.0369,11136,1498865,1074627.3765,-0.002094972067039,STRAX-USDT,0.7321998004561003,0.7324534850646109,
2023-10-11 16:00:00,0.7143,0.7229,0.7125,0.7127,1118922,801600.084,5215,631034,452149.8489,-0.0018207282913165,STRAX-USDT,0.7150787962155271,0.7142275011033683,-0.00107011
2023-10-11 17:00:00,0.7127,0.7245,0.7114,0.7227,757985,544880.2953,3969,404875,291071.7161,-0.000414937759336,STRAX-USDT,0.7124692248566192,0.713046063215399,
2023-10-11 18:00:00,0.7223,0.7249,0.718,0.7208,452182,325759.8503,2051,210545,151693.8231,-0.0016620498614957,STRAX-USDT,0.7223041053766168,0.7227665346663537,
2023-10-11 19:00:00,0.7208,0.7281,0.7208,0.7259,598653,433402.5886,2299,302342,218949.2121,-0.0028846153846153,STRAX-USDT,0.7211196587446679,0.7216585774360663,
2023-10-11 20:00:00,0.7258,0.7277,0.7151,0.7252,1065076,768187.9709,4421,499397,360276.3321,-0.0038461538461538,STRAX-USDT,0.7252456625437966,0.7250763350813777,-0.00134992
2023-10-11 21:00:00,0.7256,0.748,0.725,0.7374,2805839,2074011.108,11268,1483621,1096448.2973,-0.0035135135135134,STRAX-USDT,0.7260489422369388,0.7261051264017728,
2023-10-11 22:00:00,0.7379,0.7454,0.7322,0.7416,1629543,1203313.66,5786,783066,578374.7398,-0.0018842530282637,STRAX-USDT,0.7369157348778308,0.7346452788871775,
2023-10-11 23:00:00,0.7416,0.7428,0.7232,0.7325,1256867,919447.5226,4684,601273,439883.3928,-0.0020435967302451,STRAX-USDT,0.7410174920050393,0.7400070861882875,
2023-10-12 00:00:00,0.7328,0.7347,0.693,0.7081,3738008,2670653.2977,14243,1936717,1385137.3731,-0.0040787623066104,STRAX-USDT,0.7306883457557176,0.7289737627454423,-0.0010796
2023-10-12 01:00:00,0.7082,0.7248,0.6971,0.7177,3110685,2210169.4299,12183,1629017,1158013.2771,-0.0031944444444443,STRAX-USDT,0.7076651811493728,0.7079676230031058,
2023-10-12 02:00:00,0.7179,0.733,0.7087,0.7265,2864466,2068491.04,11100,1494166,1079149.8805,-0.0075136612021857,STRAX-USDT,0.7142123896984232,0.7150512738811339,
2023-10-12 03:00:00,0.7269,0.7354,0.7225,0.7268,1339095,974661.8303,5262,749732,545718.0499,-0.0030178326474622,STRAX-USDT,0.7275481532812994,0.7277273015841533,
2023-10-12 04:00:00,0.7262,0.7312,0.7164,0.728,1396694,1009926.7461,5852,741338,536184.7729,-0.0054644808743169,STRAX-USDT,0.7241991331395646,0.7218443310442935,-0.00342378
