本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-02-20 17:00:00,2.088,2.341,2.0074,2.0359,24269770.7,51908113.69486,174136,11572959.9,24746372.55911,-0.0126576139670223,STRK-USDT,2.1286557612376784,2.1600011795510903,
2024-02-20 18:00:00,2.0371,2.1426,1.9341,2.1146,22886338.2,46413530.92709,185958,11292171.7,22918580.17623,-0.0132524498366775,STRK-USDT,2.024514098899612,2.0244457471651085,
2024-02-20 19:00:00,2.1148,2.1744,2.0305,2.076,15175673.6,31894567.82382,151798,7185162.2,15111564.39478,-0.0081223124701385,STRK-USDT,2.1216515235622637,2.1418166847529663,
2024-02-20 20:00:00,2.0761,2.1057,1.9904,2.0507,10404694.0,21302865.11028,95903,4879236.1,9997746.15989,-0.0054801163918525,STRK-USDT,2.071414826665077,2.082377808074303,-0.00130891
2024-02-20 21:00:00,2.0508,2.082,2.0054,2.0423,8019088.8,16326468.69703,73006,3976609.4,8101998.47607,0.0011274509803922,STRK-USDT,2.0553293886635293,2.0478562600856027,
2024-02-20 22:00:00,2.0414,2.048,1.84,1.922,17272656.3,33268943.5359,149794,7908190.8,15223132.10254,-0.0051759834368529,STRK-USDT,2.039981091343603,2.04051512102004,
2024-02-20 23:00:00,1.922,1.98,1.8937,1.9599,9464128.9,18356754.19457,91765,4639390.4,9004237.14117,-0.0025954198473282,STRK-USDT,1.9258127248587016,1.947154131833105,
2024-02-21 00:00:00,1.9599,2.0923,1.92,2.0798,13732872.3,27672789.63626,125671,7006132.600000001,14128093.42898,-0.0048803827751194,STRK-USDT,1.9509622575791927,1.9465452801162184,-0.00053214
2024-02-21 01:00:00,2.081,2.1857,2.0131,2.1842,13123896.6,27506493.00293,128524,6411379.1,13446131.86525,-0.0017367458866545,STRK-USDT,2.0885713029818214,2.07387673635271,
2024-02-21 02:00:00,2.1843,2.1857,2.0108,2.0447,13442125.8,27914421.73804,135256,6381232.4,13243224.56214,-0.0050121654501216,STRK-USDT,2.158430558163415,2.158151878093025,
2024-02-21 03:00:00,2.0448,2.0608,1.95,2.0099,10569752.7,21249340.28967,102919,5026264.8,10112716.9927,-0.0010437375745526,STRK-USDT,2.037768836025497,2.049834363229431,
2024-02-21 04:00:00,2.0099,2.0488,1.99,2.048,5401419.8,10931538.29579,57453,2676909.4,5420449.9189,-0.0009756097560974,STRK-USDT,2.007955442859409,2.005499393541032,-0.00065097
2024-02-21 05:00:00,2.0477,2.0709,1.95,1.9623,9959621.5,19868045.03723,102448,4471548.9,8924219.666029999,-0.0003565970453388,STRK-USDT,2.0477214501968604,2.056126906000627,
2024-02-21 06:00:00,1.9623,1.9744,1.914,1.9325,11956162.9,23281479.36692,109879,5591171.1,10894536.53422,-0.0012919896640826,STRK-USDT,1.9597760100815227,1.9406873252059536,
2024-02-21 07:00:00,1.9325,1.955,1.903,1.9204,8890263.1,17136111.03506,81509,4166478.1,8036177.12349,0.0007295466388743,STRK-USDT,1.934435129436108,1.9398656393215732,
2024-02-21 08:00:00,1.92,1.9579,1.859,1.952,12731581.7,24346166.08506,98924,5935450.5,11364843.35993,0.001025641025641,STRK-USDT,1.911501890150892,1.9030252185695864,5e-05
2024-02-21 09:00:00,1.9515,1.9742,1.85,1.8764,17897893.5,34153928.08171,151930,8174845.2,15628753.28673,0.0023504273504273,STRK-USDT,1.9504773298432996,1.9435416415318336,
2024-02-21 10:00:00,1.8749,1.9078,1.82,1.8918,15749314.8,29457036.5198,134701,7678532.3,14382002.25364,0.000952380952381,STRK-USDT,1.8800094049671123,1.884959120501192,
2024-02-21 11:00:00,1.8916,1.9406,1.812,1.8366,14003677.4,26332787.71725,104257,6823211.8,12847886.32114,0.0008719346049046,STRK-USDT,1.8964386587494533,1.8982113678785049,
2024-02-21 12:00:00,1.8366,1.851,1.7558,1.8129,24379006.3,43864235.88076,161597,11949592.3,21512471.29902,0.0004966887417217,STRK-USDT,1.835789329437696,1.8377022282873547,0.00044782
2024-02-21 13:00:00,1.8131,1.8444,1.675,1.7336,29415752.7,51501831.86284,202706,13882448.0,24322905.82259,0.0009237875288683,STRK-USDT,1.8118951981033096,1.821199479581345,
2024-02-21 14:00:00,1.7328,1.7533,1.6756,1.7132,19182846.4,32817213.16047,137336,9833025.0,16828473.29657,0.0007009345794393,STRK-USDT,1.726436299723913,1.7343078516388415,
2024-02-21 15:00:00,1.7132,1.79,1.6815,1.7678,18539211.3,32308818.47525,135789,9675430.5,16871530.52489,0.0004527447651387,STRK-USDT,1.710259684040068,1.6987013737066623,
2024-02-21 16:00:00,1.7677,1.9565,1.7554,1.9058,38131333.8,71086566.70921,267882,19743192.7,36791412.36675,0.0009453781512605,STRK-USDT,1.771496524879098,1.7865656855598702,0.00043975
2024-02-21 17:00:00,1.9053,1.9607,1.8642,1.8822,26019459.5,49781447.95389,197643,12594623.1,24111389.38452,0.0006379585326954,STRK-USDT,1.8921592853166185,1.904313424319686,
2024-02-21 18:00:00,1.8824,1.9031,1.8366,1.8589,10904193.9,20366973.52395,86699,5301601.8,9904903.57593,0.0015624999999999,STRK-USDT,1.8824303461398424,1.8719632236746968,
2024-02-21 19:00:00,1.8585,1.9096,1.811,1.8283,9098759.9,16917314.86103,81370,4292768.3,7990233.42582,0.0012595837897042,STRK-USDT,1.866645295224936,1.85919596895104,
2024-02-21 20:00:00,1.8282,1.8437,1.775,1.795,7479253.3,13562529.81042,58068,3494817.5,6342899.74833,0.0005574136008918,STRK-USDT,1.829895320964391,1.820384157113976,0.00024882
2024-02-21 21:00:00,1.7949,1.825,1.7682,1.817,6700338.6,12061059.78712,57267,3347284.5,6028230.97128,0.0011019283746556,STRK-USDT,1.8037866265554348,1.807453397856705,
2024-02-21 22:00:00,1.817,1.882,1.781,1.8568,5949968.100000001,10893071.36598,54776,3057331.3,5604144.91235,-0.0001077005923532,STRK-USDT,1.8144094875151275,1.8158728924299443,
2024-02-21 23:00:00,1.8564,1.925,1.8536,1.8938,7144299.7,13505773.28996,67708,3578991.7,6768674.44017,0.0009513742071882,STRK-USDT,1.8628480237598997,1.871532533878235,
2024-02-22 00:00:00,1.894,1.9058,1.8067,1.8464,6940483.1,12828450.52632,60215,3240742.9,5991224.17622,0.000758807588076,STRK-USDT,1.896302108372904,1.897551729340884,0.00021522
2024-02-22 01:00:00,1.8464,1.904,1.8128,1.823,6428911.2,11968314.40932,59368,3239289.2,6034903.96165,0.0010982976386599,STRK-USDT,1.845424519421324,1.856620285308391,
2024-02-22 02:00:00,1.8231,1.8589,1.82,1.8339,3717547.2,6829853.81586,36443,1853629.3,3405909.17617,0.001583833970508,STRK-USDT,1.8240789436119864,1.8334761041554093,
2024-02-22 03:00:00,1.8339,1.9,1.8034,1.8894,6502734.100000001,12131619.99477,55804,3360137.3,6271941.82383,0.0002117522498676,STRK-USDT,1.832823817489617,1.830925247470084,
2024-02-22 04:00:00,1.89,1.9343,1.8564,1.8921,7045516.6,13351321.19903,61386,3384812.1,6419264.7274,0.001111111111111,STRK-USDT,1.894795199305539,1.880328039188522,0.00044292
2024-02-22 05:00:00,1.8922,1.9007,1.8391,1.8544,7423819.4,13864291.88981,64617,3567950.0,6668335.75161,0.0007555315704264,STRK-USDT,1.891241973503556,1.895745938485276,
2024-02-22 06:00:00,1.8544,1.8821,1.822,1.8558,6506749.8,12079751.53834,53547,3143356.1,5840369.5725300005,0.0020518358531316,STRK-USDT,1.8513518053761395,1.8493190028524409,
2024-02-22 07:00:00,1.8552,1.8935,1.825,1.883,5943716.4,11078097.09654,54687,2883011.0,5380213.05756,0.0021287919105907,STRK-USDT,1.8564520587701996,1.849021835633177,
2024-02-22 08:00:00,1.8829,1.9517,1.872,1.9485,13486081.6,25860185.78049,113310,6798473.9,13051598.30071,0.001284686536485,STRK-USDT,1.8797998120333932,1.882856842202297,0.00029266
2024-02-22 09:00:00,1.9481,1.9664,1.8884,1.9282,11778017.2,22716038.0606,99947,5624111.8,10853177.49319,0.0016623376623376,STRK-USDT,1.9563114841237017,1.937751308802692,
2024-02-22 10:00:00,1.9282,1.9439,1.8511,1.862,11466585.9,21683211.98008,93054,4910127.2,9294563.85445,0.0010752688172042,STRK-USDT,1.930079738829226,1.9346425806641527,
2024-02-22 11:00:00,1.8621,1.8978,1.85,1.8959,5635704.4,10560416.28629,49276,2888645.2,5416365.10915,0.0004749340369392,STRK-USDT,1.862526820536812,1.8572102846296268,
2024-02-22 12:00:00,1.8956,1.9104,1.851,1.8713,6500791.5,12231746.61726,57953,2918996.0,5495545.25333,0.001230604601391,STRK-USDT,1.8948098549699472,1.891042214630945,0.00029029
2024-02-22 13:00:00,1.8712,1.8747,1.8144,1.8509,10774309.7,19822096.67011,84476,4890872.3,9004031.31256,0.0004864864864864,STRK-USDT,1.871976327200391,1.8614432252525168,
2024-02-22 14:00:00,1.8505,1.87,1.8304,1.8644,4764309.3,8830120.09874,44423,2389086.9,4429823.76964,0.000751476113795,STRK-USDT,1.84937680117952,1.8459087200973072,
2024-02-22 15:00:00,1.864,1.8734,1.837,1.8494,5491897.1,10171927.97186,47468,2684069.1,4972317.93267,0.0007575757575757,STRK-USDT,1.8665820783674063,1.8605282853364085,
2024-02-22 16:00:00,1.8494,1.8575,1.8088,1.8177,5695689.9,10443195.69662,47334,2457750.6,4509417.09765,0.0014876033057851,STRK-USDT,1.852926562676404,1.852540115912769,0.00027659
2024-02-22 17:00:00,1.818,1.8556,1.8146,1.8438,4451853.9,8178267.49122,39585,2162819.5,3974963.26263,0.0009771986970683,STRK-USDT,1.821814880418012,1.8238989411796105,
2024-02-22 18:00:00,1.844,1.8719,1.8327,1.8639,3251305.5,6024283.03774,28502,1660166.8,3076802.14836,0.0010204081632652,STRK-USDT,1.8450644949088584,1.8409906609569848,
2024-02-22 19:00:00,1.864,1.9056,1.8484,1.8763,6771171.8,12748524.52204,55572,3386823.2,6379455.0906,0.0017618793379605,STRK-USDT,1.8635222785765944,1.8617872428737197,
2024-02-22 20:00:00,1.8763,1.9026,1.8717,1.8982,4128966.1,7792179.54342,42879,1990649.3,3758230.51452,0.0006325777543489,STRK-USDT,1.878955412345506,1.8776126259693875,0.00025277
2024-02-22 21:00:00,1.8984,2.048,1.85,1.9766,40921477.2,80529775.71192001,315947,20900994.5,41148716.19067,0.0038598273235144,STRK-USDT,1.8994415499911523,1.891776698804713,
2024-02-22 22:00:00,1.9766,1.9966,1.9255,1.9671,15980860.2,31313410.03619,144848,7943582.4,15573563.91098,0.0010687022900763,STRK-USDT,1.9722288460407456,1.9813075623322087,
2024-02-22 23:00:00,1.967,1.9768,1.9086,1.9314,7293044.7,14137086.41031,71953,3413506.4,6618616.46417,0.0007253886010363,STRK-USDT,1.9687961264056213,1.9710964334200107,
2024-02-23 00:00:00,1.9308,1.9766,1.92,1.9577,5603767.6,10933424.34211,59202,2812301.5,5488988.13445,0.0003576903423607,STRK-USDT,1.9371841840055344,1.94223030206574,0.00060185
2024-02-23 01:00:00,1.9577,2.0976,1.9557,2.0961,17452020.9,35438356.17384,164319,8846982.0,17972868.40981,0.000525059665871,STRK-USDT,1.964163812874676,1.9710521827523444,
2024-02-23 02:00:00,2.0971,2.15,2.0461,2.062,23967270.5,50389111.88582,208144,11583552.8,24373790.13933,0.0009708737864075,STRK-USDT,2.0911328414087125,2.0941261260452158,
2024-02-23 03:00:00,2.0621,2.1188,2.0182,2.0779,15683820.9,32375354.87745,144497,7506744.9,15507988.81103,0.0009152215799614,STRK-USDT,2.064718030963904,2.0533551376084787,
2024-02-23 04:00:00,2.0781,2.1044,2.0352,2.0963,10761068.8,22299050.06982,102095,5141060.4,10655298.30544,0.0015766841853797,STRK-USDT,2.0836816449755737,2.070813638512096,0.00023666
2024-02-23 05:00:00,2.0962,2.1715,2.0777,2.1469,16529819.8,35203823.56594,148677,8205588.2,17484174.71877,0.0008857808857809,STRK-USDT,2.093638856918136,2.101699464207461,
2024-02-23 06:00:00,2.147,2.182,2.1,2.1111,19399585.8,41501175.8108,155461,9214935.4,19723089.9335,0.0009957325746798,STRK-USDT,2.1482711113640254,2.134535611873257,
2024-02-23 07:00:00,2.1112,2.1189,2.0217,2.0415,16470555.9,34044922.06008,137581,7487387.5,15482138.79754,0.0017173699705594,STRK-USDT,2.113491176926636,2.095160527932605,
2024-02-23 08:00:00,2.0409,2.0659,2.0041,2.0434,11428836.4,23293240.22716,112231,5612230.399999999,11448122.56125,0.0006856023506367,STRK-USDT,2.041962121524549,2.0469895417681627,0.00042162
2024-02-23 09:00:00,2.0435,2.0716,2.0241,2.0462,7730546.7,15817715.51001,77897,3848848.4,7874898.90169,0.0010763209393345,STRK-USDT,2.040642397278346,2.038411549088758,
2024-02-23 10:00:00,2.0465,2.0584,2.0207,2.0518,5862328.6,11952846.74881,60884,2775174.0,5660646.03059,0.000878048780488,STRK-USDT,2.0428453787710863,2.033883354105017,
2024-02-23 11:00:00,2.0519,2.0851,2.0438,2.0565,7493356.899999999,15484350.72704,80456,3542466.4,7321686.16586,0.0012171372930869,STRK-USDT,2.052058620727492,2.050809416446448,
2024-02-23 12:00:00,2.0566,2.0571,1.9731,1.9998,13724780.0,27517511.53066,124236,6155200.3,12341753.79313,0.0009009009009008,STRK-USDT,2.053726197638645,2.0444526183513285,0.00027528
2024-02-23 13:00:00,1.9999,2.028,1.958,2.0126,11186848.2,22261920.89024,103058,5570344.2,11093833.7103,0.0007956240676278,STRK-USDT,1.998150008668866,1.9959610545256008,
2024-02-23 14:00:00,2.0123,2.0313,1.9322,1.9587,14032809.1,27823575.13544,126653,6452573.1,12802755.93708,0.0018925831202045,STRK-USDT,2.008081093073528,2.013264014254601,
2024-02-23 15:00:00,1.9584,1.9618,1.8569,1.889,21672929.3,41157390.56943,168645,9858918.1,18723492.7821,0.0,STRK-USDT,1.9596648963903376,1.953202453983616,
2024-02-23 16:00:00,1.8887,1.9537,1.8463,1.9326,13461080.6,25591940.60102,126505,6801719.6,12947009.75506,0.0013471502590673,STRK-USDT,1.8948698743861216,1.894640949491461,0.0001973
2024-02-23 17:00:00,1.9325,1.9628,1.91,1.9584,5727934.3,11115538.97387,66216,2833146.7,5502057.27946,0.0012269938650306,STRK-USDT,1.9292683284393333,1.930261283976921,
2024-02-23 18:00:00,1.9581,1.98,1.9315,1.9685,5150989.8,10072103.28417,57530,2462672.7,4817126.38762,0.0002540650406503,STRK-USDT,1.960962879003813,1.9543374964820763,
2024-02-23 19:00:00,1.9688,1.9811,1.9453,1.9699,3744191.6,7351687.41918,40646,1788684.1,3513467.93977,0.0004570848146265,STRK-USDT,1.971208737882475,1.96263924012882,
2024-02-23 20:00:00,1.97,1.9797,1.9454,1.9668,2950767.0,5781159.84046,34296,1308853.2,2565302.03311,0.0014256619144603,STRK-USDT,1.969425952481591,1.96568516998638,5e-05
2024-02-23 21:00:00,1.9669,1.9726,1.9312,1.9396,2904585.0,5652549.1834,35735,1316433.6,2562845.41039,0.0003094378545642,STRK-USDT,1.9673187974904545,1.9683131846303088,
2024-02-23 22:00:00,1.9396,1.9611,1.9065,1.9177,2609161.8,5038349.23639,32651,1100996.7,2128134.19716,0.0008872651356994,STRK-USDT,1.9426280491509973,1.949778556356408,
