本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-04-25 07:00:00,10.8661,10.9171,10.811,10.843,859,9329.4353,79,553,6002.9949,,TIAUSDC,10.87728115942029,10.87728115942029,
2024-04-25 08:00:00,10.843,10.9325,10.7412,10.7997,4660,50535.1381,274,2897,31408.2117,,TIAUSDC,10.843,10.85128020197224,
2024-04-25 09:00:00,10.7708,10.8781,10.7496,10.7893,1160,12531.1801,77,819,8850.3114,,TIAUSDC,10.771252307692308,10.787789153069154,
2024-04-25 10:00:00,10.7797,10.7797,10.6116,10.6245,3682,39488.0736,96,2855,30633.097,,TIAUSDC,10.76105570076611,10.76105570076611,
2024-04-25 11:00:00,10.6245,10.6962,10.6182,10.6466,392,4179.2888,29,204,2175.2256,,TIAUSDC,10.63020892857143,10.639110753968254,
2024-04-25 12:00:00,10.6228,10.7883,10.5687,10.5687,3917,41784.1978,100,2137,22871.2044,,TIAUSDC,10.624251785714284,10.637450595238096,
2024-04-25 13:00:00,10.5868,10.7212,10.5531,10.6976,797,8452.66,42,374,3982.2287,,TIAUSDC,10.59508048780488,10.58818381242741,
2024-04-25 14:00:00,10.7227,10.8335,10.6209,10.6525,2011,21660.3649,43,638,6896.2042,,TIAUSDC,10.7227,10.7227,
2024-04-25 15:00:00,10.6375,10.8385,10.6047,10.8288,565,6057.7819,39,360,3857.722,,TIAUSDC,10.64705,10.654458333333334,
2024-04-25 16:00:00,10.8129,11.0056,10.8129,11.0056,1743,18938.1397,79,656,7130.7731,,TIAUSDC,10.823,10.851544615384617,
2024-04-25 17:00:00,10.9838,11.0248,10.8845,10.9928,290,3180.3505,33,165,1811.1646,,TIAUSDC,10.99415,10.99106037735849,
2024-04-25 18:00:00,10.9759,11.0433,10.9468,11.0433,327,3596.8108,29,160,1760.8663,,TIAUSDC,10.9684,10.9684,
2024-04-25 19:00:00,11.0368,11.0368,10.8529,10.9053,3863,42237.6082,71,720,7882.9767,,TIAUSDC,11.0368,11.03095,
2024-04-25 20:00:00,10.9246,10.9666,10.8802,10.9453,232,2533.2425,15,123,1342.8325,,TIAUSDC,10.9246,10.9246,
2024-04-25 21:00:00,10.9964,11.0239,10.88,10.88,79,866.5591000000001,14,39,428.5875,,TIAUSDC,10.9964,10.9964,
2024-04-25 22:00:00,10.8474,10.8476,10.7209,10.7209,223,2416.2975,20,206,2232.9210000000003,,TIAUSDC,10.84751045751634,10.826780228758173,
2024-04-25 23:00:00,10.7209,10.7325,10.6473,10.6473,744,7952.5023,22,154,1650.0641,,TIAUSDC,10.7209,10.7209,
