本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2021-07-16 03:00:00,0.2904,0.2904,0.2505,0.2521,7092686,1823792.9457,14363,2915533,750740.1232,0.0,TLM-USDT,0.2669836566900831,0.2669836566900831,
2021-07-16 04:00:00,0.2521,0.2598,0.2339,0.235,8516722,2117612.9025,16120,4131843,1028681.9444,0.0008517887563883,TLM-USDT,0.2518149685345116,0.2539137073847926,
2021-07-16 05:00:00,0.2354,0.2384,0.2228,0.2264,15214246,3502636.7028,16535,8163913,1881844.1853,-0.0013233348037053,TLM-USDT,0.236774933095107,0.2365334836897782,
2021-07-16 06:00:00,0.2264,0.2286,0.21,0.2146,22032192,4773688.3335,19625,12217725,2645621.9624,-0.001395998138669,TLM-USDT,0.2278404305141369,0.2261664904470934,
2021-07-16 07:00:00,0.2146,0.22,0.2053,0.2113,25190536,5377632.0366,19228,13743479,2935057.5474,-0.0009456264775413,TLM-USDT,0.2158016261524253,0.2163087246658853,
2021-07-16 08:00:00,0.2113,0.2177,0.2027,0.2152,30184650,6312996.1355,23602,16517223,3459474.0923,-0.0013921113689094,TLM-USDT,0.2106212297600073,0.2086537212072876,0.0001
2021-07-16 09:00:00,0.2152,0.2218,0.2043,0.2069,27930689,5888263.1231,19768,14528162,3066508.3334,-0.0028915662650601,TLM-USDT,0.2150733689063949,0.2170945827543488,
2021-07-16 10:00:00,0.207,0.2147,0.2056,0.2121,19284041,4037685.5609,13908,10265983,2151948.788,-0.0004712535344014,TLM-USDT,0.2071617813256794,0.2084156189185685,
2021-07-16 11:00:00,0.2122,0.2126,0.195,0.1973,36915871,7505550.961899999,24492,16475465,3354664.7082,0.0020314880650076,TLM-USDT,0.2110270148437789,0.2105501905394207,
2021-07-16 12:00:00,0.1973,0.2079,0.1967,0.2059,35149898,7105473.2747,19090,18932371,3830155.7103,-0.002422480620155,TLM-USDT,0.1980049291051142,0.1992493138904218,
2021-07-16 13:00:00,0.2058,0.219,0.2056,0.21,35155680,7467998.5948,22349,18099692,3846832.27,0.0,TLM-USDT,0.2081172551036521,0.2109687093843655,
2021-07-16 14:00:00,0.2104,0.2156,0.2086,0.213,20882682,4428911.5179,11843,10386246,2204144.6712,0.0018814675446847,TLM-USDT,0.2114959844051004,0.210471825384217,
2021-07-16 15:00:00,0.2129,0.215,0.2055,0.2106,16784536,3533552.8621,10027,7468489,1573636.2342,-0.0014224751066855,TLM-USDT,0.2139423509699997,0.2136118185487691,
2021-07-16 16:00:00,0.2104,0.2121,0.201,0.2081,32030521,6645265.9765,21159,15567332,3233321.1669,-0.0014395393474088,TLM-USDT,0.2109759249593336,0.2100897388963091,0.0001
2021-07-16 17:00:00,0.2081,0.2099,0.1974,0.1986,17118947,3504663.7052,11631,6416689,1318030.8636,-0.0020100502512563,TLM-USDT,0.208174329599363,0.2079318054547106,
2021-07-16 18:00:00,0.1989,0.202,0.195,0.1981,15926988,3173779.1058,9900,7071001,1410466.8739,0.0020232675771372,TLM-USDT,0.1995808407788463,0.1997503849111965,
2021-07-16 19:00:00,0.1982,0.2006,0.1834,0.1851,38043230,7248824.8951,24459,16892676,3216873.7558,0.0016233766233766,TLM-USDT,0.1981714538909606,0.199039182419818,
2021-07-16 20:00:00,0.1851,0.1869,0.1807,0.1822,29429023,5394677.6039,13683,13872731,2544454.0153,0.0022002200220021,TLM-USDT,0.1856251173548615,0.1851741554741424,
2021-07-16 21:00:00,0.182,0.1875,0.1801,0.1822,32720904,5994788.5847,15116,15249441,2798961.1238,0.0033039647577091,TLM-USDT,0.1817536561490261,0.1810557546209033,
2021-07-16 22:00:00,0.1821,0.1851,0.1711,0.1729,40684706,7220398.4532,18476,19612164,3485890.326,-0.0005780346820808,TLM-USDT,0.1826072041524792,0.1826308623305129,
2021-07-16 23:00:00,0.1729,0.1825,0.1711,0.1796,39797193,7016613.0568,18360,24430069,4313631.2854,-0.0005564830272676,TLM-USDT,0.171926161813201,0.1727928216933458,
2021-07-17 00:00:00,0.1796,0.1852,0.1711,0.1743,39540080,7057402.9032,22783,19744923,3531326.3499,0.0005740528128588,TLM-USDT,0.1809896761025633,0.1801698717097348,0.0001
2021-07-17 01:00:00,0.1741,0.1752,0.1633,0.1681,45482728,7632944.9292,22018,20243068,3401820.6014,-0.0005945303210462,TLM-USDT,0.1733922946241564,0.1728673662592271,
2021-07-17 02:00:00,0.1681,0.1734,0.1651,0.1706,25232910,4269476.5899,11864,13453100,2280729.9584,0.0017615971814444,TLM-USDT,0.1676963301569225,0.1677870355980128,
