本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-06-09 02:00:00,0.03236,0.03643,0.03236,0.0341,1835802,62384.0508,767,734781,25142.58845,,TLMBUSD,0.0324453197875779,0.0324453197875779,
2022-06-09 03:00:00,0.0341,0.0343,0.03323,0.03406,1704225,57853.60093,688,821022,27914.8164,,TLMBUSD,0.0340732638105975,0.0339278618180308,
2022-06-09 04:00:00,0.03404,0.0343,0.0338399999999999,0.03404,1393808,47477.75235,224,901374,30758.74311,,TLMBUSD,0.0340534034055076,0.0340145101955773,
2022-06-09 05:00:00,0.03404,0.03438,0.03401,0.03414,2312019,79120.26703,507,1616428,55349.65259,,TLMBUSD,0.0341227731708384,0.0341109243902794,
2022-06-09 06:00:00,0.0340699999999999,0.0342,0.034,0.03416,698737,23823.31667,229,397100,13551.50276,,TLMBUSD,0.0340699999999999,0.0341398862649813,
2022-06-09 07:00:00,0.0340699999999999,0.0345,0.034,0.0345,1997708,68404.00648,1887,1078323,36948.56611,,TLMBUSD,0.03407,0.034083889443602,
2022-06-09 08:00:00,0.0345,0.0364,0.03429,0.03514,24239904,848058.7339999999,5919,16598026,582753.9687,,TLMBUSD,0.0345857152799042,0.0350051207395304,0.0001
2022-06-09 09:00:00,0.03505,0.0403,0.035,0.03877,74418147,2823138.71625,20605,38669164,1465355.18161,,TLMBUSD,0.0353957544917156,0.0352385899098893,
2022-06-09 10:00:00,0.03877,0.03916,0.03568,0.03612,123674766,4623253.47723,40025,54112789,2023363.9822,,TLMBUSD,0.0389779857934647,0.0389380619595278,
2022-06-09 11:00:00,0.03613,0.0377399999999999,0.03416,0.03506,95129831,3439709.22974,24591,42492184,1540023.75502,,TLMBUSD,0.0361776978831124,0.036086906061299,
2022-06-09 12:00:00,0.03506,0.03648,0.03493,0.03598,53910202,1928183.78801,12574,25962263,929676.35182,,TLMBUSD,0.035067303336445,0.0353760011721319,
2022-06-09 13:00:00,0.03598,0.03779,0.03587,0.03716,46783438,1731905.77783,13717,24523689,908043.59471,,TLMBUSD,0.035989118828727,0.0360438045666426,
2022-06-09 14:00:00,0.03712,0.0384,0.03639,0.03655,48254522,1804666.77216,13475,21851884,818546.70163,,TLMBUSD,0.0370312993529891,0.0370035463603864,
2022-06-09 15:00:00,0.03655,0.0372399999999999,0.0360399999999999,0.037,25447674,934359.76878,7454,12024803,441939.70839,,TLMBUSD,0.0366040667972826,0.0363892761667177,
2022-06-09 16:00:00,0.03702,0.0372,0.03653,0.03701,11052649,407113.05785,4302,5506512,203057.57608,,TLMBUSD,0.0370504635757807,0.0369959410811067,0.0001
2022-06-09 17:00:00,0.03701,0.0376899999999999,0.03664,0.03675,15462236,573344.33791,5168,6733015,250128.90998,,TLMBUSD,0.0370018746879907,0.0370995797317636,
2022-06-09 18:00:00,0.0368,0.0369899999999999,0.0364899999999999,0.03662,5220726,191613.51011,2044,2167873,79678.38434,,TLMBUSD,0.0368313860031468,0.03680905921126,
2022-06-09 19:00:00,0.03664,0.03668,0.03596,0.0361,7435135,270031.87765,3102,2552541,92791.39254,,TLMBUSD,0.0366437368843089,0.036580957160607,
2022-06-09 20:00:00,0.03606,0.03611,0.03481,0.03561,15505363,550827.93463,5103,5988231,212862.1543,,TLMBUSD,0.0354938551291943,0.0355196484744534,
2022-06-09 21:00:00,0.03559,0.03591,0.03517,0.03526,4154128,147870.21164999998,1745,1841860,65665.29587,,TLMBUSD,0.0355547074575551,0.0355911455169598,
2022-06-09 22:00:00,0.0353,0.03559,0.035,0.03531,8571596,302510.92643,3998,4355042,153912.38191,,TLMBUSD,0.0352875997256829,0.0352726991543463,
2022-06-09 23:00:00,0.0352699999999999,0.0355199999999999,0.03494,0.03512,5482730,193161.49242,2198,2689972,94937.04094,,TLMBUSD,0.0352926001858837,0.0352306147270835,
2022-06-10 00:00:00,0.03517,0.03524,0.03197,0.03444,21594375,729590.6170600001,7717,9418556,318203.9178,,TLMBUSD,0.0351769255293059,0.0350843269592533,0.0001
2022-06-10 01:00:00,0.03445,0.03514,0.0342,0.03461,6342157,220131.03838,1762,3314655,115277.31915,,TLMBUSD,0.0344250947922867,0.0343613470267886,
2022-06-10 02:00:00,0.03462,0.0348,0.03412,0.03453,7455550,257402.35442,1687,3869918,133780.93106,,TLMBUSD,0.0346074107597443,0.0345356275001066,
2022-06-10 03:00:00,0.03453,0.03522,0.03452,0.03469,5253674,183518.4738,2216,2726296,95228.61004,,TLMBUSD,0.0345827477648947,0.0348089833890299,
2022-06-10 04:00:00,0.03469,0.0347,0.0337,0.03416,10549980,360871.13775,3179,5205150,178044.45949,,TLMBUSD,0.03469,0.0346753611337358,
2022-06-10 05:00:00,0.03416,0.03436,0.03416,0.03432,2828064,96894.82443,1393,1340766,45945.99662,,TLMBUSD,0.0342114392327937,0.0342613942133833,
2022-06-10 06:00:00,0.03432,0.03449,0.03395,0.03417,5732480,196306.37538,1662,2819698,96644.03347,,TLMBUSD,0.0343199999999999,0.034324580743126,
2022-06-10 07:00:00,0.03417,0.03421,0.03387,0.03406,2971130,101234.82055,1070,1611009,54946.78666,,TLMBUSD,0.0341527485611104,0.0340982144172334,
2022-06-10 08:00:00,0.03406,0.03416,0.03329,0.03353,11165517,376644.38117,2954,5855561,197648.66348,,TLMBUSD,0.0340113058107093,0.0340370833235635,-0.000397
2022-06-10 09:00:00,0.03354,0.03367,0.033,0.0331,5547705,184682.06733,2029,2048783,68298.48032,,TLMBUSD,0.0335625451725591,0.0335876064798825,
2022-06-10 10:00:00,0.0331,0.03386,0.03263,0.03346,12671839,422315.69553,3922,6253704,208547.06971,,TLMBUSD,0.0329305191525876,0.0331530495478716,
2022-06-10 11:00:00,0.03349,0.03359,0.03333,0.03348,3393054,113546.31359,942,1459871,48889.62039,,TLMBUSD,0.0335112913262613,0.0335130808200829,
2022-06-10 12:00:00,0.0335,0.0339,0.03098,0.03222,21122071,688698.60049,6334,9183547,300712.38072,,TLMBUSD,0.033520986801127,0.0335043742194356,
2022-06-10 13:00:00,0.03221,0.03266,0.03169,0.03257,12453816,401320.78436,3663,6383776,205991.62512,,TLMBUSD,0.0322199242525708,0.032286038198528,
