本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-03-07 12:00:00,0.1273,0.13192,0.12219,0.12468,58260822,7406870.54243,37801,27780771,3531168.27693,-0.0009615384615384,TRU-USDT,0.1289229218234379,0.1291061977080103,
2023-03-07 13:00:00,0.12475,0.12654,0.12335,0.12414,23107859,2888198.80011,17131,11032162,1379155.9624,-0.0028915662650602,TRU-USDT,0.1252051781565103,0.1257182251862815,
2023-03-07 14:00:00,0.12402,0.12683,0.12269,0.12348,20672640,2573034.095,12352,10990532,1368178.10338,-0.002584814216478,TRU-USDT,0.1243130161565134,0.1243345687304467,
2023-03-07 15:00:00,0.12334,0.138,0.11935,0.13332,132449197,17327666.718340002,72547,67820090,8868554.3256,0.0016528925619834,TRU-USDT,0.1231085962689746,0.1221201282732623,
2023-03-07 16:00:00,0.13326,0.1363,0.12839,0.12973,143330011,18917668.9315,77135,70581502,9321962.47316,-0.0028439661798614,TRU-USDT,0.1343158398474618,0.134508099181807,-0.00022408
2023-03-07 17:00:00,0.12972,0.1323,0.12731,0.13082,61173275,7964709.30637,33900,31075823,4047199.06484,-0.0013740458015267,TRU-USDT,0.1290940523910788,0.1285136851765657,
2023-03-07 18:00:00,0.13082,0.13368,0.12924,0.12978,61921892,8177402.71439,38004,29734431,3929658.07312,0.0013888888888888,TRU-USDT,0.1311552823767283,0.1313894920797894,
2023-03-07 19:00:00,0.12978,0.13123,0.12821,0.13031,35345196,4585442.59284,22802,17783492,2308170.93199,-0.0006901840490796,TRU-USDT,0.1295061896557258,0.129455183901962,
2023-03-07 20:00:00,0.13031,0.13222,0.12806,0.13096,32201457,4200157.46046,19047,16590874,2165407.80681,-0.0003053435114505,TRU-USDT,0.1301800684765123,0.1296697023263815,
2023-03-07 21:00:00,0.13103,0.13167,0.12922,0.12953,18333386,2390886.72274,10815,9090177,1186054.38279,-0.0020801232665639,TRU-USDT,0.1309993407969717,0.1308085371298985,
2023-03-07 22:00:00,0.12947,0.13026,0.12212,0.12304,48332126,6040500.88006,26819,20215805,2527024.05894,-0.0012987012987013,TRU-USDT,0.129534530378975,0.1297707656785622,
2023-03-07 23:00:00,0.12307,0.12653,0.12288,0.12552,27083984,3378730.70304,14919,12707978,1585422.88908,-0.0014319809069213,TRU-USDT,0.1234943386167403,0.1236285648430676,
2023-03-08 00:00:00,0.1255,0.13266,0.12547,0.12912,43914816,5692861.80464,25028,22831569,2960321.01649,-0.0006191950464395,TRU-USDT,0.1255972165342926,0.1260925173334774,-5.618e-05
2023-03-08 01:00:00,0.12913,0.12928,0.1241,0.12619,24179249,3057244.53175,14082,11550849,1460077.69546,-0.0008709422011085,TRU-USDT,0.1290314090279093,0.1282466706637812,
2023-03-08 02:00:00,0.12625,0.12747,0.1232,0.12353,24088578,3019671.66231,13697,11071071,1387370.28101,-0.0005663430420711,TRU-USDT,0.1254632112635402,0.1250870754241211,
2023-03-08 03:00:00,0.12354,0.12355,0.12025,0.12124,32566622,3962989.37232,16919,14698936,1789172.68868,-0.0004946413849958,TRU-USDT,0.1228465413663976,0.1220628737858711,
2023-03-08 04:00:00,0.12123,0.12131,0.11705,0.11955,39056096,4645448.3304,19581,19054877,2265322.9092,-0.0037499999999999,TRU-USDT,0.1201693150999457,0.1183857188536692,
