本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2022-05-26 04:00:00,0.0828,0.0882,0.082494,0.084256,1179434,99638.316618,1139,621338,52605.429446,,TRXBUSD,0.0853205159817351,0.0856080662182635,
2022-05-26 05:00:00,0.08426,0.084623,0.0821,0.08267,2365099,197174.400139,1220,1200918,100249.017489,,TRXBUSD,0.0842295938311192,0.0842714357139198,
2022-05-26 06:00:00,0.08267,0.082935,0.081471,0.081992,2190644,179881.148275,727,1360905,111821.578238,,TRXBUSD,0.0826620081408405,0.082727855813043,
2022-05-26 07:00:00,0.081922,0.082381,0.081435,0.081796,1280885,104914.859738,701,735739,60309.359117,,TRXBUSD,0.0818163573986443,0.0819856980987844,
2022-05-26 08:00:00,0.081777,0.081797,0.08,0.081015,4691518,379339.048772,1795,2824236,228542.970028,,TRXBUSD,0.0817223128681605,0.0814787063306883,0.0001
2022-05-26 09:00:00,0.080957,0.081819,0.0803919999999999,0.081177,3694567,299864.930681,1571,2126612,172837.749402,,TRXBUSD,0.0808472301927568,0.0806353925791675,
2022-05-26 10:00:00,0.081095,0.081513,0.080211,0.080211,2601873,210898.604347,1302,1293047,104933.450091,,TRXBUSD,0.080960229060689,0.0808930933217549,
2022-05-26 11:00:00,0.080211,0.08135,0.078526,0.080801,5493873,438859.846697,2951,2513370,201246.258285,,TRXBUSD,0.0802910409356725,0.0801919845685816,
2022-05-26 12:00:00,0.08081,0.082726,0.08081,0.082086,7055654,577838.6505400001,3033,3342081,273865.470755,,TRXBUSD,0.0810564406929699,0.0812204958725222,
2022-05-26 13:00:00,0.08207,0.0837059999999999,0.079792,0.083433,11927499,978196.616422,5845,7644748,627551.763463,,TRXBUSD,0.0819636708648194,0.0821815884719322,
2022-05-26 14:00:00,0.08342,0.084281,0.08234,0.083223,7790961,648094.600134,3492,3450916,287335.648294,,TRXBUSD,0.0834846208829712,0.0836148017431987,
2022-05-26 15:00:00,0.083222,0.083862,0.0822809999999999,0.083351,4480343,372148.37814,2138,1848159,153896.786462,,TRXBUSD,0.0832990640585829,0.0835230798311164,
2022-05-26 16:00:00,0.083327,0.0864289999999999,0.083225,0.085513,10499206,893823.2958740001,5043,6238990,530991.339836,,TRXBUSD,0.0833006639741518,0.0838608983903965,0.0001
2022-05-26 17:00:00,0.085552,0.085694,0.084289,0.084534,5158453,438359.58782,1771,1958227,166547.673534,,TRXBUSD,0.0856247790852677,0.0854381710874889,
2022-05-26 18:00:00,0.084506,0.085198,0.083788,0.08415,4639068,392236.643967,1732,2390410,202190.230418,,TRXBUSD,0.0844665291906236,0.0842592271353007,
2022-05-26 19:00:00,0.084102,0.084372,0.081923,0.082099,6816784,568141.471447,2754,2835919,236729.352201,,TRXBUSD,0.0841299175288526,0.0839324103454564,
2022-05-26 20:00:00,0.082045,0.082582,0.0814059999999999,0.081568,3524092,288608.75117,1492,1852427,151866.48485100002,,TRXBUSD,0.0822836851296672,0.0823673254702174,
2022-05-26 21:00:00,0.081534,0.082452,0.080927,0.081687,3195069,261364.611199,1368,1704558,139689.864984,,TRXBUSD,0.0814808122091162,0.0816782207320732,
2022-05-26 22:00:00,0.081633,0.082301,0.08133,0.081724,1849224,151518.302579,778,854156,69996.13204899999,,TRXBUSD,0.0814118561686761,0.0815407416538278,
2022-05-26 23:00:00,0.081725,0.083345,0.081626,0.0821279999999999,3030875,249621.236611,1344,1786787,147327.001373,,TRXBUSD,0.0817262063793602,0.081805731560375,
2022-05-27 00:00:00,0.082188,0.082552,0.081439,0.0817929999999999,3601961,294825.22139,1325,1542813,126436.368939,,TRXBUSD,0.082188,0.0822684970458499,0.0001
2022-05-27 01:00:00,0.081829,0.082113,0.0789769999999999,0.079412,8246529,661245.545984,2690,2644937,212686.563915,,TRXBUSD,0.08182534870317,0.0818467845276627,
2022-05-27 02:00:00,0.079448,0.080075,0.078227,0.079856,10546033,835645.535445,3181,5836305,462957.799009,,TRXBUSD,0.0792230129068338,0.0790441756444558,
2022-05-27 03:00:00,0.079856,0.080515,0.079648,0.080049,3469544,277941.053247,1349,1318317,105696.040825,,TRXBUSD,0.0797656128713956,0.0798688046615267,
2022-05-27 04:00:00,0.080009,0.08073,0.078774,0.079133,4371830,349298.464432,1630,2018809,161487.727564,,TRXBUSD,0.0800008161764705,0.0798090280317937,
2022-05-27 05:00:00,0.079133,0.079647,0.078279,0.079132,2648300,209177.651579,1372,1293007,102333.876302,,TRXBUSD,0.0792386303761793,0.0792174853895659,
2022-05-27 06:00:00,0.079076,0.080315,0.078715,0.080019,4905474,391147.237097,1971,3082098,246160.632373,,TRXBUSD,0.0790565,0.0790869516236742,
2022-05-27 07:00:00,0.08006,0.081504,0.08005,0.080675,3965314,320944.427975,1628,1791865,145057.499634,,TRXBUSD,0.0803573696450734,0.0802874184655297,
2022-05-27 08:00:00,0.080708,0.081844,0.0804179999999999,0.080738,5137391,417912.784412,1797,2140795,174317.906899,,TRXBUSD,0.0807036307138032,0.0805801277042015,0.0001
2022-05-27 09:00:00,0.080789,0.081638,0.080544,0.081638,2490451,202061.427195,2156,1562862,126928.180221,,TRXBUSD,0.0808112266041492,0.0807233495792656,
2022-05-27 10:00:00,0.08159,0.082477,0.081034,0.0811009999999999,5158826,421925.508421,2567,2341491,191796.867195,,TRXBUSD,0.0814458970122622,0.0817629071257964,
2022-05-27 11:00:00,0.081137,0.083058,0.080866,0.082455,3817393,313010.93563,2439,2324579,190749.320993,,TRXBUSD,0.0811970959835659,0.0810431501059251,
2022-05-27 12:00:00,0.082446,0.083957,0.082,0.082974,5633634,466320.753095,3046,2832527,234856.119026,,TRXBUSD,0.0823623609559936,0.082302399056725,
2022-05-27 13:00:00,0.0829309999999999,0.0829309999999999,0.08173,0.082564,3942076,323978.413867,1833,2478122,203609.722497,,TRXBUSD,0.0828121110541821,0.082730597042088,
2022-05-27 14:00:00,0.082607,0.083,0.080048,0.080427,6391771,519280.146466,3649,3322423,270002.846707,,TRXBUSD,0.082801639017543,0.0828567250100469,
2022-05-27 15:00:00,0.080429,0.08118,0.0799059999999999,0.080601,4779541,385329.378152,2480,2022385,163145.639994,,TRXBUSD,0.0804163146427427,0.0801944620458392,
2022-05-27 16:00:00,0.08056,0.081083,0.0795,0.0800039999999999,5929713,475544.619656,3131,2656285,213259.771301,,TRXBUSD,0.0805064662721893,0.0805308280162964,0.0001
2022-05-27 17:00:00,0.080009,0.080074,0.079076,0.0791549999999999,9160798,727526.05706,4912,4431292,352113.033943,,TRXBUSD,0.0799139996974405,0.0798105983211683,
2022-05-27 18:00:00,0.079173,0.079589,0.078624,0.079108,4583921,362746.393744,2309,2021560,160263.128107,,TRXBUSD,0.0791337076622695,0.0793163659582124,
2022-05-27 19:00:00,0.079096,0.079742,0.078396,0.0794909999999999,2880613,227242.446251,1394,1281257,101135.312311,,TRXBUSD,0.0789381718997838,0.078963767920947,
2022-05-27 20:00:00,0.079439,0.07975,0.078915,0.078967,2080165,164885.045269,1573,1170882,92872.471976,,TRXBUSD,0.0792845834503262,0.0793457321164245,
2022-05-27 21:00:00,0.078967,0.079635,0.07895,0.07895,3574171,283000.216462,1349,2752839,217900.463053,,TRXBUSD,0.078999486061773,0.0790514573934915,
2022-05-27 22:00:00,0.078939,0.080525,0.078777,0.080309,3334735,266895.447888,1720,1951194,156108.741449,,TRXBUSD,0.0788405935157276,0.0788978201401578,
2022-05-27 23:00:00,0.08031,0.0807,0.079889,0.080673,1992765,159974.687044,1324,1048838,84256.615148,,TRXBUSD,0.080359565069812,0.0803069953138622,
2022-05-28 00:00:00,0.08066,0.080732,0.079333,0.080553,2147389,172066.043679,1895,922237,73956.441215,,TRXBUSD,0.0806764623721304,0.0801939961201796,0.0001
2022-05-28 01:00:00,0.080561,0.080928,0.079561,0.079567,6090229,491015.453,1879,854704,68599.61846700001,,TRXBUSD,0.0805712050581596,0.0807456628238084,
2022-05-28 02:00:00,0.079594,0.08015,0.078856,0.079237,2701320,214796.651282,1817,1428080,113562.527186,,TRXBUSD,0.0796023187234737,0.0795363108547208,
2022-05-28 03:00:00,0.079232,0.0802679999999999,0.0789059999999999,0.080089,2056988,163515.284253,1469,1197873,95238.63828,,TRXBUSD,0.0790339723246079,0.0789819880976824,
2022-05-28 04:00:00,0.080089,0.0804,0.079672,0.080203,2150482,172091.070842,1184,1194781,95586.184956,,TRXBUSD,0.0800246287154229,0.0799965686015812,
2022-05-28 05:00:00,0.080209,0.0803929999999999,0.079696,0.079925,2426328,194292.18593,1482,1357817,108777.621744,,TRXBUSD,0.0801469842195195,0.0801120886623802,
2022-05-28 06:00:00,0.079925,0.080258,0.0796809999999999,0.08001,3092733,247385.516159,1600,596400,47694.739736,,TRXBUSD,0.079925,0.079956331724978,
2022-05-28 07:00:00,0.079958,0.080053,0.079284,0.079759,4887439,389111.393931,2131,935832,74539.539454,,TRXBUSD,0.0799416966696669,0.0799690435991496,
2022-05-28 08:00:00,0.079774,0.079999,0.079331,0.079476,1968026,156934.655505,1363,415273,33121.21732,,TRXBUSD,0.0797761443714638,0.0798403033512186,0.0001
2022-05-28 09:00:00,0.079465,0.079651,0.079,0.079572,2713320,215365.257459,1676,818899,65045.891129,,TRXBUSD,0.0794492185128983,0.0794571906975837,
2022-05-28 10:00:00,0.079568,0.082173,0.079335,0.081764,8978988,729131.623572,5290,4765517,386887.591209,,TRXBUSD,0.0794850951666666,0.0795833913748129,
2022-05-28 11:00:00,0.081764,0.082549,0.081298,0.082103,5615997,459963.283508,3773,3120248,255597.566422,,TRXBUSD,0.0817606006565862,0.0815297472208477,
2022-05-28 12:00:00,0.082103,0.082369,0.081188,0.081644,6811036,556902.965827,3182,2214299,181137.305788,,TRXBUSD,0.0820680345775131,0.082189798363725,
2022-05-28 13:00:00,0.081644,0.081984,0.081436,0.081742,2911445,238005.167404,1916,1557341,127340.060869,,TRXBUSD,0.0815849570706837,0.0816140114316374,
2022-05-28 14:00:00,0.081734,0.082163,0.081559,0.081964,2892701,236852.68826,1740,1523014,124753.128009,,TRXBUSD,0.0818265350082523,0.081844410141098,
2022-05-28 15:00:00,0.081964,0.082488,0.0818,0.082124,2842029,233453.715583,1616,1641072,134872.973034,,TRXBUSD,0.0820573404186795,0.0819682910180319,
