本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2023-03-12 17:00:00,0.96,0.96089,0.90916,0.95389,38998915,37159698.36249,65601,13406509,12778881.03901,0.0007238774653797,USDC-USDT,0.9426400806168388,0.9483666173441904,
2023-03-12 18:00:00,0.95409,0.9623,0.94915,0.9555,40728902,38961319.60896,49643,18033400,17239333.43791,0.000733137829912,USDC-USDT,0.9528502432461864,0.9542297413385372,
2023-03-12 19:00:00,0.95551,0.95738,0.95321,0.95468,14174854,13544473.24318,18945,4779384,4566974.01766,0.0019731318219982,USDC-USDT,0.9553441937875904,0.9554270264488546,
2023-03-12 20:00:00,0.95466,0.96288,0.9546,0.96214,25091749,24064307.84634,20163,10412677,9979936.1441,0.0028559516364394,USDC-USDT,0.9547163060865708,0.955368175970022,
2023-03-12 21:00:00,0.96214,0.96907,0.9587,0.96035,20453095,19734798.95529,22565,8371846,8080405.72732,0.0008858780614904,USDC-USDT,0.9627921287353516,0.9634514492846196,
2023-03-12 22:00:00,0.96035,0.98545,0.95695,0.98359,64800762,63195535.74967,58923,34440944,33556402.59275,0.0007020042730694,USDC-USDT,0.9606996227430776,0.9611808440772772,
2023-03-12 23:00:00,0.98358,0.9884,0.98,0.9845,43977382,43346978.32197,27171,21547360,21242789.2125,-0.0003046303818033,USDC-USDT,0.9836021900926422,0.9832337624527688,
2023-03-13 00:00:00,0.98451,0.9889,0.9845,0.988,22947069,22656166.41908,16775,10859188,10722908.44662,0.0006076564715413,USDC-USDT,0.986598459146512,0.9877496730598888,0.00141118
2023-03-13 01:00:00,0.98801,0.9889,0.98666,0.98793,19020298,18788396.46961,18376,12471627,12318573.59976,0.0002328642300293,USDC-USDT,0.9885084401591402,0.9880918363687622,
2023-03-13 02:00:00,0.98793,0.99,0.98612,0.98988,13769187,13613987.29428,6948,7038281,6960116.94563,0.0001818732949379,USDC-USDT,0.987947426053696,0.9880485337695346,
2023-03-13 03:00:00,0.98986,0.992,0.987,0.98968,12838036,12713442.83243,10165,6488183,6426953.83306,0.0005863916691941,USDC-USDT,0.9899743204561502,0.98996853618269,
2023-03-13 04:00:00,0.98968,0.991,0.988,0.988,9595687,9492593.40275,10903,4450113,4403504.22296,0.000506329113924,USDC-USDT,0.9896675966706536,0.9898946546808484,
2023-03-13 05:00:00,0.988,0.989,0.987,0.98772,3929864,3882354.57767,4329,2037339,2012848.06334,0.0008308845881042,USDC-USDT,0.988004980066924,0.9877629472546742,
2023-03-13 06:00:00,0.98772,0.98893,0.9862,0.98871,6158377,6080684.45912,9447,2447902,2417453.16475,0.0005160898603522,USDC-USDT,0.9877301623497932,0.9877442619910108,
2023-03-13 07:00:00,0.98872,0.98883,0.98721,0.98781,5918324,5846389.04287,8334,2573490,2542267.46744,0.0005165603160133,USDC-USDT,0.98843786102513,0.9880413822641908,
2023-03-13 08:00:00,0.98781,0.98937,0.98596,0.98841,12086478,11940617.77364,8565,5784375,5714542.95593,0.0005162465836623,USDC-USDT,0.9879360972764656,0.988137392530873,0.0001
