本数据供邢不行数字货币量化课程、策略分享会专用，由邢不行整理，微信：xbx6660		
candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m,fundingRate
2024-02-02 08:00:00,1.7148,1.7247,1.62,1.6685,3203922,5378720.1795,16447,1506211,2528303.0369,,ZETA-USDT,1.7096588292851886,1.7096588292851886,0.0001
2024-02-02 09:00:00,1.6682,1.6731,1.5113,1.5894,7922351,12487235.2388,52074,3811403,6011920.7503,,ZETA-USDT,1.670391642255584,1.6532316876332245,
2024-02-02 10:00:00,1.5904,1.6327,1.5552,1.6077,3731604,5939476.8242,33863,1956851,3116838.1949,,ZETA-USDT,1.5903249206309529,1.5853038291871675,
2024-02-02 11:00:00,1.6078,1.689,1.5942,1.6285,5071581,8318888.5028,55749,2596176,4262124.2796,,ZETA-USDT,1.6027833134708638,1.604842453042594,
2024-02-02 12:00:00,1.6279,1.7537,1.6208,1.7114,5847788,9902376.4104,70319,3157486,5350731.6447,,ZETA-USDT,1.6335906872960742,1.6427353694201308,5e-05
2024-02-02 13:00:00,1.7117,1.7483,1.6118,1.661,7138447,11899707.022,75259,3327603,5554008.288,,ZETA-USDT,1.7030888139564704,1.716393299372374,
2024-02-02 14:00:00,1.661,1.814,1.6456,1.7501,10214396,17712425.0258,101037,5239053,9082810.9698,,ZETA-USDT,1.6630099143768589,1.658826455141989,
2024-02-02 15:00:00,1.75,1.8005,1.7105,1.7937,4445863,7794690.9604,52790,2186236,3839809.5454,,ZETA-USDT,1.750609993670085,1.740917800688036,
2024-02-02 16:00:00,1.7937,1.8063,1.7201,1.7596,3524059,6200569.268,47935,1635889,2880535.8522,,ZETA-USDT,1.7875556538542396,1.7811721437117591,-0.00061618
2024-02-02 17:00:00,1.7605,1.7857,1.7086,1.7275,3715414,6479372.0553,51731,1649301,2877761.1518,,ZETA-USDT,1.764469788235294,1.77363085471984,
2024-02-02 18:00:00,1.7272,1.734,1.6713,1.6931,3768004,6397762.0883,55038,1796306,3051339.417,,ZETA-USDT,1.7283758270808227,1.7080199869769364,
2024-02-02 19:00:00,1.6939,1.7027,1.639,1.682,2623383,4371982.5821,36380,1207768,2014162.6794,,ZETA-USDT,1.6959369190416789,1.6964014062318609,
2024-02-02 20:00:00,1.6816,1.682,1.5882,1.6228,4344853,7069796.7955,58845,1919093,3122677.7874,,ZETA-USDT,1.6792926751718928,1.6727884016352537,3.929e-05
2024-02-02 21:00:00,1.6228,1.7182,1.6228,1.6885,4837703,8132032.8409,66780,2582252,4344664.5674,,ZETA-USDT,1.627833715888804,1.6516904972500566,
2024-02-02 22:00:00,1.689,1.7214,1.6606,1.6676,2277165,3846623.2388,34439,1040425,1758395.5779,,ZETA-USDT,1.6946376594285713,1.70143453795261,
2024-02-02 23:00:00,1.6688,1.6874,1.6068,1.6709,3112803,5126573.2471,44966,1537664,2536288.0003,,ZETA-USDT,1.6665410686584314,1.665702337651697,
2024-02-03 00:00:00,1.671,1.6978,1.6311,1.6751,3000254,4997610.1271,47357,1405829,2343580.1252,,ZETA-USDT,1.6680744823539275,1.6769289014016906,5e-05
2024-02-03 01:00:00,1.6757,1.6758,1.6223,1.6379,1957879,3218563.5505,33085,944710,1554076.2944,,ZETA-USDT,1.6725653126969675,1.6715796336072213,
2024-02-03 02:00:00,1.6388,1.6462,1.551,1.5763,4480537,7126422.2477,56876,1909655,3037474.6961000003,,ZETA-USDT,1.640219804386125,1.639413216794829,
2024-02-03 03:00:00,1.5746,1.5923,1.525,1.5434,4060203,6318662.6322,50979,1937209,3019243.5181,,ZETA-USDT,1.5737509270207632,1.5837594463985505,
2024-02-03 04:00:00,1.5444,1.6138,1.5433,1.5834,2582321,4088585.7888,37867,1411685,2235266.7366,,ZETA-USDT,1.5480472488038275,1.5575508947520045,5e-05
2024-02-03 05:00:00,1.5843,1.5989,1.5584,1.5674,1685766,2656323.9191,24461,838555,1322177.6489,,ZETA-USDT,1.58430599392642,1.5916094461413215,
2024-02-03 06:00:00,1.5671,1.5866,1.54,1.5568,2532488,3954607.4467,35289,1254571,1960348.0044,,ZETA-USDT,1.5661832502764357,1.5642530941744983,
